Frame,Nose_X,Nose_Y,Nose_Z,LEye_X,LEye_Y,LEye_Z,REye_X,REye_Y,REye_Z,LEar_X,LEar_Y,LEar_Z,REar_X,REar_Y,REar_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,RElbow_X,RElbow_Y,RElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RWrist_X,RWrist_Y,RWrist_Z,LHip_X,LHip_Y,LHip_Z,RHip_X,RHip_Y,RHip_Z,LKnee_X,LKnee_Y,LKnee_Z,RKnee_X,RKnee_Y,RKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,RAnkle_X,RAnkle_Y,RAnkle_Z
1,-44.04,1649.47,258.58,-13.02,1660.56,263.39,-66.94,1681.72,279.46,-37.22,1703.10,227.93,-16.19,1623.61,251.81,184.90,1456.67,120.41,-172.98,1613.02,195.65,322.07,1266.84,7.50,-300.68,1385.82,91.26,292.34,1069.49,-106.82,-360.64,1171.18,34.40,134.97,1087.22,-20.12,-76.07,1082.67,18.02,172.06,833.69,-152.66,-123.19,739.59,-142.10,195.09,604.82,-270.45,-98.02,474.17,-255.59
2,-42.52,1647.95,263.26,-3.53,1651.24,266.45,-74.11,1685.11,284.59,-14.29,1684.16,225.25,-40.25,1641.07,253.83,184.08,1458.65,138.52,-178.96,1617.34,198.22,318.99,1274.14,14.59,-299.90,1386.95,84.89,292.60,1081.32,-107.98,-354.92,1149.52,37.73,134.28,1088.29,-14.73,-78.10,1094.32,14.99,169.29,828.66,-148.18,-124.01,747.46,-140.03,192.63,599.39,-266.99,-100.18,480.85,-257.78
3,-40.80,1650.76,262.29,-1.08,1653.46,264.47,-72.45,1687.91,284.16,-1.01,1673.20,223.46,-54.32,1651.00,255.50,183.83,1457.64,137.86,-173.50,1609.12,198.63,317.88,1271.93,14.81,-298.15,1379.52,87.17,295.41,1079.25,-108.77,-359.28,1163.79,35.97,134.79,1087.52,-15.05,-77.10,1091.32,15.29,168.52,826.57,-147.87,-123.82,743.60,-137.84,191.54,596.42,-266.15,-102.39,480.72,-254.60
4,-35.11,1648.39,260.75,2.32,1653.88,262.03,-64.72,1681.87,282.83,4.84,1670.55,221.23,-54.88,1649.26,257.35,185.49,1457.34,135.94,-168.48,1605.98,197.84,322.34,1272.79,14.23,-301.39,1379.77,84.96,295.98,1078.56,-106.10,-378.09,1170.71,27.43,135.60,1086.28,-15.92,-75.53,1086.19,18.75,169.75,827.97,-149.84,-124.06,738.55,-135.37,193.35,603.44,-268.44,-103.12,474.07,-249.26
5,-33.10,1648.08,259.66,0.31,1657.16,260.39,-58.04,1677.14,281.32,-4.84,1678.83,221.67,-44.82,1641.17,257.11,185.76,1457.64,132.81,-162.96,1601.14,197.36,325.29,1273.50,13.55,-302.62,1376.93,85.59,294.32,1077.84,-103.33,-374.19,1163.21,39.75,134.80,1084.46,-17.69,-73.36,1082.03,20.81,171.12,826.66,-151.27,-123.86,734.52,-134.33,195.51,605.26,-270.66,-100.07,467.45,-249.08
6,-33.97,1647.15,259.21,3.44,1652.53,258.86,-63.39,1680.68,281.15,7.20,1668.97,219.81,-53.88,1648.42,258.13,194.29,1451.35,133.89,-172.86,1605.73,198.75,329.90,1268.06,8.94,-328.02,1378.79,91.95,293.21,1073.27,-107.73,-364.03,1154.13,58.31,136.11,1087.75,-16.12,-75.85,1090.42,24.24,170.13,826.28,-148.39,-125.54,737.69,-128.19,194.03,603.69,-270.62,-104.58,468.74,-244.62
7,-30.50,1641.19,256.03,5.48,1648.88,256.51,-60.43,1676.09,277.60,-0.09,1674.45,218.45,-43.74,1641.78,256.94,195.55,1449.72,129.22,-172.31,1601.92,199.13,330.78,1264.45,6.80,-331.72,1375.25,104.59,293.26,1069.79,-109.82,-353.84,1117.50,80.99,136.91,1090.26,-20.49,-72.50,1087.28,24.76,172.03,831.36,-149.13,-125.00,735.96,-129.73,194.83,606.29,-271.84,-104.76,473.23,-247.53
8,-27.69,1636.20,257.05,8.09,1644.68,257.54,-58.89,1672.49,278.35,1.95,1671.83,216.74,-41.73,1638.53,257.84,196.18,1446.87,123.40,-170.24,1592.17,201.15,331.07,1259.03,4.56,-336.32,1373.91,118.46,292.50,1065.92,-114.26,-343.07,1090.57,108.53,138.99,1096.22,-22.93,-70.41,1084.45,24.46,174.15,835.59,-150.04,-124.80,735.95,-127.66,195.95,609.70,-273.37,-104.23,472.19,-247.36
9,-27.55,1634.21,258.72,10.71,1641.08,259.36,-62.21,1673.38,280.79,13.97,1661.76,215.40,-53.57,1646.35,259.88,201.42,1440.29,124.12,-162.05,1579.38,204.52,332.13,1252.55,0.56,-328.15,1370.02,129.63,290.27,1062.15,-121.50,-333.31,1076.53,129.57,143.32,1099.16,-23.13,-69.01,1082.74,24.25,174.81,837.84,-150.30,-124.76,736.52,-125.44,196.79,612.47,-273.51,-104.49,471.71,-246.05
10,-28.48,1633.94,261.19,12.02,1639.04,262.07,-64.85,1673.93,282.95,25.68,1652.21,214.95,-65.25,1653.34,262.19,199.54,1439.96,126.78,-159.12,1570.11,206.42,331.00,1253.79,1.65,-315.72,1358.87,141.91,291.15,1062.13,-119.09,-327.09,1067.76,171.93,143.20,1099.49,-22.43,-68.24,1077.76,25.70,174.88,837.41,-150.03,-123.30,737.25,-124.14,197.20,608.14,-272.29,-104.46,472.25,-246.44
