Frame,Nose_X,Nose_Y,Nose_Z,LEye_X,LEye_Y,LEye_Z,REye_X,REye_Y,REye_Z,LEar_X,LEar_Y,LEar_Z,REar_X,REar_Y,REar_Z,LShoulder_X,LShoulder_Y,LShoulder_Z,RShoulder_X,RShoulder_Y,RShoulder_Z,LElbow_X,LElbow_Y,LElbow_Z,RElbow_X,RElbow_Y,RElbow_Z,LWrist_X,LWrist_Y,LWrist_Z,RWrist_X,RWrist_Y,RWrist_Z,LHip_X,LHip_Y,LHip_Z,RHip_X,RHip_Y,RHip_Z,LKnee_X,LKnee_Y,LKnee_Z,RKnee_X,RKnee_Y,RKnee_Z,LAnkle_X,LAnkle_Y,LAnkle_Z,RAnkle_X,RAnkle_Y,RAnkle_Z
5550,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-85.38,1692.17,281.08,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-190.48,1621.02,188.61,317.29,1290.80,12.92,-346.77,1414.17,56.11,302.46,1097.32,-110.56,,,,135.27,1095.98,-15.19,-82.23,1077.06,18.06,185.75,766.44,-190.30,-113.56,737.45,-141.61,197.53,456.44,-352.35,-142.74,421.16,-290.31
5551,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-84.62,1697.40,281.28,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-198.66,1629.19,187.51,317.47,1291.04,12.76,-347.68,1414.81,56.17,302.46,1097.32,-110.56,-300.17,1132.91,-34.82,135.27,1095.98,-15.19,-79.54,1080.56,17.78,185.76,766.44,-190.30,-117.61,739.76,-137.85,197.55,455.90,-352.64,-123.49,413.25,-264.06
5552,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-91.29,1701.91,277.98,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.72,1615.88,186.69,321.38,1293.98,12.81,-340.46,1380.75,55.16,299.96,1100.39,-109.52,-294.50,1106.12,-35.61,135.27,1095.98,-15.19,-79.02,1075.86,18.43,185.75,766.44,-190.30,-115.60,735.67,-138.86,197.54,456.27,-352.44,-119.69,407.21,-261.24
5553,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-87.46,1698.81,275.44,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.49,1615.34,186.66,321.44,1294.02,12.81,-340.36,1380.26,55.15,299.96,1100.42,-109.50,-294.49,1106.09,-35.61,135.27,1095.98,-15.19,-75.16,1074.64,19.07,185.76,766.44,-190.30,-115.10,735.26,-139.16,197.55,456.01,-352.58,-119.56,402.36,-247.90
5554,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-84.62,1696.42,274.99,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.37,1615.07,186.64,321.46,1294.04,12.81,-340.31,1380.02,55.14,299.95,1100.43,-109.49,-294.49,1106.07,-35.61,135.27,1095.98,-15.19,-70.15,1073.09,18.36,185.75,766.44,-190.30,-114.66,734.11,-139.51,197.54,456.19,-352.48,-118.63,400.71,-247.39
5555,-56.53,1655.29,262.09,-19.12,1665.04,266.35,-85.16,1695.15,277.26,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.31,1614.93,186.63,321.48,1294.05,12.81,-340.29,1379.90,55.14,299.95,1100.44,-109.49,-294.49,1106.07,-35.61,135.27,1095.98,-15.19,-69.86,1072.28,16.16,185.75,766.44,-190.30,-116.19,729.40,-132.50,197.55,456.06,-352.55,-117.77,397.81,-245.43
5556,-59.29,1659.16,261.59,-19.12,1665.04,266.35,-78.34,1688.77,278.05,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.28,1614.86,186.63,323.13,1296.03,11.79,-337.21,1379.40,57.23,299.44,1101.84,-109.15,-293.31,1105.88,-34.81,135.27,1095.98,-15.19,-71.26,1073.06,14.62,185.75,766.44,-190.30,-116.64,728.12,-129.48,197.54,456.16,-352.50,-117.22,397.04,-244.25
5557,-59.36,1659.25,261.58,-19.12,1665.04,266.35,-79.43,1691.05,276.89,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.26,1614.83,186.63,323.43,1296.39,11.61,-336.75,1379.28,57.53,299.43,1101.89,-109.14,-293.29,1105.88,-34.80,135.27,1095.98,-15.19,-67.37,1071.27,14.59,185.75,766.44,-190.30,-116.77,726.19,-127.84,197.55,456.09,-352.53,-115.75,393.46,-237.48
5558,-59.39,1659.29,261.57,-19.12,1665.04,266.35,-77.52,1690.33,276.15,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-192.26,1614.81,186.62,323.58,1296.57,11.52,-336.53,1379.21,57.68,299.42,1101.91,-109.13,-293.28,1105.87,-34.79,135.27,1095.98,-15.19,-67.61,1070.60,14.77,185.75,766.44,-190.30,-116.82,724.78,-125.94,197.55,456.14,-352.51,-115.24,392.69,-237.66
5559,-59.40,1659.32,261.57,-19.12,1665.04,266.35,-81.12,1693.23,275.61,5.84,1677.02,222.29,-88.23,1683.35,255.36,179.54,1476.30,132.14,-195.07,1611.71,185.59,323.03,1295.83,11.96,-349.74,1378.28,51.04,296.22,1101.86,-108.68,-298.21,1105.53,-37.27,135.27,1095.98,-15.19,-70.49,1070.64,14.54,185.75,766.44,-190.30,-114.58,722.90,-123.08,197.55,456.11,-352.53,-115.13,392.73,-240.27
