t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
0.0003,rehab,safe_midrange_fast,0.0,84.44167305172583,30.04856328104243,85.86290487717315,-27.980813028724935,-89.09363431310047,0.0,-0.2586,-0.2228,0.0,2.312,2.0022,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833121417e-312,0.0,3.512700564088504e-303,0.0,5.0,0.06581263095880595,24.35,0.0756,-0.3416,0.2755,0.01388,-0.02206,-0.0075,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.0207,rehab,safe_midrange_fast,0.0,84.43720216215495,30.044708919162623,85.85978761256527,-27.973716039949448,-89.09350295624714,0.0,-0.2286,-0.197,0.0,2.3269,2.0112,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833121496e-312,0.0,3.512700564088504e-303,0.0,5.0,0.05289117058666875,24.35,0.1104,-0.396,-0.3991,0.02227,-0.02098,-0.00416,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.0408,rehab,safe_midrange_fast,0.0,84.4322112911187,30.040407712048584,85.85630556215393,-27.965792826070576,-89.09335633085043,0.0,-0.1722,-0.1484,0.0,2.3041,1.9852,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833121615e-312,0.0,3.512700564088504e-303,0.0,5.0,0.03619155669479907,24.35,0.0258,-0.1582,0.4144,0.03537,-0.01107,-0.00395,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.0607,rehab,safe_midrange_fast,0.0,84.42986477236956,30.038385969240302,85.85466761848775,-27.9620673323259,-89.09328739632855,0.0,-0.1226,-0.1057,0.0,2.1766,1.8715,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833121694e-312,0.0,3.512700564088504e-303,0.0,5.0,0.026858477536246362,24.35,0.052,-0.3361,0.0086,0.02335,-0.01678,0.00177,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.0805,rehab,safe_midrange_fast,0.0,84.42753679990756,30.03638053576109,85.85304210539971,-27.958371095396934,-89.0932190086651,0.0,-0.0801,-0.069,0.0,1.9199,1.649,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833121812e-312,0.0,3.512700564088504e-303,0.0,5.0,0.015558855580168805,24.35,-0.092,-0.2482,0.8918,0.01429,-0.01413,-0.0042,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.1009,rehab,safe_midrange_fast,0.0,84.42661643603893,30.035587778335564,85.85239931725712,-27.956909736402206,-89.09319197215787,0.0,-0.0471,-0.0406,0.0,1.5758,1.354,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283312189e-312,0.0,3.512700564088504e-303,0.0,5.0,0.009825772891671537,24.35,0.0898,-0.2761,0.3357,0.03717,-0.00578,-0.00422,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.1208,rehab,safe_midrange_fast,0.0,84.42590402476007,30.034974176602677,85.85190170947885,-27.955778545562772,-89.09317104465853,0.0,-0.0209,-0.0181,0.0,1.1045,0.9511,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283312201e-312,0.0,3.512700564088504e-303,0.0,5.0,0.003926147769534357,24.35,-0.1012,-0.3883,0.5133,0.00816,-0.01332,-0.00502,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.1411,rehab,safe_midrange_fast,0.0,84.42571394729151,30.034810467574857,85.85176893531191,-27.95547673112674,-89.09316546105316,0.0,-0.0027,-0.0025,0.0,0.6063,0.526,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283312209e-312,0.0,3.512700564088504e-303,0.0,5.0,0.0017080410657208903,24.35,-0.1807,-0.2569,0.2301,0.01028,-0.00431,0.00277,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.1605,rehab,safe_midrange_fast,0.0,84.42564419764791,30.03475039447961,85.85172021247261,-27.95536597886777,-89.09316341213149,0.0,0.0021,0.0017,0.0,0.1423,0.1351,0.0,7.115e-321,nan,0.0,3.5e-323,8.79283312217e-312,0.0,3.512700564088504e-303,0.0,5.0,0.0005414652426033356,24.35,0.0046,-0.2537,0.1321,0.03941,-0.0118,0.00209,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
0.1808,rehab,safe_midrange_fast,0.0,84.42562327002675,30.03473237025898,85.8517055936253,-27.9553327488254,-89.09316279737519,0.0,0.0007,0.0009,0.0,-0.4715,-0.3765,0.0,7.115e-321,nan,0.0,3.5e-323,8.792833122287e-312,0.0,3.512700564088504e-303,0.0,5.0,2.4192357852162353e-05,24.35,-0.3202,-0.1587,0.3263,0.00714,-0.00441,0.00029,0.0009999999310821295,0.0009095495333895087,0.001110862591303885,0.0004999999655410647,0.00046593454317189753,0.00052916060667485,0.009999999776482582,0.011674760840833187,0.008646746166050434,passive,0
