t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
0.0006,excitation,multi_sine,41.42502146879809,-666.6346152489078,296.0034634885219,-177.38832656696195,0.13143038743458757,-149.9617592511613,-0.057,-0.0176,0.2564,0.8104,0.4383,-1.9871,81.02751476929919,27.800869327960626,83.59955287215733,-23.379253811306423,-88.99000379774306,-39.05893113878038,0.05441495687654703,-0.0,-0.024596865814511138,0.0130462646484375,-0.0,-0.0,1.0268,0.1649,8.654,0.18076,-0.00655,-0.02057,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0208,excitation,multi_sine,41.42527569185092,-666.6345934766562,296.0033328512343,-177.3883318212858,0.1314458930952846,-149.96174702442102,-0.0101,-0.0136,0.154,0.3631,0.3147,-3.493,81.02753516471032,27.800876126431003,83.59955967062771,-23.379253811306423,-88.98999532063802,-39.058922661675346,-0.05441495687654703,-0.0,0.01646589524675124,0.01739501953125,0.06785074869791667,0.06785074869791667,1.1848,0.1027,8.6453,0.20546,-0.01133,-0.02062,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0407,excitation,multi_sine,41.4254796112767,-666.6345913324715,296.0032546508509,-177.38834774962024,0.13143624916006852,-149.96171030943862,0.0323,-0.0075,-0.0037,-1.1007,0.0839,-5.1578,81.02755556012144,27.800882924901376,83.59955967062771,-23.379253811306423,-88.99001227484808,-39.058939615885414,-0.05441495687654703,-0.0,0.0026514034460086633,-0.015928480360243056,-0.0,-0.0,1.1329,0.1054,8.7955,0.18744,-0.01419,-0.02347,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0611,excitation,multi_sine,41.425637448400686,-666.6346848862974,296.00324384456513,-177.38834364831087,0.1314435482418003,-149.96168786766776,-0.0254,-0.0055,-0.0759,-3.8554,-0.1245,-4.4144,81.02756915706219,27.800896521842127,83.59953927521659,-23.37924533420139,-88.99000379774306,-39.05894809299045,-0.0,-0.0,0.0070432153078589105,0.03370496961805555,0.06785074869791667,-0.0,1.1911,0.0859,8.8029,0.18936,-0.01224,-0.02871,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0811,excitation,multi_sine,41.42526774095744,-666.6347454351537,296.0035428466783,-177.38831305482879,0.13143991881927797,-149.9617042118714,-0.183,-0.0078,-0.0578,-7.8362,-0.3006,-1.2993,81.02753516471032,27.800882924901376,83.59951887980546,-23.379236857096355,-88.98998684353299,-39.05896504720052,-0.0,-0.0,0.00823974609375,0.020480685763888888,-0.0,-0.06785074869791667,1.061,0.1076,8.5799,0.18569,-0.00669,-0.02608,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.101,excitation,multi_sine,41.42028092849025,-666.6355011796493,296.0058609369931,-177.38823387211244,0.1313609741930616,-149.96200512488673,-0.451,-0.0153,0.0185,-12.7898,-0.4329,4.4449,81.02711365954711,27.800814940197633,83.59926733640161,-23.379024929470486,-88.98999532063802,-39.059083726671005,-0.05441495687654703,-0.05441495687654703,-0.032537479211788366,0.034705268012152776,0.06785074869791667,-0.0,0.9824,0.1149,8.1093,0.17992,-0.00193,-0.02229,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1208,excitation,multi_sine,41.405317669056664,-666.6370843612486,296.0109527240915,-177.38810400684994,0.13124715502430245,-149.96301467403924,-0.7044,-0.0335,0.0719,-18.151,-0.6314,12.3277,81.02583554711673,27.800631381497524,83.59874385418279,-23.378482394748264,-88.98999532063802,-39.059346516927086,-0.05441495687654703,-0.0,-0.04881301728805693,0.05574544270833333,-0.0,-0.06785074869791667,1.1009,0.1611,8.5955,0.19119,0.00016,-0.01589,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.141,excitation,multi_sine,41.38073770562027,-666.6366154884099,296.0169010448645,-177.3890395829943,0.1319828121416515,-149.9639579069933,-1.1516,-0.0511,0.3864,-26.93,-0.7967,24.3946,81.02368723047842,27.800230271745438,83.59792123926748,-23.37603251139323,-88.98997836642795,-39.06052483452691,-0.16324487062964108,-0.05441495687654703,-0.07077887506768255,0.1784091525607639,-0.06785074869791667,-0.06785074869791667,0.8985,-0.0091,7.7713,0.17536,-0.0028,-0.01955,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1611,excitation,multi_sine,41.358060132045935,-666.636286179141,296.02205655893124,-177.39056567303027,0.13318523455949516,-149.96413402886168,-1.7233,-0.0526,0.9284,-39.4964,-0.7897,40.663,81.02170207712909,27.799992325282332,83.5966975146001,-23.372573852539062,-88.98995293511284,-39.062296549479164,-0.16324487062964108,-0.0,-0.10036581813698948,0.2550506591796875,-0.0,-0.13570149739583334,0.934,0.1215,8.9025,0.1784,-0.00161,-0.02129,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1807,excitation,multi_sine,41.32107232115186,-666.6375191009769,296.03891092964136,-177.3928722612629,0.13492172632310193,-149.96246463594636,-2.5196,-0.0591,1.7955,-51.6597,-0.6135,56.1106,81.01848640064202,27.799394059889387,83.59366539681312,-23.36591084798177,-88.98991054958768,-39.067111545138886,-0.2176666259765625,-0.05441495687654703,-0.21762583515431622,0.4169548882378472,-0.0,-0.339262220594618,1.0485,0.0641,8.2263,0.18066,-0.00643,-0.02036,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2011,excitation,multi_sine,41.253595548582524,-666.641410438252,296.089673464365,-177.39518986147272,0.13664250951507356,-149.96029340485768,-3.6507,-0.0896,3.0822,-65.0882,-0.1741,71.1392,81.01263971612005,27.797252541721456,83.58723404383895,-23.354212443033855,-88.98980034722221,-39.075003729926216,-0.2720815828531095,-0.10882991375309406,-0.32988897644647275,0.5967458089192709,-0.0,-0.4071129692925347,1.077,-0.0208,8.5144,0.17604,-0.0187,-0.02588,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2207,excitation,multi_sine,41.18618508020268,-666.6432300031292,296.15050728543383,-177.39618673023926,0.13728526320386278,-149.95904660844687,-5.0652,-0.1019,4.6732,-74.2367,0.3072,79.0104,81.00677943465733,27.79415243923074,83.581224196028,-23.343709309895832,-88.9897240532769,-39.08199734157986,-0.435333251953125,-0.2720815828531095,-0.3899398652633818,0.7156880696614584,-0.0,-0.4749637179904514,1.1591,0.0085,8.7269,0.18365,-0.00097,-0.03271,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.241,excitation,multi_sine,41.04897789285994,-666.6428910857356,296.2841054807233,-177.39711392726016,0.1378312034078341,-149.95748654170637,-7.0847,-0.0788,6.7447,-81.1734,0.774,80.8336,80.99478693291692,27.78668771875967,83.56964640098043,-23.323194715711804,-88.98949517144096,-39.09532335069444,-0.544163165706219,-0.3809114966062036,-0.5769997776144802,0.9467315673828125,-0.06785074869791667,-0.678524441189236,1.1103,0.136,8.2511,0.18536,-0.00948,-0.02186,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2611,excitation,multi_sine,40.92865217092421,-666.6440147011518,296.402386112904,-177.39730380619812,0.13784536059417035,-149.95674755093,-8.7143,-0.0587,8.3812,-90.9254,1.4158,82.0469,80.98429009465887,27.780181582611387,83.55952347859298,-23.306070963541668,-88.98928324381511,-39.10636901855469,-0.7074148348062346,-0.435333251953125,-0.7238331407603651,1.1764017740885417,-0.0,-0.8142344156901041,1.1464,0.1582,9.0571,0.18382,-0.01033,-0.0322,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2811,excitation,multi_sine,40.68585071463316,-666.6482910364521,296.6308805020813,-177.39624494975777,0.13682953229692377,-149.9573190439874,-10.5932,-0.0158,9.9777,-98.8179,2.1116,79.3481,80.96314005332418,27.76760441241878,83.54063052942257,-23.275443183051216,-88.98881700303819,-39.12660386827257,-0.979496417659344,-0.6529998779296875,-0.8771658415841584,1.3875325520833333,-0.0,-0.8820851643880208,1.1742,0.2167,9.4833,0.18762,-0.01649,-0.02996,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3009,excitation,multi_sine,40.49251268454418,-666.6485284903567,296.8143008369969,-177.39513593459108,0.1357732014815596,-149.9576472579209,-12.3078,0.0331,11.2159,-102.7339,2.3123,72.7303,80.94625945138459,27.757087178749615,83.52626536152151,-23.251588609483505,-88.98846096462674,-39.14288838704427,-1.1427480867593596,-0.7074148348062346,-0.9007157429610149,1.501371595594618,-0.0,-1.153496636284722,1.119,0.104,8.8681,0.20198,-0.00684,-0.02667,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3209,excitation,multi_sine,40.15305710279269,-666.6434230675101,297.1214313863225,-177.3934844549444,0.1343535467945639,-149.9582915488151,-14.2122,0.0665,12.3757,-107.5995,1.9832,67.2182,80.91652294196705,27.73872451026841,83.50326613624497,-23.21152581108941,-88.9876725938585,-39.17152404785156,-1.360414712735922,-0.8162515470297029,-1.050084935556544,1.760957505967882,-0.0,-1.2892066107855902,1.0395,0.0727,9.1771,0.18375,-0.00416,-0.0221,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3411,excitation,multi_sine,39.88717479993499,-666.6432816710095,297.34324515129657,-177.39253107082374,0.13365815592891175,-149.9590919788924,-16.862,0.115,14.0198,-118.1918,1.5314,67.7163,80.89327217328666,27.725834610438582,83.48590964137918,-23.181779649522568,-88.98695203993056,-39.19363233778212,-1.5236663818359375,-0.8162515470297029,-1.101950466042698,1.8573760986328125,0.06785074869791667,-1.4249081081814237,1.1214,0.1202,8.8465,0.19291,-0.01116,-0.02781,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3608,excitation,multi_sine,39.6050222298371,-666.6430519091722,297.57700209290294,-177.39178206985278,0.13315475958233086,-149.95847012040716,-19.3834,0.1608,15.4318,-128.6529,0.8774,69.9729,80.87503867574257,27.715779672754874,83.4719999709932,-23.15808614095052,-88.98632473415799,-39.2120361328125,-1.5236663818359375,-0.87066650390625,-1.1880326979231126,2.0129818386501737,0.06785074869791667,-1.6284688313802083,1.1125,0.0689,8.8375,0.1824,-0.00508,-0.0236,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3808,excitation,multi_sine,39.11216016987705,-666.6352905762662,297.9503381945285,-177.39152010700525,0.13321100957046197,-149.95920628138765,-21.5999,0.1587,16.5252,-133.1277,-0.0065,69.348,80.82536905118735,27.689625957224628,83.43906138202932,-23.097737630208332,-88.98464626736111,-39.260448879665795,-1.8501697200359684,-0.979496417659344,-1.2541886131362159,2.3161824544270835,0.06785074869791667,-1.8998803032769096,1.0666,-0.0326,9.2397,0.1877,-0.00536,-0.02409,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.4011,excitation,multi_sine,38.7574681306051,-666.6349097065066,298.22468731618403,-177.39065700803312,0.13266657694838097,-149.9585880320814,-24.1786,0.1323,17.8179,-125.7966,-0.7643,61.7255,80.79434083239867,27.673656350315206,83.41744904470916,-23.060209486219616,-88.98357815212674,-39.29166158040365,-2.122251302889078,-1.0339181730062654,-1.3670092289990718,2.414830525716146,0.06785074869791667,-2.103441026475694,1.0765,-0.1075,9.384,0.194,-0.02559,-0.02769,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.4211,excitation,multi_sine,38.0676811187467,-666.6307483615001,298.72433178836997,-177.39037111840136,0.13258838000128675,-149.95746254312536,-27.2273,0.1173,19.4178,-108.3493,-1.3701,46.9938,80.73397721394454,27.644123795008895,83.37820827370822,-22.98984103732639,-88.98161146375868,-39.35234069824219,-2.3943328857421875,-1.1971630436359066,-1.461467176380724,2.5945621066623263,0.13570149739583334,-2.2391425238715277,1.0491,-0.0677,8.8031,0.19925,-0.02455,-0.02469,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.4407,excitation,multi_sine,37.63249313276381,-666.6292247747236,299.0376119275969,-177.38917502073022,0.1315980417592472,-149.9572399657355,-29.3866,0.0892,20.3722,-89.9025,-1.6992,32.4261,80.6959329737295,27.625645552531328,83.35404650999767,-22.947591145833332,-88.980467054579,-39.39012315538194,-2.3943328857421875,-1.1427480867593596,-1.505874784866182,2.610651652018229,-0.0,-2.4427032470703125,1.1754,0.0378,8.6899,0.2174,-0.02242,-0.02311,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.4611,excitation,multi_sine,36.9261681377894,-666.62750301807,299.5129435622233,-177.38846406066799,0.1310965962981361,-149.95768820280344,-31.5015,0.0392,21.0947,-74.984,-1.6114,20.1839,80.63419606425974,27.597663048470373,83.31674330305344,-22.88130866156684,-88.97855122884114,-39.45064968532986,-2.61199951171875,-1.1971630436359066,-1.5795226144318533,2.826385498046875,0.06785074869791667,-2.714114718967014,1.2192,0.1647,9.0994,0.21551,-0.02426,-0.02731,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.4808,excitation,multi_sine,36.42078173428938,-666.6291025019482,299.8508368756157,-177.38728949206174,0.13015927727322224,-149.95801361304487,-32.2231,0.0048,21.024,-65.3439,-1.3418,11.0888,80.59007399153,27.57810384920328,83.29001851601176,-22.835193210177952,-88.97720336914062,-39.493916829427086,-2.7752511808187657,-1.1971630436359066,-1.653727918568224,2.9489559597439237,0.13570149739583334,-2.714114718967014,1.0773,0.0135,9.3686,0.19826,-0.01511,-0.02786,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.5011,excitation,multi_sine,35.62256964200254,-666.6264154015156,300.35351953279525,-177.38716955665498,0.13010161609151258,-149.95881644607195,-32.3094,-0.0092,20.4503,-62.4278,-1.1676,6.4928,80.52032168548887,27.54844892143023,83.25036303831799,-22.76390923394097,-88.9750756157769,-39.56204732259115,-2.992917806795328,-1.1971630436359066,-1.7490832640392946,3.0414835611979165,0.06785074869791667,-2.985526190863715,1.167,0.0104,8.8936,0.22134,-0.01836,-0.02174,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.5209,excitation,multi_sine,35.06642030936225,-666.6302952925771,300.6996183395237,-177.3865613612822,0.12967227242728557,-149.95924847174123,-33.7901,-0.0276,20.7029,-66.4928,-1.0055,7.3523,80.47180780089728,27.52876055122602,83.22213578932356,-22.715267605251736,-88.97355821397569,-39.609569973415795,-2.992917806795328,-1.251584798982828,-1.765623942460164,3.139512803819444,0.13570149739583334,-2.9176754421657987,0.8965,-0.1778,8.1644,0.18533,-0.01138,-0.02121,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
