case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
concurrent,0,3129437249516000,,186,3129437243300200,3129437243314600,3129437249572300,,,6.6895,6.2721,6.2577,True,186,186,2,184,0,True,False,IDLE,streaming,True,False,78.5851,,,0,,,False,True,not_started,True,False,,,
concurrent,1,3129437260538400,11.0224,188,3129437259336200,3129437259349400,3129437260570100,8.018,8.0174,1.3032,1.2339,1.2207,True,188,188,3,185,0,True,False,IDLE,streaming,True,False,89.2348,,,0,,,False,True,not_started,True,False,,,
concurrent,2,3129437270518200,9.9798,189,3129437267255000,3129437267267500,3129437270548700,7.9188,7.9181,3.3566,3.2937,3.2812,True,189,189,4,185,0,True,False,IDLE,streaming,True,False,99.207,,,0,,,False,True,not_started,True,False,,,
concurrent,3,3129437280470200,9.952,190,3129437275285300,3129437275294600,3129437280493400,8.0303,8.0271,5.2566,5.2081,5.1988,True,190,190,5,185,0,True,False,IDLE,streaming,True,False,109.1373,,,0,,,False,True,not_started,True,False,,,
concurrent,4,3129437290418000,9.9478,191,3129437283431500,3129437283441100,3129437290443200,8.1462,8.1465,7.1101,7.0117,7.0021,True,191,191,6,185,0,True,False,IDLE,streaming,True,False,15.2173,,,0,,,False,True,not_started,True,False,,,
concurrent,5,3129437300405700,9.9877,193,3129437299495100,3129437299526300,3129437300437200,8.0318,8.0426,1.0093,0.9421,0.9109,True,193,193,7,186,0,True,False,IDLE,streaming,True,False,25.1801,,,0,,,False,True,not_started,True,False,,,
concurrent,6,3129437310370600,9.9649,194,3129437307296400,3129437307307300,3129437310438100,7.8013,7.781,3.2567,3.1417,3.1308,True,194,194,8,186,0,True,False,IDLE,streaming,True,False,35.2288,,,0,,,False,True,not_started,True,False,,,
concurrent,7,3129437320315400,9.9448,195,3129437315362200,3129437315380700,3129437320340600,8.0658,8.0734,5.0319,4.9784,4.9599,True,195,195,9,186,0,True,False,IDLE,streaming,True,False,45.0698,,,0,,,False,True,not_started,True,False,,,
concurrent,8,3129437330331800,10.0164,196,3129437323255700,3129437323265700,3129437330356200,7.8935,7.885,7.1508,7.1005,7.0905,True,196,196,10,186,0,True,False,IDLE,streaming,True,False,55.0822,,,0,,,False,True,not_started,True,False,,,
concurrent,9,3129437340323300,9.9915,198,3129437339289400,3129437339298100,3129437340347100,8.01685,8.0162,1.1098,1.0577,1.049,True,198,198,11,187,0,True,False,IDLE,streaming,True,False,65.0749,,,0,,,False,True,not_started,True,False,,,
