case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
rtonly,0,3129182386726600,,185,3129182385425300,3129182385439300,3129182386768300,,,1.6477,1.343,1.329,True,185,185,2,183,0,True,False,IDLE,streaming,True,False,73.603,,,0,,,False,True,not_tested,False,False,,,
rtonly,1,3129182397692800,10.9662,186,3129182393265500,3129182393280100,3129182397735100,7.8402,7.8408,4.5584,4.4696,4.455,True,186,186,3,183,0,True,False,IDLE,streaming,True,False,84.3539,,,0,,,False,True,not_tested,False,False,,,
rtonly,2,3129182407479100,9.7863,187,3129182401423800,3129182401443900,3129182407524400,8.1583,8.1638,6.1991,6.1006,6.0805,True,187,187,4,183,0,True,False,IDLE,streaming,True,False,94.1529,,,0,,,False,True,not_tested,False,False,,,
rtonly,3,3129182417447800,9.9687,188,3129182409305800,3129182409322200,3129182417496500,7.882,7.8783,8.2911,8.1907,8.1743,True,188,188,5,183,0,True,False,IDLE,streaming,True,False,104.1269,,,0,,,False,True,not_tested,False,False,,,
rtonly,4,3129182427575200,10.1274,190,3129182425547700,3129182425563500,3129182427628700,8.12095,8.12065,2.2818,2.081,2.0652,True,190,190,6,184,0,True,False,IDLE,streaming,True,False,10.2861,,,0,,,False,True,not_tested,False,False,,,
rtonly,5,3129182437451500,9.8763,191,3129182433473400,3129182433492300,3129182437540100,7.9257,7.9288,4.219,4.0667,4.0478,True,191,191,7,184,0,True,False,IDLE,streaming,True,False,20.149,,,0,,,False,True,not_tested,False,False,,,
rtonly,6,3129182447544700,10.0932,192,3129182441287000,3129182441305700,3129182447595800,7.8136,7.8134,6.4192,6.3088,6.2901,True,192,192,8,184,0,True,False,IDLE,streaming,True,False,30.1628,,,0,,,False,True,not_tested,False,False,,,
rtonly,7,3129182457372900,9.8282,194,3129182457276000,3129182457302000,3129182457417900,7.9945,7.99815,0.2471,0.1419,0.1159,True,194,194,9,185,0,True,False,IDLE,streaming,True,False,39.9797,,,0,,,False,True,not_tested,False,False,,,
rtonly,8,3129182467484800,10.1119,195,3129182465469100,3129182465487000,3129182467536300,8.1931,8.185,2.1767,2.0672,2.0493,True,195,195,10,185,0,True,False,IDLE,streaming,True,False,50.1024,,,0,,,False,True,not_tested,False,False,,,
rtonly,9,3129182477280100,9.7953,196,3129182473313800,3129182473333200,3129182477330300,7.8447,7.8462,4.1219,4.0165,3.9971,True,196,196,11,185,0,True,False,IDLE,streaming,True,False,59.8923,,,0,,,False,True,not_tested,False,False,,,
rtonly,10,3129182487307500,10.0274,197,3129182481479800,3129182481497900,3129182487360500,8.166,8.1647,6.058,5.8807,5.8626,True,197,197,12,185,0,True,False,IDLE,streaming,True,False,69.9944,,,0,,,False,True,not_tested,False,False,,,
rtonly,11,3129182497290600,9.9831,198,3129182489305300,3129182489324200,3129182497344900,7.8255,7.8263,8.1555,8.0396,8.0207,True,198,198,13,185,0,True,False,IDLE,streaming,True,False,79.9174,,,0,,,False,True,not_tested,False,False,,,
rtonly,12,3129182507199200,9.9086,200,3129182505386200,3129182505406700,3129182507248700,8.04045,8.04125,1.9733,1.8625,1.842,True,200,200,14,186,0,True,False,IDLE,streaming,True,False,89.8161,,,0,,,False,True,not_tested,False,False,,,
rtonly,13,3129182517343700,10.1445,201,3129182513379200,3129182513398500,3129182517397100,7.993,7.9918,4.1313,4.0179,3.9986,True,201,201,15,186,0,True,False,IDLE,streaming,True,False,99.9671,,,0,,,False,True,not_tested,False,False,,,
rtonly,14,3129182527331600,9.9879,202,3129182521408200,3129182521431400,3129182527382500,8.029,8.0329,6.0841,5.9743,5.9511,True,202,202,16,186,0,True,False,IDLE,streaming,True,False,109.9489,,,0,,,False,True,not_tested,False,False,,,
rtonly,15,3129182537167100,9.8355,203,3129182529667100,3129182529683100,3129182537228500,8.2589,8.2517,8.0041,7.5614,7.5454,True,203,203,17,186,0,True,False,IDLE,streaming,True,False,16.1692,,,0,,,False,True,not_tested,False,False,,,
rtonly,16,3129182547261400,10.0943,205,3129182545480600,3129182545500800,3129182547313200,7.90675,7.90885,1.9431,1.8326,1.8124,True,205,205,18,187,0,True,False,IDLE,streaming,True,False,25.9217,,,0,,,False,True,not_tested,False,False,,,
rtonly,17,3129182557082200,9.8208,206,3129182553321300,3129182553339700,3129182557134000,7.8407,7.8389,3.9226,3.8127,3.7943,True,206,206,19,187,0,True,False,IDLE,streaming,True,False,35.7419,,,0,,,False,True,not_tested,False,False,,,
rtonly,18,3129182567238800,10.1566,207,3129182561438200,3129182561456300,3129182567290300,8.1169,8.1166,5.962,5.8521,5.834,True,207,207,20,187,0,True,False,IDLE,streaming,True,False,45.8982,,,0,,,False,True,not_tested,False,False,,,
rtonly,19,3129182577220400,9.9816,208,3129182569290900,3129182569309400,3129182577273200,7.8527,7.8531,8.0963,7.9823,7.9638,True,208,208,21,187,0,True,False,IDLE,streaming,True,False,55.8852,,,0,,,False,True,not_tested,False,False,,,
rtonly,20,3129182587037000,9.8166,210,3129182585297100,3129182585315400,3129182587090200,8.0031,8.003,1.9122,1.7931,1.7748,True,210,210,22,188,0,True,False,IDLE,streaming,True,False,65.7073,,,0,,,False,True,not_tested,False,False,,,
rtonly,21,3129182597150300,10.1133,211,3129182593356500,3129182593374600,3129182597201100,8.0594,8.0592,3.9546,3.8446,3.8265,True,211,211,23,188,0,True,False,IDLE,streaming,True,False,75.8091,,,0,,,False,True,not_tested,False,False,,,
