invalid_reason,operation_state,perf_counter_ns,rt_update_period_ms,sample_index,sample_period_ms,sequence_id,state_age_ms,state_host_time_s,valid
,IDLE,3113325279008800,,0,,2,,3113325.2681233,True
,IDLE,3113325300198100,24.39240040257573,1,21.1893,5,,3113325.2925157,True
,IDLE,3113325324199400,23.828699719160795,2,24.0013,8,,3113325.3163444,True
,IDLE,3113325348245500,23.917800281196833,3,24.0461,11,,3113325.3402622,True
,IDLE,3113325372119700,23.984099738299847,4,23.8742,14,,3113325.3642463,True
,IDLE,3113325396200900,23.925399873405695,5,24.0812,17,,3113325.3881717,True
,IDLE,3113325420278300,24.13649996742606,6,24.0774,20,,3113325.4123082,True
,IDLE,3113325444242600,24.054700043052435,7,23.9643,23,,3113325.4363629,True
,IDLE,3113325468232700,23.972900118678808,8,23.9901,26,,3113325.4603358,True
,IDLE,3113325484423900,15.981500037014484,9,16.1912,28,,3113325.4763173,True
,IDLE,3113325500413700,16.020200215280056,10,15.9898,30,,3113325.4923375,True
,IDLE,3113325516399600,16.08389988541603,11,15.9859,32,,3113325.5084214,True
,IDLE,3113325532307300,15.972999855875969,12,15.9077,34,,3113325.5243944,True
,IDLE,3113325548244900,15.901000238955021,13,15.9376,36,,3113325.5402954,True
,IDLE,3113325564408300,16.18599984794855,14,16.1634,38,,3113325.5564814,True
,IDLE,3113325580249000,16.0563001409173,15,15.8407,40,,3113325.5725377,True
,IDLE,3113325596259600,15.965799801051617,16,16.0106,42,,3113325.5885035,True
,IDLE,3113325620409800,23.83559988811612,17,24.1502,45,,3113325.6123391,True
,IDLE,3113325644269900,23.97250011563301,18,23.8601,48,,3113325.6363116,True
,IDLE,3113325660296500,16.193800140172243,19,16.0266,50,,3113325.6525054,True
,IDLE,3113325676231400,15.908599831163883,20,15.9349,52,,3113325.668414,True
,IDLE,3113325692221200,15.96450014039874,21,15.9898,54,,3113325.6843785,True
,IDLE,3113325708297100,16.004899982362986,22,16.0759,56,,3113325.7003834,True
,IDLE,3113325725141800,24.65769974514842,23,16.8447,59,,3113325.7250411,True
,IDLE,3113325732486900,,24,7.3451,59,,3113325.7250411,True
,IDLE,3113325748386300,15.447100158780813,25,15.8994,61,,3113325.7404882,True
,IDLE,3113325764352500,15.957599971443415,26,15.9662,63,,3113325.7564458,True
,IDLE,3113325780304900,15.960299875587225,27,15.9524,65,,3113325.7724061,True
,IDLE,3113325804256000,23.98880012333393,28,23.9511,68,,3113325.7963949,True
,IDLE,3113325828256700,24.13689997047186,29,24.0007,71,,3113325.8205318,True
,IDLE,3113325852412700,23.855000268667936,30,24.156,74,,3113325.8443868,True
,IDLE,3113325868471200,15.940699726343155,31,16.0585,76,,3113325.8603275,True
,IDLE,3113325884249600,16.072300262749195,32,15.7784,78,,3113325.8763998,True
,IDLE,3113325900372800,23.9093997515738,33,16.1232,81,,3113325.9003092,True
,IDLE,3113325916426700,8.367900270968676,34,16.0539,82,,3113325.9086771,True
,IDLE,3113325940450900,23.862999863922596,35,24.0242,85,,3113325.9325401,True
,IDLE,3113325964435200,23.98259984329343,36,23.9843,88,,3113325.9565227,True
,IDLE,3113325980427200,15.98130026832223,37,15.992,90,,3113325.972504,True
,IDLE,3113325996426700,15.754499938338995,38,15.9995,92,,3113325.9882585,True
,IDLE,3113326020438400,24.240899831056595,39,24.0117,95,,3113326.0124994,True
,IDLE,3113326044215900,23.847700096666813,40,23.7775,98,,3113326.0363471,True
,IDLE,3113326068294500,23.914699908345938,41,24.0786,101,,3113326.0602618,True
,IDLE,3113326092230600,24.06099997460842,42,23.9361,104,,3113326.0843228,True
,IDLE,3113326116258800,24.080100003629923,43,24.0282,107,,3113326.1084029,True
,IDLE,3113326132239800,15.83509985357523,44,15.981,109,,3113326.124238,True
,IDLE,3113326148205900,15.978400129824877,45,15.9661,111,,3113326.1402164,True
,IDLE,3113326172189000,24.021100252866745,46,23.9831,114,,3113326.1642375,True
,IDLE,3113326196297500,24.18689988553524,47,24.1085,117,,3113326.1884244,True
,IDLE,3113326220220400,23.88820005580783,48,23.9229,120,,3113326.2123126,True
,IDLE,3113326236393400,16.04430004954338,49,16.173,122,,3113326.2283569,True
,IDLE,3113326252401400,15.977599658071995,50,16.008,124,,3113326.2443345,True
,IDLE,3113326276290600,24.147200398147106,51,23.8892,127,,3113326.2684817,True
,IDLE,3113326292357100,15.835399739444256,52,16.0665,129,,3113326.2843171,True
,IDLE,3113326308261700,16.15979988127947,53,15.9046,131,,3113326.3004769,True
,IDLE,3113326332315600,24.040500167757273,54,24.0539,134,,3113326.3245174,True
,IDLE,3113326356229100,23.860900197178125,55,23.9135,137,,3113326.3483783,True
,IDLE,3113326380456700,23.894299753010273,56,24.2276,140,,3113326.3722726,True
,IDLE,3113326404388200,24.009100161492825,57,23.9315,143,,3113326.3962817,True
,IDLE,3113326428242000,24.12820002064109,58,23.8538,146,,3113326.4204099,True
,IDLE,3113326452265300,23.956199642270803,59,24.0233,149,,3113326.4443661,True
,IDLE,3113326476285000,23.919400293380022,60,24.0197,152,,3113326.4682855,True
,IDLE,3113326500209500,24.16409971192479,61,23.9245,155,,3113326.4924496,True
,IDLE,3113326516288400,16.26750035211444,62,16.0789,157,,3113326.5087171,True
,IDLE,3113326532339700,16.22439967468381,63,16.0513,159,,3113326.5249415,True
,IDLE,3113326548243000,15.574800316244364,64,15.9033,161,,3113326.5405163,True
,IDLE,3113326564243600,16.002799849957228,65,16.0006,163,,3113326.5565191,True
,IDLE,3113326588158700,23.828700184822083,66,23.9151,166,,3113326.5803478,True
,IDLE,3113326612281400,23.939899634569883,67,24.1227,169,,3113326.6042877,True
,IDLE,3113326636280500,24.028200190514326,68,23.9991,172,,3113326.6283159,True
,IDLE,3113326660241700,24.010700173676014,69,23.9612,175,,3113326.6523266,True
,IDLE,3113326676347600,16.170299611985683,70,16.1059,177,,3113326.6684969,True
,IDLE,3113326692235900,15.861600171774626,71,15.8883,179,,3113326.6843585,True
,IDLE,3113326716122500,24.23299988731742,72,23.8866,182,,3113326.7085915,True
,IDLE,3113326732282700,15.994100365787745,73,16.1602,184,,3113326.7245856,True
,IDLE,3113326748319600,15.9381995908916,74,16.0369,186,,3113326.7405238,True
,IDLE,3113326772413400,23.8497001118958,75,24.0938,189,,3113326.7643735,True
,IDLE,3113326796384400,23.907700087875128,76,23.971,192,,3113326.7882812,True
,IDLE,3113326820425900,24.075800087302923,77,24.0415,195,,3113326.812357,True
,IDLE,3113326844276300,23.963999934494495,78,23.8504,198,,3113326.836321,True
,IDLE,3113326860410700,24.03539977967739,79,16.1344,201,,3113326.8603564,True
,IDLE,3113326868896800,,80,8.4861,201,,3113326.8603564,True
,IDLE,3113326884203800,16.09040005132556,81,15.307,203,,3113326.8764468,True
,IDLE,3113326892211100,7.986600045114756,82,8.0073,204,,3113326.8844334,True
,IDLE,3113326908464100,15.950600150972605,83,16.253,206,,3113326.900384,True
,IDLE,3113326924915400,24.382699746638536,84,16.4513,209,,3113326.9247667,True
,IDLE,3113326932335200,,85,7.4198,209,,3113326.9247667,True
,IDLE,3113326948269200,15.730900224298239,86,15.934,211,,3113326.9404976,True
,IDLE,3113326956279500,8.020400069653988,87,8.0103,212,,3113326.948518,True
,IDLE,3113326964249000,7.980499882251024,88,7.9695,213,,3113326.9564985,True
,IDLE,3113326980264100,15.830100048333406,89,16.0151,215,,3113326.9723286,True
,IDLE,3113326996327000,16.032000072300434,90,16.0629,217,,3113326.9883606,True
,IDLE,3113327012401700,16.005199868232012,91,16.0747,219,,3113327.0043658,True
,IDLE,3113327028224900,15.9362000413239,92,15.8232,221,,3113327.020302,True
,IDLE,3113327044088500,16.031700186431408,93,15.8636,223,,3113327.0363337,True
,IDLE,3113327068225500,23.985599633306265,94,24.137,226,,3113327.0603193,True
,IDLE,3113327092257200,24.15170008316636,95,24.0317,229,,3113327.084471,True
,IDLE,3113327108583900,15.984599944204092,96,16.3267,231,,3113327.1004556,True
,IDLE,3113327124421000,15.877200290560722,97,15.8371,233,,3113327.1163328,True
,IDLE,3113327148258600,23.931999690830708,98,23.8376,236,,3113327.1402648,True
,IDLE,3113327164283600,16.210700385272503,99,16.025,238,,3113327.1564755,True
,IDLE,3113327180413900,16.033599618822336,100,16.1303,240,,3113327.1725091,True
,IDLE,3113327196318600,23.764400277286768,101,15.9047,243,,3113327.1962735,True
,IDLE,3113327204472700,,102,8.1541,243,,3113327.1962735,True
,IDLE,3113327220230500,16.06660010293126,103,15.7578,245,,3113327.2123401,True
,IDLE,3113327228233800,8.100599981844425,104,8.0033,246,,3113327.2204407,True
,IDLE,3113327244268800,15.907599590718746,105,16.035,248,,3113327.2363483,True
,IDLE,3113327268242300,23.978300392627716,106,23.9735,251,,3113327.2603266,True
,IDLE,3113327292272800,24.047999642789364,107,24.0305,254,,3113327.2843746,True
,IDLE,3113327316419900,24.00230010971427,108,24.1471,257,,3113327.3083769,True
,IDLE,3113327340425600,23.91109988093376,109,24.0057,260,,3113327.332288,True
,IDLE,3113327364250200,24.139500223100185,110,23.8246,263,,3113327.3564275,True
,IDLE,3113327388295700,23.87249981984496,111,24.0455,266,,3113327.3803,True
,IDLE,3113327412276700,23.99960020557046,112,23.981,269,,3113327.4042996,True
,IDLE,3113327436444200,24.08650005236268,113,24.1675,272,,3113327.4283861,True
,IDLE,3113327460246400,24.152900092303753,114,23.8022,275,,3113327.452539,True
,IDLE,3113327476409700,23.780399933457375,115,16.1633,278,,3113327.4763194,True
,IDLE,3113327492248400,8.209099993109703,116,15.8387,279,,3113327.4845285,True
,IDLE,3113327508309800,16.00730000063777,117,16.0614,281,,3113327.5005358,True
,IDLE,3113327524382200,15.998399816453457,118,16.0724,283,,3113327.5165342,True
,IDLE,3113327548306800,23.73730018734932,119,23.9246,286,,3113327.5402715,True
,IDLE,3113327572253300,24.03909992426634,120,23.9465,289,,3113327.5643106,True
,IDLE,3113327588275800,16.04849984869361,121,16.0225,291,,3113327.5803591,True
,IDLE,3113327604264400,15.993400011211634,122,15.9886,293,,3113327.5963525,True
,IDLE,3113327620230600,15.999299939721823,123,15.9662,295,,3113327.6123518,True
,IDLE,3113327660273500,40.14130029827356,124,40.0429,300,,3113327.6524931,True
,IDLE,3113327684386100,23.83989980444312,125,24.1126,303,,3113327.676333,True
,IDLE,3113327708291800,24.028600193560123,126,23.9057,306,,3113327.7003616,True
,IDLE,3113327724499200,15.940799843519926,127,16.2074,308,,3113327.7163024,True
,IDLE,3113327740362300,16.166800167411566,128,15.8631,310,,3113327.7324692,True
,IDLE,3113327764399300,23.813599720597267,129,24.037,313,,3113327.7562828,True
,IDLE,3113327780420000,16.230700071901083,130,16.0207,315,,3113327.7725135,True
,IDLE,3113327796446200,15.978300012648106,131,16.0262,317,,3113327.7884918,True
,IDLE,3113327820428100,23.871200159192085,132,23.9819,320,,3113327.812363,True
,IDLE,3113327836445000,15.979799907654524,133,16.0169,322,,3113327.8283428,True
,IDLE,3113327852242000,16.049399971961975,134,15.797,324,,3113327.8443922,True
,IDLE,3113327868314800,15.964900143444538,135,16.0728,326,,3113327.8603571,True
,IDLE,3113327884255500,16.002899967134,136,15.9407,328,,3113327.87636,True
,IDLE,3113327900464200,15.984300058335066,137,16.2087,330,,3113327.8923443,True
,IDLE,3113327916470000,16.12409995868802,138,16.0058,332,,3113327.9084684,True
,IDLE,3113327932290200,16.09160006046295,139,15.8202,334,,3113327.92456,True
,IDLE,3113327948432700,15.758399851620197,140,16.1425,336,,3113327.9403184,True
,IDLE,3113327964369400,16.025600023567677,141,15.9367,338,,3113327.956344,True
,IDLE,3113327980338300,15.976800117641687,142,15.9689,340,,3113327.9723208,True
,IDLE,3113327996275500,16.097599640488625,143,15.9372,342,,3113327.9884184,True
,IDLE,3113328012296500,16.089200042188168,144,16.021,344,,3113328.0045076,True
,IDLE,3113328036409900,23.876800201833248,145,24.1134,347,,3113328.0283844,True
,IDLE,3113328060306700,23.960100021213293,146,23.8968,350,,3113328.0523445,True
,IDLE,3113328084202400,23.974299896508455,147,23.8957,353,,3113328.0763188,True
,IDLE,3113328108156000,23.96469982340932,148,23.9536,356,,3113328.1002835,True
,IDLE,3113328132218000,24.496700149029493,149,24.062,359,,3113328.1247802,True
,IDLE,3113328156260800,23.51129986345768,150,24.0428,362,,3113328.1482915,True
,IDLE,3113328180192000,24.034100119024515,151,23.9312,365,,3113328.1723256,True
,IDLE,3113328204247400,23.965000174939632,152,24.0554,368,,3113328.1962906,True
,IDLE,3113328220373700,16.14029984921217,153,16.1263,370,,3113328.2124309,True
,IDLE,3113328236230600,16.01869985461235,154,15.8569,372,,3113328.2284496,True
,IDLE,3113328260277100,23.905999958515167,155,24.0465,375,,3113328.2523556,True
,IDLE,3113328300259500,40.091400034725666,156,39.9824,380,,3113328.292447,True
,IDLE,3113328326613300,24.081800132989883,157,26.3538,383,,3113328.3165288,True
,IDLE,3113328348189000,23.763600271195173,158,21.5757,386,,3113328.3402924,True
,IDLE,3113328372176100,24.091399740427732,159,23.9871,389,,3113328.3643838,True
,IDLE,3113328396147900,23.948099929839373,160,23.9718,392,,3113328.3883319,True
,IDLE,3113328420154100,24.053100030869246,161,24.0062,395,,3113328.412385,True
,IDLE,3113328444149800,23.870000150054693,162,23.9957,398,,3113328.436255,True
,IDLE,3113328468166300,24.126899894326925,163,24.0165,401,,3113328.4603819,True
,IDLE,3113328492276300,23.937600199133158,164,24.11,404,,3113328.4843195,True
,IDLE,3113328508633800,15.955699607729912,165,16.3575,406,,3113328.5002752,True
,IDLE,3113328524330300,16.0524002276361,166,15.6965,408,,3113328.5163276,True
,IDLE,3113328548155700,23.98099983111024,167,23.8254,411,,3113328.5403086,True
,IDLE,3113328572170100,23.95289996638894,168,24.0144,414,,3113328.5642615,True
,IDLE,3113328596172500,23.979900404810905,169,24.0024,417,,3113328.5882414,True
