sequence_id,cache_sequence_id,scheduled_time_ns,call_start_ns,call_end_ns,query_latency_ms,host_call_start_monotonic_ns,host_call_end_monotonic_ns,latency_ms,success,error_code,error_message,robot_state_at_call,robot_operation_state,latest_rt_sequence,latest_rt_timestamp,latest_rt_timestamp_ns,latest_rt_age_ms,rt_sequence_after_call,rt_updates_during_call,previous_success_latency_ms,time_since_last_success_ms,cartesian_force_raw_n,cartesian_torque_raw_nm,joint_measured_torque_nm,joint_external_torque_nm
1,1,3116311075888400,3116311075889400,3116311077093500,1.2041,3116311075889400,3116311077093500,1.2041,True,,,IDLE,IDLE,4,3116311.0676982,3116311067698200,8.233300410211086,4,0,,,"[-4.115183042902315, -5.096029728923458, -8.453998172245475]","[2.1305010193892446, -0.4620023779991774, 0.6588721315115583]","[1.5226666666666764, -76.70615505499975, 19.221764404411246, 3.143065645802756, -0.09254399028007403, 0.6526112771270975]","[1.5226666666666766, -3.927137959545618, 4.029260395051185, 1.066643187927919, -0.08711970931445642, 0.6526071497761167]"
2,2,3116311125888400,3116311132100200,3116311133334500,1.2343,3116311132100200,3116311133334500,1.2343,True,,,IDLE,IDLE,11,3116311.1239262,3116311123926200,8.214499801397324,11,0,1.2041,56.241,"[-5.496060442044793, -6.215831042006039, -7.815043822206548]","[2.728729534868119, -0.760380626625325, 0.7076216401954472]","[1.878222222222232, -75.94610455790199, 19.626649932529403, 3.143065645802756, 0.025743711790976516, 0.7011863551641846]","[1.8782222222222305, -3.167113014017332, 4.434147269356142, 1.0666433675387177, 0.03116794546486382, 0.7011822277484382]"
3,3,3116311175888400,3116311187743300,3116311189079800,1.3365,3116311187743300,3116311189079800,1.3365,True,,,IDLE,IDLE,18,3116311.1800177,3116311180017700,7.806600071489811,18,0,1.2343,55.7453,"[-4.106566642442396, -4.255970419421733, -8.726229984261993]","[1.4962655954727366, -0.621967859241649, 0.7271022825226554]","[0.989333333333343, -76.70615505499975, 19.120543022381707, 3.445448274409701, 0.07305879261939673, 0.7254738941827281]","[0.9893333333333386, -3.9271449619558325, 3.928046015432404, 1.3690268562957675, 0.07848278518051105, 0.7254697662741226]"
4,4,3116311225888400,3116311235842400,3116311237030900,1.1885,3116311235842400,3116311237030900,1.1885,True,,,IDLE,IDLE,24,3116311.2277731,3116311227773100,8.105899672955275,24,0,1.3365,47.9511,"[-4.683762271918773, -4.697874530022479, -7.622316173724763]","[1.8818073420863324, -0.7213878012133258, 0.7037938664146602]","[1.1671111111111208, -75.94610455790199, 19.120543022381707, 3.2942569601062286, 0.09671633303360683, 0.7011863551641846]","[1.1671111111111228, -3.167104648036627, 3.9280319932276857, 1.2178336075278127, 0.1021411394127265, 0.7011822286001322]"
5,5,3116311275888400,3116311283889600,3116311284877000,0.9874,3116311283889600,3116311284877000,0.9874,True,,,IDLE,IDLE,30,3116311.2757205,3116311275720500,8.199700154364109,30,0,1.1885,47.8461,"[-3.735300376264372, -5.433678218174839, -7.739673503370509]","[1.488617266085237, -0.4779723959438448, 0.7284113047517443]","[1.700444444444454, -76.32612980645088, 18.81687887629309, 3.395051169641877, -0.0215713690374437, 0.7254738941827281]","[1.7004444444444469, -3.5471194270806023, 3.6243815830173975, 1.3186297540354333, -0.016147090097488576, 0.725469766703488]"
6,6,3116311325888400,3116311331837500,3116311332999400,1.1619,3116311331837500,3116311332999400,1.1619,True,,,IDLE,IDLE,36,3116311.3238925,3116311323892500,7.989100180566311,36,0,0.9874,48.1224,"[-3.147865985793983, -3.8535751707552257, -9.105636126301516]","[1.394433852700719, -0.5229081895186438, 0.6546583522712209]","[0.989333333333343, -77.08618030354864, 18.71565749426355, 3.2942569601062286, 0.09671633303360683, 0.6526112771270975]","[0.9893333333333413, -4.30717960360964, 3.52314567503646, 1.2178335676774346, 0.10214085009704171, 0.6526071499871353]"
7,7,3116311375888400,3116311379994300,3116311381361500,1.3672,3116311379994300,3116311381361500,1.3672,True,,,IDLE,IDLE,42,3116311.3718026,3116311371802600,8.25399998575449,42,0,1.1619,48.3621,"[-3.3844470129994053, -4.929286466936817, -9.046154583109155]","[2.132172203572775, -0.6539262974279331, 0.681375903528061]","[1.5226666666666764, -76.8961676792742, 18.71565749426355, 3.092668541034932, 0.19134649469044723, 0.6768988161456411]","[1.5226666666666726, -4.117176372022996, 3.5231308623392916, 1.016243174432602, 0.19677153668556716, 0.6768946897799462]"
8,8,3116311425888400,3116311427949500,3116311429200800,1.2513,3116311427949500,3116311429200800,1.2513,True,,,IDLE,IDLE,48,3116311.4202291,3116311420229100,7.7629997394979,48,0,1.3672,47.8393,"[-5.252588085778875, -4.631909757885309, -8.702122777863025]","[2.4551884504320416, -0.7060693559629346, 0.7553544541150048]","[0.989333333333343, -76.51614243072531, 19.727871314558943, 3.243859855338404, 0.002086171376766406, 0.7497614332012715]","[0.9893333333333393, -3.7371766750477633, 4.535346028821076, 1.1674346683468233, 0.00751116608015613, 0.7497573067708114]"
9,9,3116311475888400,3116311483653400,3116311484675700,1.0223,3116311483653400,3116311484675700,1.0223,True,,,IDLE,IDLE,55,3116311.4759964,3116311475996400,7.701199967414141,55,0,1.2513,55.4749,"[-3.9629730901153, -5.366224828858183, -7.906685301978147]","[1.5425793419145706, -0.5542589850121934, 0.6550987286366388]","[1.700444444444454, -76.32612980645088, 18.918100258322628, 3.3446540648740526, 0.025743711790976516, 0.6526112771270975]","[1.700444444444449, -3.5471368994174384, 3.7255962320010685, 1.2682317519155308, 0.0311682293362267, 0.6526071499997963]"
10,10,3116311525888400,3116311539910300,3116311540926800,1.0165,3116311539910300,3116311540926800,1.0165,True,,,IDLE,IDLE,62,3116311.5317641,3116311531764100,8.176600094884634,62,0,1.0223,56.2511,"[-2.880295152999082, -4.590269750894155, -10.034003054188066]","[1.38483366598, -0.6786208275651008, 0.7503099724293711]","[1.3448888888888986, -77.46620555209752, 18.61443611223401, 3.445448274409701, 0.2859766563472877, 0.7497614332012715]","[1.3448888888888946, -4.687194095904701, 3.421937742136288, 1.3690268216014427, 0.29140093277974, 0.7497573055811113]"
