stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118866967931800,,98,3118866960074000,7.8578,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118866984022800,16.091,100,3118866976018300,8.0045,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118867015925700,31.9029,104,3118867007952300,7.9734,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118867039986200,24.0605,107,3118867032033100,7.9531,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118867071910200,31.924,111,3118867064178300,7.7319,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118867103929200,32.019,115,3118867096041900,7.8873,True,IDLE,0,,False,True,7804,,True,,not_started,,False,,,
overlap,3118867135938300,32.0091,119,3118867127959700,7.9786,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,0.0,False,,,
overlap,3118867168078700,32.1404,123,3118867160003900,8.0748,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,21.8879,False,,,
overlap,3118867199927500,31.8488,127,3118867191988300,7.9392,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,53.7367,False,,,
overlap,3118867232053700,32.1262,131,3118867224061000,7.9927,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,85.8629,False,,,
overlap,3118867272170100,40.1164,136,3118867264444700,7.7254,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,125.9793,False,,,
overlap,3118867296178400,24.0083,139,3118867288213200,7.9652,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,149.9876,False,,,
overlap,3118867320053800,23.8754,142,3118867312111600,7.9422,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,173.863,False,,,
overlap,3118867352164500,32.1107,146,3118867344233100,7.9314,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,205.9737,False,,,
overlap,3118867383902900,31.7384,150,3118867376138300,7.7646,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,237.7121,False,,,
overlap,3118867392146800,8.2439,151,3118867384211300,7.9355,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,245.956,False,,,
overlap,3118867432008200,39.8614,156,3118867424047500,7.9607,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,285.8174,False,,,
overlap,3118867455973700,23.9655,159,3118867448275000,7.6987,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,309.7829,False,,,
overlap,3118867487868900,31.8952,163,3118867479993400,7.8755,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,341.6781,False,,,
overlap,3118867504073000,16.2041,165,3118867496056000,8.017,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,357.8822,False,,,
overlap,3118867535877800,31.8048,169,3118867527905200,7.9726,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,389.687,False,,,
overlap,3118867559944000,24.0662,172,3118867552058900,7.8851,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,413.7532,False,,,
overlap,3118867591943900,31.9999,176,3118867583990200,7.9537,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,445.7531,False,,,
overlap,3118867608031900,16.088,178,3118867600087800,7.9441,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,461.8411,False,,,
overlap,3118867639919400,31.8875,182,3118867632053600,7.8658,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,493.7286,False,,,
overlap,3118867672169900,32.2505,186,3118867663988900,8.181,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,525.9791,False,,,
overlap,3118867704178100,32.0082,190,3118867696255000,7.9231,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,557.9873,False,,,
overlap,3118867736078500,31.9004,194,3118867728166200,7.9123,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,589.8877,False,,,
overlap,3118867768092000,32.0135,198,3118867760104700,7.9873,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,621.9012,False,,,
overlap,3118867799934400,31.8424,202,3118867792046500,7.8879,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,653.7436,False,,,
overlap,3118867824189300,24.2549,205,3118867816088000,8.1013,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,677.9985,False,,,
overlap,3118867856107400,31.9181,209,3118867848186200,7.9212,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,709.9166,False,,,
overlap,3118867888263000,32.1556,213,3118867880598300,7.6647,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,742.0722,False,,,
overlap,3118867912214900,23.9519,216,3118867904280300,7.9346,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,766.0241,False,,,
overlap,3118867936093100,23.8782,219,3118867928133500,7.9596,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,789.9023,False,,,
overlap,3118867967945900,31.8528,223,3118867959881600,8.0643,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,821.7551,False,,,
overlap,3118867992140600,24.1947,226,3118867984069800,8.0708,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,845.9498,False,,,
overlap,3118868024047200,31.9066,230,3118868016027400,8.0198,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,877.8564,False,,,
overlap,3118868056202600,32.1554,234,3118868048184700,8.0179,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,910.0118,False,,,
overlap,3118868087979900,31.7773,238,3118868080467900,7.512,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,941.7891,False,,,
overlap,3118868119871200,31.8913,242,3118868111989900,7.8813,True,IDLE,0,,False,True,7804,3118867145639300,True,,connecting,973.6804,False,,,
