adapter_query_finished_s,adapter_query_started_s,deadline_miss,finished_perf_ns,invalid_reason,query_duration_ms,raw_force_frame,sample_index,scheduled_perf_ns,start_lateness_ms,started_perf_ns,valid
3113400.7028703,3113400.7018662,False,3113400702921900,,1.0681,world,0,3113400701852900,0.0009,3113400701853800,True
3113400.733834,3113400.7329327,False,3113400733879400,,0.9725,world,1,3113400721852900,11.054,3113400732906900,True
3113400.7498578,3113400.7489719,False,3113400749950200,,1.0348,world,2,3113400741852900,7.0625,3113400748915400,True
3113400.7742319,3113400.773142,False,3113400774293700,,1.2956,world,3,3113400761852900,11.1452,3113400772998100,True
3113400.7901079,3113400.7890695,False,3113400790220400,,1.1938,world,4,3113400781852900,7.1737,3113400789026600,True
3113400.8139949,3113400.8130588,False,3113400814060800,,1.0361,world,5,3113400801852900,11.1718,3113400813024700,True
3113400.8301118,3113400.8290543,False,3113400830209200,,1.1793,world,6,3113400821852900,7.177,3113400829029900,True
3113400.8541675,3113400.8530703,False,3113400854220800,,1.1747,world,7,3113400841852900,11.1932,3113400853046100,True
3113400.86993,3113400.8690795,False,3113400869980300,,0.9241,world,8,3113400861852900,7.2033,3113400869056200,True
3113400.8939666,3113400.8928893,False,3113400894020500,,1.1596,world,9,3113400881852900,11.008,3113400892860900,True
3113400.9099096,3113400.9090526,False,3113400909964800,,0.9366,world,10,3113400901852900,7.1753,3113400909028200,True
3113400.9340039,3113400.9328794,False,3113400934058800,,1.2033,world,11,3113400921852900,11.0026,3113400932855500,True
3113400.9498525,3113400.9488777,False,3113400949898300,,1.0445,world,12,3113400941852900,7.0009,3113400948853800,True
3113400.9738906,3113400.9729606,False,3113400973954100,,1.0525,world,13,3113400961852900,11.0487,3113400972901600,True
3113400.9899194,3113400.9888574,False,3113400990012800,,1.1796,world,14,3113400981852900,6.9803,3113400988833200,True
3113401.0138467,3113401.0128832,False,3113401013894900,,1.0389,world,15,3113401001852900,11.0031,3113401012856000,True
3113401.0297694,3113401.028899,False,3113401029815500,,0.9406,world,16,3113401021852900,7.022,3113401028874900,True
3113401.0538293,3113401.0528999,False,3113401053873500,,0.9972,world,17,3113401041852900,11.0234,3113401052876300,True
3113401.0698341,3113401.0688792,False,3113401069878100,,1.0225,world,18,3113401061852900,7.0027,3113401068855600,True
3113401.0937902,3113401.0929192,False,3113401093830300,,0.937,world,19,3113401081852900,11.0404,3113401092893300,True
3113401.1098095,3113401.1088739,False,3113401109849800,,0.9984,world,20,3113401101852900,6.9985,3113401108851400,True
3113401.1339109,3113401.1330363,False,3113401133971400,,0.9596,world,21,3113401121852900,11.1589,3113401133011800,True
3113401.149813,3113401.1488618,False,3113401149857600,,1.02,world,22,3113401141852900,6.9847,3113401148837600,True
3113401.1738027,3113401.1728889,False,3113401173871000,,1.0415,world,23,3113401161852900,10.9766,3113401172829500,True
3113401.1898147,3113401.1888852,False,3113401189911300,,1.0416,world,24,3113401181852900,7.0168,3113401188869700,True
3113401.2137937,3113401.2129086,False,3113401213857500,,0.9853,world,25,3113401201852900,11.0193,3113401212872200,True
3113401.2301407,3113401.2291334,False,3113401230203500,,1.1137,world,26,3113401221852900,7.2369,3113401229089800,True
3113401.2537666,3113401.2528295,False,3113401253810400,,1.0054,world,27,3113401241852900,10.9521,3113401252805000,True
3113401.270082,3113401.2690643,False,3113401270136100,,1.0965,world,28,3113401261852900,7.1867,3113401269039600,True
3113401.2937564,3113401.2928433,False,3113401293805800,,0.9879,world,29,3113401281852900,10.965,3113401292817900,True
3113401.3655814,3113401.3288616,True,3113401365720200,,36.8982,world,30,3113401328820500,0.0015,3113401328822000,True
3113401.3668195,3113401.3657509,False,3113401366881000,,1.1498,world,31,3113401348820500,16.9107,3113401365731200,True
3113401.3818559,3113401.3808845,False,3113401381982400,,1.1496,world,32,3113401368820500,12.0123,3113401380832800,True
