factor_id,endpoint,range_role,scale,evidence_class,profile_id,factor_scales_json,target_count,target_ids,reference_id,reference_sha256,duration_s,sample_count,tau_truth_hip_rms_nm,tau_truth_knee_rms_nm,tau_truth_hip_peak_abs_nm,tau_truth_knee_peak_abs_nm,source_equality_residual_max,algebraic_residual_max_nm,all_state_finite,muscle_state_all_finite,tendon_state_all_finite,warning_count,maximum_actuator_force_abs_n,peak_force_actuator,peak_force_time_s,maximum_single_actuator_force_share,tendon_length_min_m,tendon_length_max_m,prescribed_joint_limit_active_max,prescribed_tendon_limit_active_max,prescribed_contact_active_max,tracking_q_max_abs_deg,controlled_knee_min_deg,controlled_knee_max_deg,truth_semantics_version,truth_field,replay_sha256,prescribed_runtime_s,controlled_runtime_s,total_runtime_s,peak_force_ratio_vs_nominal,force_concentration_share_ratio_vs_nominal,integrity_gate_results_json,all_integrity_gates_pass,abnormal_force_concentration_observed
FEMUR_MASS_INERTIA_SCALE,EXTENDED_LOWER,EXTENDED_STRESS_ONLY,0.76,E2,FEMUR_MASS_INERTIA_SCALE:EXTENDED_LOWER,"{""FEMUR_MASS_INERTIA_SCALE"":0.76,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",1,femur_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,34.58711417846215,11.141914597771377,49.07224709336188,17.227371087475206,0.000566901215493805,7.105427357601002e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.5785605716831891,18.35481394984986,119.5455850664046,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0f748fc58054cca9bcac0a1a9834bd82350afdcbc5e713679ed56355c5681ac2,0.16868429101305082,2.238801874977071,2.4074861659901217,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
FEMUR_MASS_INERTIA_SCALE,CONSERVATIVE_LOWER,PRIMARY_CONSERVATIVE,0.88,E2,FEMUR_MASS_INERTIA_SCALE:CONSERVATIVE_LOWER,"{""FEMUR_MASS_INERTIA_SCALE"":0.88,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",1,femur_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,35.46241748993335,11.141914597771377,50.734697018034694,17.22737108747521,0.0005669013890068509,7.105427357601002e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.6001285043733422,18.35481394984986,119.545588481699,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,7f0796eb27763eb57588e2ecc0fbf3170e51cad002afc522af649b5b25108c01,0.1712925829924643,2.239293208986055,2.4105857919785194,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
FEMUR_MASS_INERTIA_SCALE,NOMINAL,NOMINAL,1.0,E2,FEMUR_MASS_INERTIA_SCALE:NOMINAL,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",0,,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,36.34774376959963,11.141914597771377,52.397146942707494,17.227371087475195,0.0005669015303355132,7.105427357601002e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.621851312569234,18.35481394984986,119.54559189516057,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,79d6b912ab5d5f7e7b9b17256e9991847480c52c8750d79e2fb1e6b32785f875,0.17165770899737254,2.2572654579998925,2.428923166997265,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
FEMUR_MASS_INERTIA_SCALE,CONSERVATIVE_UPPER,PRIMARY_CONSERVATIVE,1.12,E2,FEMUR_MASS_INERTIA_SCALE:CONSERVATIVE_UPPER,"{""FEMUR_MASS_INERTIA_SCALE"":1.12,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",1,femur_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,37.242378225945664,11.141914597771377,54.05959686738029,17.22737108747521,0.0005669016491559493,7.105427357601002e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.6437319873107479,18.35481394984986,119.54559530728783,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,1d7c2ff3c07697dfdaf85fb7f8a2cb2f13c18cb2ddada5edc6fe9d40bec1a851,0.1670709999743849,2.2331561670289375,2.4002271670033224,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
FEMUR_MASS_INERTIA_SCALE,EXTENDED_UPPER,EXTENDED_STRESS_ONLY,1.24,E2,FEMUR_MASS_INERTIA_SCALE:EXTENDED_UPPER,"{""FEMUR_MASS_INERTIA_SCALE"":1.24,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",1,femur_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,38.145665947550306,11.141914597771377,55.7220467920531,17.227371087475195,0.0005669017515695599,1.0658141036401503e-14,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.6657732229177495,18.35481394984986,119.54559871837986,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,03f83b399e9f240acf757d57c0b1e2252bfec8c868714ab278e29a17f33f3a0a,0.16672629199456424,2.229357832984533,2.3960841249790974,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,EXTENDED_LOWER,EXTENDED_STRESS_ONLY,0.74,E2,TIBIA_PATELLA_MASS_INERTIA_SCALE:EXTENDED_LOWER,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":0.74}",2,patella_r;tibia_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,33.144698766203604,9.665771919758223,47.32192756232373,15.563272219675797,0.0005663428024960393,8.881784197001252e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.5511072667626101,18.35481394984986,119.52652631618001,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,01512266c07fd5d8abe88cc26f1af3f9ed710c04975dd59a1ee6bdcead94f630,0.16868320800131187,2.2488626670092344,2.4175458750105463,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,CONSERVATIVE_LOWER,PRIMARY_CONSERVATIVE,0.87,E2,TIBIA_PATELLA_MASS_INERTIA_SCALE:CONSERVATIVE_LOWER,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":0.87}",2,patella_r;tibia_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,34.74548913514101,10.396815822837628,49.85953725251561,16.395212733788835,0.000566622120940061,1.0658141036401503e-14,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.585900970750966,18.35481394984986,119.53605945565477,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,8b4477aef777ede806d71823be96f86069b8583c4cd790e9562501680dad4b6f,0.16915416601113975,2.252947958011646,2.4221021240227856,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,NOMINAL,NOMINAL,1.0,E2,TIBIA_PATELLA_MASS_INERTIA_SCALE:NOMINAL,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.0}",0,,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,36.34774376959963,11.141914597771377,52.397146942707494,17.227371087475195,0.0005669015303355132,7.105427357601002e-15,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.621851312569234,18.35481394984986,119.54559189516057,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,79d6b912ab5d5f7e7b9b17256e9991847480c52c8750d79e2fb1e6b32785f875,0.17165770899737254,2.2572654579998925,2.428923166997265,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,CONSERVATIVE_UPPER,PRIMARY_CONSERVATIVE,1.13,E2,TIBIA_PATELLA_MASS_INERTIA_SCALE:CONSERVATIVE_UPPER,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.13}",2,patella_r;tibia_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,37.95127721175112,11.898428121178814,54.934756632899365,18.05952944116155,0.0005671810337532987,1.0658141036401503e-14,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.6589657529654135,18.35481394984986,119.5551236329771,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,91c3720ff2a79f7af360f8c260101d98c6047d969405493d4e25a31aadf7273f,0.16986712499056011,2.238546332984697,2.408413457975257,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
TIBIA_PATELLA_MASS_INERTIA_SCALE,EXTENDED_UPPER,EXTENDED_STRESS_ONLY,1.26,E2,TIBIA_PATELLA_MASS_INERTIA_SCALE:EXTENDED_UPPER,"{""FEMUR_MASS_INERTIA_SCALE"":1.0,""FOOT_COMPLEX_MASS_INERTIA_SCALE"":1.0,""HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE"":1.0,""HIP_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""KNEE_ONLY_PASSIVE_FP_MAX_SCALE"":1.0,""TIBIA_PATELLA_MASS_INERTIA_SCALE"":1.26}",2,patella_r;tibia_r,NATIVE_ROM_REFERENCE_CANDIDATE,208a13cef47ff5407348db27dc0a8570e803f9191fbb29b85fabf3fb71012678,24.0,401,39.555933939528416,12.664310948744527,57.47236632309124,18.891687794847922,0.0005674606327762816,1.0658141036401503e-14,True,True,True,0,491.8163353892764,glmax1_r,9.792,0.3625197461946384,0.07248989925726775,0.5854216436409769,1,0,0,0.6972234792769676,18.35481394984986,119.5646546675627,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,3903bd65152c540bc90cb4ebaaec338bdb8169265e23569ed2813a763ec2bbae,0.16651650000130758,2.2314363330369815,2.397952833038289,1.0,1.0,"{""equality_integrity"":true,""finite"":true,""model_load_and_reference"":true,""native_knee_rom"":true,""no_force_explosion"":true,""no_new_contact_or_limit_mode"":true,""no_solver_warning"":true,""tracking"":true,""truth_algebra"":true,""truth_identity"":true}",True,False
