hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
30.0,ASCENDING_100_TO_125,0.0,100.0,99.99899968829834,2.220446049250313e-16,200.88294975759882,"[0.0064273201052656385,0.0014209458859201947,0.004434011009469157,0.26242894822576635,-0.030157421257816203,-0.014760688737627613,-1.4313257571784563]",True,0
30.0,ASCENDING_100_TO_125,0.02,100.0000019940048,99.98624734521785,7.876631167835768e-05,198.28453712277636,"[0.00643765499498548,0.0014135158416286985,0.0044419233264067735,0.2624263605264319,-0.030080768993607485,-0.014794505809959665,-1.431101423317535]",True,0
30.0,ASCENDING_100_TO_125,0.04,100.0000159041536,100.00840968565456,0.00016960226617151672,195.5548658702093,"[0.006446324213203036,0.001408699574957016,0.004427651050803099,0.26242859109257244,-0.029980092584840863,-0.014849360317152633,-1.4314588447970753]",True,0
30.0,ASCENDING_100_TO_125,0.06,100.0000535151664,100.02378516664533,0.00022427600901762587,193.9992856478258,"[0.006450304459989252,0.0014072173424063406,0.004418069145785405,0.26243012303808905,-0.02991917712941039,-0.014882797713514884,-1.431719941684434]",True,0
30.0,ASCENDING_100_TO_125,0.08,100.0001264689152,100.02594922976671,0.0002515709957328256,193.18390757475785,"[0.006452213140705392,0.0014064085521713198,0.004416719611414224,0.26243014856500413,-0.02989177509125037,-0.014896393340388277,-1.4317603309661715]",True,0
30.0,ASCENDING_100_TO_125,0.1,100.000246265,100.0227012175475,0.0002639134354869774,192.77056209844508,"[0.006453417737381641,0.0014055529347329323,0.004418739456551429,0.2624296075358552,-0.02988161245170479,-0.01490029604955271,-1.4317054335250292]",True,0
30.0,ASCENDING_100_TO_125,0.12,100.0004242613248,100.01969495204665,0.00026913233358151836,192.57251308091236,"[0.0064542261472239106,0.0014048352462289557,0.0044206020090239,0.2624291630568693,-0.029878172056298325,-0.014901123014306326,-1.4316524363058658]",True,0
30.0,ASCENDING_100_TO_125,0.14,100.0006716746736,100.01833424678618,0.0002712390073979533,192.48661345777515,"[0.006454690961368879,0.0014044036955151566,0.004421441309873053,0.2624289584568866,-0.02987686282187596,-0.014901410427250772,-1.4316274994068674]",True,0
30.0,ASCENDING_100_TO_125,0.16,100.0009995812864,100.01808101755513,0.00027206782803515864,192.4539012922192,"[0.0064549131023557615,0.0014042055962763902,0.004421596586599651,0.26242890978335215,-0.029876202729728824,-0.014901685901519551,-1.431622280280193]",True,0
30.0,ASCENDING_100_TO_125,0.18,100.0014189174352,100.01832529215865,0.00027239152802155733,192.44387395313615,"[0.006455007711751366,0.001404132193419095,0.004421445766493804,0.26242893420365965,-0.02987576779104736,-0.014901978748331227,-1.4316261509553834]",True,0
30.0,ASCENDING_100_TO_125,0.2,100.00194048,100.0187921398121,0.0002725190187509441,192.44299516214258,"[0.006455050281277071,0.001404109605255827,0.004421157209620217,0.2624289935375862,-0.029875405073464,-0.014902291324476815,-1.4316340407960635]",True,0
30.0,ASCENDING_100_TO_125,0.22,100.0025749270448,100.0194026621325,0.00027257104788706854,192.44599387293883,"[0.006455076426137908,0.0014041040923071652,0.004420778717679584,0.26242907516410463,-0.029875040112912678,-0.014902642016125744,-1.4316443983804463]",True,0
30.0,ASCENDING_100_TO_125,0.24,100.0033327783936,100.02014592664985,0.0002725946081322088,192.45100553616504,"[0.0064550997514059875,0.0014041036497475727,0.004420317058611672,0.2624291761883612,-0.029874633722126415,-0.0149030488168712,-1.431656973041504]",True,0
30.0,ASCENDING_100_TO_125,0.26,100.0042244162064,100.02102835964457,0.00027260801863018824,192.4574298151068,"[0.006455124781518693,0.0014041048375434673,0.004419768511277543,0.2624292967755797,-0.02987416510376658,-0.014903524354384221,-1.4316718679088054]",True,0
30.0,ASCENDING_100_TO_125,0.28,100.0052600855552,100.02205897402338,0.00027261844831487705,192.46510370896556,"[0.006455152973127931,0.0014041068696688263,0.004419127645891848,0.26242943784084594,-0.029873622761112908,-0.014904076952858576,-1.431689243808803]",True,0
30.0,ASCENDING_100_TO_125,0.3,100.006449895,100.02324648518321,0.0002726287195170124,192.47400970469053,"[0.006455184935808036,0.001404109564905383,0.00441838913199466,0.2624296004427764,-0.029872999497005077,-0.014904712605325644,-1.4317092554705406]",True,0
30.0,ASCENDING_100_TO_125,0.32,100.0078038171648,100.02459954928929,0.0002726399603783791,192.4841815365327,"[0.0064552210828053725,0.001404112832060107,0.004417547644261276,0.2624297857095869,-0.029872289759770874,-0.014905436448610282,-1.4317320531818618]",True,0
30.0,ASCENDING_100_TO_125,0.34,100.0093316893136,100.02612712321707,0.00027265264793975216,192.49567417826157,"[0.006455261765006536,0.0014041166079627688,0.004416597651543493,0.26242999483570295,-0.029871488461656753,-0.014906253465146447,-1.4317577899683755]",True,0
30.0,ASCENDING_100_TO_125,0.36,100.0110432139264,100.02783843841215,0.000272667017132331,192.5085522232449,"[0.006455307291064896,0.0014041208627702437,0.004415533440341473,0.26243022905782876,-0.029870590602104362,-0.014907168661069585,-1.431786622371948]",True,0
30.0,ASCENDING_100_TO_125,0.38,100.0129479592752,100.02974283261483,0.0002726832162890623,192.5228841848919,"[0.006455357939127058,0.001404125593504998,0.004414349228310303,0.2624304896268082,-0.02986959120647502,-0.014908187049616363,-1.431818708265299]",True,0
30.0,ASCENDING_100_TO_125,0.4,100.01505536,100.03184962023757,0.00027270136329467926,192.53873965256588,"[0.006455413969015878,0.0014041308119256864,0.004413039249339414,0.26243077778836515,-0.029868485339521893,-0.014909313610371032,-1.4318542049287133]",True,0
