representation,scope,interaction_fraction,interaction_to_common_ratio,spearman_median,direction_disagreement_fraction,affine_r2_median,proportional_nrmse_median,representation_ordering_evidence,common_ranked,diagnostic_only
raw_hip_rms,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,2.9425688366417263e-07,0.0341765712622305,0.9998790857704597,0.0,0.9998999014118716,1.8221487395837903e-05,False,True,True
raw_knee_rms,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,3.922525446184266e-06,0.031684689157772374,0.9999682968788401,0.0,0.9999801278318989,0.00010777086784639209,False,True,True
normalized_hip_rms,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,0.0008259211105430863,0.028751022356650006,0.9998790857704597,0.0,0.9998999014118714,1.822148739583268e-05,False,True,True
normalized_knee_rms,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,0.001596002697395913,0.03998209090476579,0.9999682968788401,0.0,0.9999801278318989,0.00010777086784639276,False,True,True
combined_j,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,0.0013507371763654393,0.03677741061119796,0.9999533792086508,0.0,0.9999729855555823,6.669664458885789e-05,False,True,False
raw_hip_peak,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,2.2775671709237168e-11,0.05451727509255264,0.9999999999999999,0.0,0.9999969216491452,8.221702430157402e-08,False,True,True
raw_knee_peak,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,1.1473889940351687e-12,0.38258118078817316,0.9999999999999999,0.0008333333333333334,0.9999999965864756,2.9592992675643156e-09,False,True,True
normalized_hip_peak,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,0.0007837343264934871,0.02828957249333929,0.9999999999999999,0.0,0.9999969216491391,8.221702430661109e-08,False,True,True
normalized_knee_peak,ALL_24_DEVELOPMENT_X_625_V3_CANDIDATES,0.12370620670926437,0.37847888292781345,0.9999999999999999,0.0008333333333333334,0.9999999965864759,2.9592993040648645e-09,True,True,True
time_window_hip_flexion_early,PREREGISTERED_8x17_REPLAY_SUBSET,0.00012729389102087324,0.04883197421241643,1.0,0.0,,,False,True,True
time_window_hip_flexion_mid,PREREGISTERED_8x17_REPLAY_SUBSET,1.9007969703557435e-05,0.02760460831295147,1.0,0.0,,,False,True,True
time_window_hip_flexion_late,PREREGISTERED_8x17_REPLAY_SUBSET,1.092549888176015e-07,0.027063993178945048,1.0,0.0,,,False,True,True
time_window_hip_extension_early,PREREGISTERED_8x17_REPLAY_SUBSET,1.817383310412013e-06,0.014304655536427744,1.0,0.0,,,False,True,True
time_window_hip_extension_mid,PREREGISTERED_8x17_REPLAY_SUBSET,0.00030201017073082733,0.021782596590862135,1.0,0.0,,,False,True,True
time_window_hip_extension_late,PREREGISTERED_8x17_REPLAY_SUBSET,3.472288282465302e-05,0.0479073621272949,1.0,0.0,,,False,True,True
time_window_knee_flexion_early,PREREGISTERED_8x17_REPLAY_SUBSET,0.00014261923699168363,0.049046197847604056,1.0,0.0,,,False,True,True
time_window_knee_flexion_mid,PREREGISTERED_8x17_REPLAY_SUBSET,0.0013152626042258748,0.0591468617809431,1.0,0.0,,,False,True,True
time_window_knee_flexion_late,PREREGISTERED_8x17_REPLAY_SUBSET,4.909322533971994e-05,0.08982677715381736,1.0,0.0,,,False,True,True
time_window_knee_extension_early,PREREGISTERED_8x17_REPLAY_SUBSET,0.0007459223848231898,0.09984741023649187,1.0,0.0,,,False,True,True
time_window_knee_extension_mid,PREREGISTERED_8x17_REPLAY_SUBSET,0.0016549414015475865,0.04169429619708831,1.0,0.0,,,False,True,True
time_window_knee_extension_late,PREREGISTERED_8x17_REPLAY_SUBSET,4.800594996254862e-05,0.061878335772007506,1.0,0.0,,,False,True,True
component_mass_inertia_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.0017785562429347601,0.07389769890901154,0.9975490196078433,0.0,0.9999441281666186,0.0009149241728095081,False,True,True
component_mass_inertia_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.0022633392518832014,0.06727850648564491,0.9975490196078433,0.0,0.9999335578672766,0.000876904595604174,False,True,True
component_bias_gravity_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,4.191125114737913e-07,0.06197032842464386,1.0,0.0,0.9999501783859077,1.4982517817740905e-05,False,True,True
component_bias_gravity_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,1.2720223220820471e-06,0.05802786582097435,1.0,0.0,0.9999335020577464,2.837980254616992e-05,False,True,True
component_passive_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.0,0.0,1.0,0.0,-1.4714481916815457e+275,0.0,False,False,True
component_passive_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,5.117077750673823e-28,2.2620958756591007e-14,1.0,0.0,1.0,0.0,False,True,True
component_zero_control_actuator_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,2.8314144415503714e-06,0.03198188364479286,1.0,0.0,0.9999999990572457,4.080385352518035e-05,False,True,True
component_zero_control_actuator_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,1.3791474711243333e-05,0.03803238452382464,1.0,0.0,0.9999962816764925,7.628491019086629e-06,False,True,True
component_constraint_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.0,0.0,1.0,0.0,1.0,0.0,False,True,True
component_constraint_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,6.074039599067781e-28,2.4645566739411347e-14,1.0,0.0,1.0,0.0,False,True,True
