record_type,representation,scope,grand_mean,subject_count,candidate_count,ss_total,ss_subject_main,ss_candidate_main,ss_interaction,subject_main_fraction,candidate_main_fraction,interaction_fraction,common_candidate_effect_rms,interaction_rms,interaction_to_common_ratio,dimensionless_interaction_rms,subject_interaction_residual_rms,spearman_min,spearman_median,spearman_mean,spearman_max,direction_transition_count,direction_disagreement_count,direction_disagreement_fraction,mean_majority_sign_fraction,affine_r2_median,affine_r2_min,proportional_nrmse_median,proportional_nrmse_max,representation_ordering_evidence,common_ranked,component,joint,scale,array_name,required_drive_formula_sign,component_numerically_present,family,sample_count,subject_parameter,outcome,spearman_rho,raw_p_value,undefined_reason,bh_q_value_within_family,exploratory_only,preference_direction_outcome
COMPONENT_SUMMARY,component_passive_hip_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.08020448513272198,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,4,0,0.0,1.0,-1.4714481916815457e+275,-1.4714481916815457e+275,0.0,0.0,False,False,passive,hip,raw_rms_nm,passive_internal_nm,-1.0,True,,,,,,,,,,
COMPONENT_SUMMARY,component_passive_hip_reference_normalized,PREREGISTERED_REPLAY_SUBSET_NONZERO_REFERENCE,1.0,8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,1.0,1.0,1.0,4,0,0.0,1.0,-3.766907370704757e+277,-3.766907370704757e+277,0.0,0.0,False,False,passive,hip,reference_normalized,passive_internal_nm,-1.0,True,,,,,,,,,,
COMPONENT_SUMMARY,component_passive_knee_rms,PREREGISTERED_8x17_REPLAY_SUBSET,0.2004303955628868,8,17,0.0002408787250194745,0.0,0.0002408787250194702,1.232595164407831e-31,0.0,0.9999999999999821,5.117077750673823e-28,0.0013308520187201125,3.010514862659355e-17,2.2620958756591007e-14,1.5020251066235007e-16,"[3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17, 3.010514862659355e-17]",1.0,1.0,1.0,1.0,4,0,0.0,1.0,1.0,1.0,0.0,0.0,False,True,passive,knee,raw_rms_nm,passive_internal_nm,-1.0,True,,,,,,,,,,
COMPONENT_SUMMARY,component_passive_knee_reference_normalized,PREREGISTERED_REPLAY_SUBSET_NONZERO_REFERENCE,1.0011505333473147,8,17,0.006009938705619699,6.7053176943786e-30,0.006009938705619728,5.127595883936577e-30,1.1157048387379849e-27,1.0000000000000047,8.531860531525766e-28,0.006647610531357538,1.9417237422274662e-16,2.920934872866173e-14,1.939492291669041e-16,"[1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16, 1.9417237422274662e-16]",1.0,1.0,1.0,1.0,4,0,0.0,1.0,1.0,1.0,1.1089471439556259e-16,2.2178942879112517e-16,False,True,passive,knee,reference_normalized,passive_internal_nm,-1.0,True,,,,,,,,,,
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,proportional_response_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,local_gradient_norm,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,interaction_residual_rms,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,proportional_response_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,local_gradient_norm,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,interaction_residual_rms,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,proportional_response_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,local_gradient_norm,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_hip_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,interaction_residual_rms,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_knee_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,proportional_response_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_knee_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,local_gradient_norm,,1.0,CONSTANT_OUTCOME,1.0,True,False
PARAMETER_ASSOCIATION,component_passive_knee_rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSIVE,8,HIP_ONLY_PASSIVE_FP_MAX_SCALE,interaction_residual_rms,,1.0,CONSTANT_OUTCOME,1.0,True,False
