actuator_id,muscle,state_count,hip_effective_fraction,knee_effective_fraction,hip_max_abs_effect_m,knee_max_abs_effect_m,hip_positive_fraction,hip_negative_fraction,knee_positive_fraction,knee_negative_fraction,structural_class,biarticular_included,hip_antagonist_included,knee_antagonist_included,mechanical_family_pattern,anatomical_review,final_balance_group,classification_basis
0,addbrev_r,401,1,0,0.0258016753373,0,0.448877805486,0.551122194514,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
1,addlong_r,401,1,0,0.0393838681879,0,0.483790523691,0.516209476309,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
2,addmagDist_r,401,1,0,0.0510791972135,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_CONSISTENT_HIP_EXTENSOR_COMPONENT,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
3,addmagIsch_r,401,1,0,0.0611792347937,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_CONSISTENT_HIP_EXTENSOR_COMPONENT,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
4,addmagMid_r,401,1,0,0.0380727423973,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_CONSISTENT_HIP_EXTENSOR_COMPONENT,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
5,addmagProx_r,401,1,0,0.0226925253737,0,0.361596009975,0.638403990025,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
6,bflh_r,401,1,1,0.0622905147235,0.0440990128833,0,1,1,0,BIARTICULAR,True,False,False,HAMSTRING_LIKE,ANATOMICALLY_CONSISTENT_HAMSTRING,HAMSTRING_GROUP,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
7,bfsh_r,401,0,1,3.87058307948e-17,0.048986539093,0,0,0.785536159601,0.214463840399,KNEE_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
8,edl_r,401,0,0,1.79329680748e-16,2.12198831652e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
9,ehl_r,401,0,0,1.77750703829e-16,2.77614118181e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
10,fdl_r,401,0,0,1.31448431965e-16,2.19483635218e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
11,fhl_r,401,0,0,1.35434616139e-16,1.94889739809e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
12,gaslat_r,401,0,1,5.64667056557e-17,0.0264425537471,0,0,0.660847880299,0.339152119701,KNEE_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
13,gasmed_r,401,0,1,5.20944434967e-17,0.0265600947877,0,0,1,0,KNEE_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
14,glmax1_r,401,1,0,0.0400899853841,0,0.271820448878,0.728179551122,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
15,glmax2_r,401,1,0,0.051427196413,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_CONSISTENT_HIP_EXTENSOR,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
16,glmax3_r,401,1,0,0.0738272537566,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_CONSISTENT_HIP_EXTENSOR,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
17,glmed1_r,401,1,0,0.0178711412235,0,0.618453865337,0.381546134663,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
18,glmed2_r,401,1,0,0.0188349944289,0,0.416458852868,0.583541147132,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
19,glmed3_r,401,1,0,0.0234469566043,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_AMBIGUOUS_MULTI_ACTION_BUT_MODEL_MECHANICS_CLEAR,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
20,glmin1_r,401,1,0,0.0112039152905,0,1,0,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
21,glmin2_r,401,1,0,0.0102656499391,0,0.675810473815,0.324189526185,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
22,glmin3_r,401,1,0,0.00853481099301,0,0.501246882793,0.498753117207,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
23,grac_r,401,1,1,0.0514767211928,0.0541663382906,0,1,1,0,BIARTICULAR,True,False,False,HAMSTRING_LIKE,MECHANICAL_FAMILY_PATTERN_BUT_NOT_NAMED_ANATOMICAL_FAMILY,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
24,iliacus_r,401,1,0,0.0443146516358,0,1,0,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
25,perbrev_r,401,0,0,9.60163319688e-17,1.46056689496e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
26,perlong_r,401,0,0,7.9577472537e-17,1.05680372803e-16,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
27,piri_r,401,1,0,0.0111410826734,0,0,1,0,0,HIP_MONOARTICULAR,False,True,False,OTHER,ANATOMICALLY_AMBIGUOUS_CONFIGURATION_DEPENDENT_ACTION_BUT_MODEL_MECHANICS_CLEAR,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
28,psoas_r,401,1,0,0.0344084314919,0,1,0,0,0,HIP_MONOARTICULAR,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
29,recfem_r,401,1,1,0.0511224232854,0.0423403305241,1,0,0,1,BIARTICULAR,True,False,False,RECTUS_LIKE,ANATOMICALLY_CONSISTENT_RECTUS_FEMORIS,RECTUS_GROUP,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
30,sart_r,401,1,1,0.0714181016205,0.0468786253886,1,0,1,0,BIARTICULAR,True,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
31,semimem_r,401,1,1,0.055323139059,0.0542363842138,0,1,1,0,BIARTICULAR,True,False,False,HAMSTRING_LIKE,ANATOMICALLY_CONSISTENT_HAMSTRING,HAMSTRING_GROUP,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
32,semiten_r,401,1,1,0.0667016528166,0.0631351677009,0,1,1,0,BIARTICULAR,True,False,False,HAMSTRING_LIKE,ANATOMICALLY_CONSISTENT_HAMSTRING,HAMSTRING_GROUP,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
33,soleus_r,401,0,0,4.58448432711e-17,9.23695978134e-17,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
34,tfl_r,401,1,1,0.0961334355957,0.00790466513291,1,0,0,1,BIARTICULAR,True,False,False,RECTUS_LIKE,MECHANICAL_FAMILY_PATTERN_BUT_NOT_NAMED_ANATOMICAL_FAMILY,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
35,tibant_r,401,0,0,7.39081542563e-17,9.60160458413e-17,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
36,tibpost_r,401,0,0,4.34663622556e-17,6.50822209642e-17,0,0,0,0,OTHER_OR_AMBIGUOUS,False,False,False,OTHER,NOT_APPLICABLE_OR_NOT_MECHANICALLY_INCLUDED,UNCHANGED_BY_BALANCE_FACTOR,unit positive muscle tension effect=-projected actuator moment; no J/oracle/rank
