selection_order,selection_role,candidate_id,candidate_index,requested_beta_flex,requested_beta_extend,beta_flex,beta_extend,nearest_grid_distance,exact_coordinate_match,selection_basis,source_columns_read,J_or_oracle_or_rank_used
0,REFERENCE,MYOLEG_V3_K0312,312,0.0,0.0,0.0,0.0,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
1,CORNER_NEG_NEG,MYOLEG_V3_K0000,0,-0.03,-0.03,-0.03,-0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
2,CORNER_NEG_POS,MYOLEG_V3_K0024,24,-0.03,0.03,-0.03,0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
3,CORNER_POS_NEG,MYOLEG_V3_K0600,600,0.03,-0.03,0.03,-0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
4,CORNER_POS_POS,MYOLEG_V3_K0624,624,0.03,0.03,0.03,0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
5,FLEX_NEG_AXIS,MYOLEG_V3_K0012,12,-0.03,0.0,-0.03,0.0,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
6,FLEX_POS_AXIS,MYOLEG_V3_K0612,612,0.03,0.0,0.03,0.0,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
7,EXTEND_NEG_AXIS,MYOLEG_V3_K0300,300,0.0,-0.03,0.0,-0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
8,EXTEND_POS_AXIS,MYOLEG_V3_K0324,324,0.0,0.03,0.0,0.03,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
9,INTERIOR_NEG_NEG,MYOLEG_V3_K0156,156,-0.015,-0.015,-0.015,-0.015,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
10,INTERIOR_NEG_POS,MYOLEG_V3_K0168,168,-0.015,0.015,-0.015,0.015,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
11,INTERIOR_POS_NEG,MYOLEG_V3_K0456,456,0.015,-0.015,0.015,-0.015,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
12,INTERIOR_POS_POS,MYOLEG_V3_K0468,468,0.015,0.015,0.015,0.015,0.0,True,BETA_SPACE_GEOMETRY_ONLY,candidate_index|candidate_id|beta_flex|beta_extend|included|kinematic_gate_pass,False
