factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,delta_mean,delta_population_SD,delta_range,delta_RMS,normalized_spread,normalized_range,beta_polynomial_coefficients,beta_polynomial_R2,effect_resolution_gate_pass,configuration_dependence_gate_pass
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.015888483559010617,0.0003805017683819902,0.0014492688731664316,0.01589303908636396,1.0576517484681703e-05,4.028422165350237e-05,"[0.01582582596570669,-0.013720448116858047,0.010354327563973023,0.05190103698762508,0.07739240951255645,0.0006201686482292839]",0.9999112983958143,True,False
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014653701631019363,0.000268849508984263,0.0009890951360951306,0.014656167696550848,2.4271945537479803e-05,8.929628834134282e-05,"[0.01460111865830027,-0.01066034023613599,0.005765645660642319,0.05106286261452665,0.057441684266154244,0.002343829180587493]",0.9999052846150086,True,False
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01822078826378385,0.00019211774531279133,0.0007047183617411301,0.018221801068547185,0.00029970222444851083,0.0010993552952625913,"[0.018186521048468875,-0.007670938319535657,0.004037472904612946,0.04599132076978601,0.024718806070659023,0.0017032170120467084]",0.999924601414163,True,True
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.016317567502233933,0.00015840239159560108,0.0005840308235357528,0.01631833632781308,0.0002761552957283282,0.001018186677381289,"[0.016288897269568548,-0.00626580404403454,0.00343503112847577,0.038843506553140825,0.0203172910103719,0.0013220779031600529]",0.9999118105606672,True,True
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,-0.015386566192925845,0.0003686569885909089,0.0014041713748369489,0.01539098200845305,1.0247277173670036e-05,3.903068088383547e-05,"[-0.015325859478840647,0.013292517962646522,-0.010033083616314173,-0.05026919115694784,-0.07499863155855903,-0.0005938199077558759]",0.9999112585477506,True,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,-0.014187846933124523,0.00026063659014540175,0.0009588869048737791,0.014190240731921834,2.3530476752531232e-05,8.656906542113597e-05,"[-0.014136864766381617,0.010334535254010638,-0.005589740546730312,-0.049480149745971015,-0.055721146707666196,-0.0022679766071567278]",0.9999052039574128,True,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.017647668620120342,0.00018606041934120983,0.000682500732570146,0.01764864941589655,0.0002902528419100211,0.001064695962395266,"[-0.017614481907861836,0.0074290509488571105,-0.003910229290669346,-0.04454115678719085,-0.023939360571656423,-0.0016494052231147863]",0.9999246013137559,True,True
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.015803768161529883,0.00015341271872494906,0.0005656340408609628,0.01580451275951436,0.0002674564082096325,0.0009861141252636638,"[-0.015776001050657313,0.00606842784633093,-0.0033268340993526067,-0.03761992476240849,-0.019677288149264525,-0.001280417727538572]",0.9999118105422732,True,True
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014546383876639023,0.0003362565518384918,0.00128005224586758,0.014550269837882664,9.346666941868855e-06,3.558063610924691e-05,"[0.014490862270610007,-0.012158531667575787,0.009104995517818433,0.04603584590259815,0.06853254749062186,0.0005474940367444263]",0.999910655898451,True,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.012586966371056309,0.00023862959213095256,0.0008765346849131106,0.012589228193513017,2.1543667629210857e-05,7.913424210556538e-05,"[0.012540487854738954,-0.009490497280838034,0.005066151478843888,0.045336862093204554,0.050571187450552564,0.0020884474476878466]",0.9999055237168115,True,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0]",,False,False
