factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,delta_response_RMS,relative_effect,effect_resolution_gate_pass,proportional_NRMSE,affine_R2,nonproportionality_gate_pass,normalized_spread,normalized_range,beta_polynomial_R2,configuration_dependence_gate_pass,gradient_cosine_similarity,gradient_angle_difference_deg,gradient_change_type,gradient_rotation_gate_pass,structural_response_gate_pass,positive_vs_negative_opposite_delta_cosine,positive_plus_negative_delta_relative_RMS,sign_symmetry_role,sign_result_used_to_change_factor_semantics,sign_required_torque_structural_gate_any,sign_mechanistic_component_structural_gate_any,factor_sign_structural_gate_pass
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.01589303908636396,0.0004417666874360163,True,1.0246489265051713e-05,0.9999782568968482,False,1.0576517484681703e-05,4.028422165350237e-05,0.9999112983958143,False,0.999989580790604,0.261550401125499,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999331478,0.03158974867890643,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014656167696550848,0.0013231703694116688,True,1.8426551057650814e-05,0.9999961657842982,False,2.4271945537479803e-05,8.929628834134282e-05,0.9999052846150086,False,0.9999981910208219,0.10898192623931999,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999997223522,0.03179051292320566,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.018221801068547185,0.028425871357226667,True,5.517886142479785e-07,0.9999999999769607,False,0.00029970222444851083,0.0010993552952625913,0.999924601414163,True,0.9999999999877168,0.00028398339096950934,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.999999999999663,0.03145417133485122,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,-0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01631833632781308,0.02844903381197868,True,8.457542079686345e-08,0.9999999999995302,False,0.0002761552957283282,0.001018186677381289,0.9999118105606672,True,0.9999999999997491,4.05879357964448e-05,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.999999999999992,0.03148749713087571,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.01539098200845305,0.00042781138971056097,True,9.927664456495901e-06,0.9999785844920919,False,1.0247277173670036e-05,3.903068088383547e-05,0.9999112585477506,False,0.9999897442197975,0.25949103229784043,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999331478,0.03158974867890643,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014190240731921834,0.0012811061158720402,True,1.787053943746397e-05,0.9999963330662032,False,2.3530476752531232e-05,8.656906542113597e-05,0.9999052039574128,False,0.9999982704884446,0.10656127958249954,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999997223522,0.03179051292320566,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01764864941589655,0.027531759129508893,True,5.118336429372504e-07,0.9999999999778271,False,0.0002902528419100211,0.001064695962395266,0.9999246013137559,True,0.9999999999881788,0.00027859197933664494,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.999999999999663,0.03145417133485122,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F1_BIARTICULAR_LMAX,F1 lmax,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_POSITIVE_PRIMARY,0.01,PRIMARY,S1F1_AFFECTED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01580451275951436,0.027553244941454717,True,7.845241858913515e-08,0.9999999999995478,False,0.0002674564082096325,0.0009861141252636638,0.9999118105422732,True,0.9999999999997585,3.981735212063268e-05,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.999999999999992,0.03148749713087571,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014550269837882664,0.00040444275463316545,True,9.044981032729746e-06,0.9999826469167052,False,9.346666941868855e-06,3.558063610924691e-05,0.999910655898451,False,0.9999916750501441,0.23379151468632192,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999344318,0.02481603409819349,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.012589228193513017,0.00113656544222939,True,1.6530913378341364e-05,0.9999969066054043,False,2.1543667629210857e-05,7.913424210556538e-05,0.9999055237168115,False,0.9999985367602726,0.09801565017995034,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999997886165,0.024944880660326046,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,False,0.0,,False,0.0,0.0,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,False,0.0,,False,0.0,0.0,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01674039042336976,0.025315120524428716,True,1.0412091421963288e-16,1.0,False,0.0002487418991847881,0.0009128376641350811,0.9999239343988581,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.013977435126007525,0.025315120524428678,True,1.1153754044638555e-16,1.0,False,0.0002584022169818282,0.0009478958519401669,0.9999098157495061,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999998,0.024690087971657282,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01674039042336976,0.025315120524428716,True,1.0412091421963288e-16,1.0,False,0.0002487418991847881,0.0009128376641350811,0.9999239343988581,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.013977435126007525,0.025315120524428678,True,1.1153754044638555e-16,1.0,False,0.0002584022169818282,0.0009478958519401669,0.9999098157495061,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999998,0.024690087971657282,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.014189189882938182,0.00039440609048551164,True,8.824975847667052e-06,0.999982762938142,False,9.119183417911356e-06,3.471504633829479e-05,0.9999106199674701,False,0.9999917353379179,0.23294343749448232,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999344318,0.02481603409819349,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,0.012275191502640592,0.0011082139623013682,True,1.614098627066851e-05,0.9999970068020712,False,2.1029007882212313e-05,7.724467303125767e-05,0.9999054540918414,False,0.9999985845551288,0.09640158201443143,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999997886165,0.024944880660326046,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,False,0.0,,False,0.0,0.0,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,False,0.0,,False,0.0,0.0,,False,,,DIRECTION_RETAINED_OR_UNRESOLVED,False,False,,0.0,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01632706871113681,0.02469008797166737,True,1.6788992948543275e-16,1.0,False,0.00024260043981161035,0.0008902996219036028,0.9999239343988551,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.013632331023128271,0.024690087971667433,True,1.4755029693447217e-16,1.0,False,0.00025202224351246336,0.0009244922199679539,0.9999098157495069,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999998,0.024690087971657282,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.01632706871113681,0.02469008797166737,True,1.6788992948543275e-16,1.0,False,0.00024260043981161035,0.0008902996219036028,0.9999239343988551,True,1.0,0.0,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False,False,0.9999999999999999,0.024690087971660873,DESCRIPTIVE_ONLY_NO_PREREGISTERED_SYMMETRY_THRESHOLD,False,False,False,False
