proposal_index,candidate_id,delta_hip_amp_deg,delta_knee_amp_deg,knee_phase_shift
0,MYOLEG_V2_P00000,-5.0,-5.0,-0.03
1,MYOLEG_V2_P00001,-5.0,-5.0,-0.0275
2,MYOLEG_V2_P00002,-5.0,-5.0,-0.025
3,MYOLEG_V2_P00003,-5.0,-5.0,-0.0225
4,MYOLEG_V2_P00004,-5.0,-5.0,-0.02
5,MYOLEG_V2_P00005,-5.0,-5.0,-0.0175
6,MYOLEG_V2_P00006,-5.0,-5.0,-0.015
7,MYOLEG_V2_P00007,-5.0,-5.0,-0.0125
8,MYOLEG_V2_P00008,-5.0,-5.0,-0.01
9,MYOLEG_V2_P00009,-5.0,-5.0,-0.0075
10,MYOLEG_V2_P00010,-5.0,-5.0,-0.005
11,MYOLEG_V2_P00011,-5.0,-5.0,-0.0025
12,MYOLEG_V2_P00012,-5.0,-5.0,-0.0
13,MYOLEG_V2_P00013,-5.0,-5.0,0.0025
14,MYOLEG_V2_P00014,-5.0,-5.0,0.005
15,MYOLEG_V2_P00015,-5.0,-5.0,0.0075
16,MYOLEG_V2_P00016,-5.0,-5.0,0.01
17,MYOLEG_V2_P00017,-5.0,-5.0,0.0125
18,MYOLEG_V2_P00018,-5.0,-5.0,0.015
19,MYOLEG_V2_P00019,-5.0,-5.0,0.0175
20,MYOLEG_V2_P00020,-5.0,-5.0,0.02
21,MYOLEG_V2_P00021,-5.0,-5.0,0.0225
22,MYOLEG_V2_P00022,-5.0,-5.0,0.025
23,MYOLEG_V2_P00023,-5.0,-5.0,0.0275
24,MYOLEG_V2_P00024,-5.0,-5.0,0.03
25,MYOLEG_V2_P00025,-5.0,-4.75,-0.03
26,MYOLEG_V2_P00026,-5.0,-4.75,-0.0275
27,MYOLEG_V2_P00027,-5.0,-4.75,-0.025
28,MYOLEG_V2_P00028,-5.0,-4.75,-0.0225
29,MYOLEG_V2_P00029,-5.0,-4.75,-0.02
30,MYOLEG_V2_P00030,-5.0,-4.75,-0.0175
31,MYOLEG_V2_P00031,-5.0,-4.75,-0.015
32,MYOLEG_V2_P00032,-5.0,-4.75,-0.0125
