knee_phase_shift,minimum_warp_derivative,maximum_warp_derivative,maximum_abs_warp_second_derivative,warped_min,warped_max,strictly_monotonic,branch_range_preserved,duration_preserved,branch_assignment_preserved,C2_endpoint_terms_preserved,integrity_pass
-0.03,0.8969656089543516,1.1030343910456484,0.72,0.0,1.0,True,True,True,True,True,True
-0.0275,0.9055518082081557,1.0944481917918443,0.66,0.0,1.0,True,True,True,True,True,True
-0.025,0.9141380074619597,1.0858619925380402,0.6000000000000001,0.0,1.0,True,True,True,True,True,True
-0.0225,0.9227242067157637,1.0772757932842363,0.54,0.0,1.0,True,True,True,True,True,True
-0.02,0.9313104059695678,1.0686895940304322,0.48,0.0,1.0,True,True,True,True,True,True
-0.0175,0.9398966052233718,1.060103394776628,0.42000000000000004,0.0,1.0,True,True,True,True,True,True
-0.015,0.9484828044771758,1.0515171955228242,0.36,0.0,1.0,True,True,True,True,True,True
-0.0125,0.9570690037309799,1.04293099626902,0.30000000000000004,0.0,1.0,True,True,True,True,True,True
-0.01,0.9656552029847839,1.0343447970152162,0.24,0.0,1.0,True,True,True,True,True,True
-0.0075,0.9742414022385879,1.025758597761412,0.18,0.0,1.0,True,True,True,True,True,True
-0.005,0.9828276014923919,1.017172398507608,0.12,0.0,1.0,True,True,True,True,True,True
-0.0025,0.991413800746196,1.008586199253804,0.06,0.0,1.0,True,True,True,True,True,True
-0.0,1.0,1.0,0.0,0.0,1.0,True,True,True,True,True,True
0.0025,0.991413800746196,1.008586199253804,0.06,0.0,1.0,True,True,True,True,True,True
0.005,0.9828276014923919,1.017172398507608,0.12,0.0,1.0,True,True,True,True,True,True
0.0075,0.9742414022385879,1.025758597761412,0.18,0.0,1.0,True,True,True,True,True,True
0.01,0.9656552029847839,1.0343447970152162,0.24,0.0,1.0,True,True,True,True,True,True
0.0125,0.9570690037309799,1.04293099626902,0.30000000000000004,0.0,1.0,True,True,True,True,True,True
0.015,0.9484828044771758,1.0515171955228242,0.36,0.0,1.0,True,True,True,True,True,True
0.0175,0.9398966052233718,1.0601033947766283,0.42000000000000004,0.0,1.0,True,True,True,True,True,True
0.02,0.9313104059695678,1.0686895940304322,0.48,0.0,1.0,True,True,True,True,True,True
0.0225,0.9227242067157637,1.0772757932842363,0.54,0.0,1.0,True,True,True,True,True,True
0.025,0.9141380074619597,1.0858619925380402,0.6000000000000001,0.0,1.0,True,True,True,True,True,True
0.0275,0.9055518082081557,1.0944481917918443,0.66,0.0,1.0,True,True,True,True,True,True
0.03,0.8969656089543517,1.1030343910456484,0.72,0.0,1.0,True,True,True,True,True,True
