subject_id,split,proposal_index,candidate_id,selection_role,delta_hip_amp_deg,delta_knee_amp_deg,knee_phase_shift,duration_s,sample_count,truth_semantic_version,truth_field,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,tendon_limit_active_count,source_equality_residual_max,algebraic_residual_max_nm,solver_warning_count,all_finite,smoke_integrity_pass,prescribed_replay_wall_time_s
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,0,MYOLEG_V2_P00000,NEAREST_ADMISSIBLE_CORNER_000,-5.0,-5.0,-0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.00242354054299777,0.00018595840512346636,1,0,0,2.220446049250313e-15,1.0658141036401503e-14,0,True,True,0.17033158399863169
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,24,MYOLEG_V2_P00024,NEAREST_ADMISSIBLE_CORNER_100,-5.0,-5.0,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.00260536712012334,0.00019944756660903373,1,0,0,1.9984014443252818e-15,7.105427357601002e-15,0,True,True,0.167691333044786
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,512,MYOLEG_V2_P00512,HIP_ADMISSIBLE_LOW,-5.0,0.0,-0.0,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002606118419564935,0.00019846241674422197,1,0,0,2.6645352591003757e-15,8.881784197001252e-15,0,True,True,0.1689927089610137
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,550,MYOLEG_V2_P00550,NEAREST_ADMISSIBLE_CORNER_010,-5.0,0.5,-0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.0024543836668115084,0.00018789637210799132,1,0,0,2.886579864025407e-15,7.105427357601002e-15,0,True,True,0.16988791699986905
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,574,MYOLEG_V2_P00574,NEAREST_ADMISSIBLE_CORNER_110,-5.0,0.5,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002596518236519091,0.00019890893353856646,1,0,0,2.886579864025407e-15,1.0658141036401503e-14,0,True,True,0.16847716603660956
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,1299,MYOLEG_V2_P01299,NEAR_TRUSTED_KNEE_1,-4.75,0.5,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002596518236519091,0.00019890398010766262,1,0,0,2.886579864025407e-15,8.881784197001252e-15,0,True,True,0.16808479104656726
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,2024,MYOLEG_V2_P02024,NEAR_TRUSTED_KNEE_2,-4.5,0.5,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002596518236519091,0.0001988990264661329,1,0,0,2.886579864025407e-15,7.105427357601002e-15,0,True,True,0.21256304200505838
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,2749,MYOLEG_V2_P02749,NEAR_TRUSTED_KNEE_3,-4.25,0.5,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002596518236519091,0.00019889407261404195,1,0,0,2.886579864025407e-15,1.0658141036401503e-14,0,True,True,0.1689673750079237
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,3474,MYOLEG_V2_P03474,NEAR_TRUSTED_KNEE_4,-4.0,0.5,0.03,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002596518236519091,0.0001988891185514546,1,0,0,2.886579864025407e-15,8.881784197001252e-15,0,True,True,0.1697674589813687
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,6756,MYOLEG_V2_P06756,DETERMINISTIC_INTERIOR_FILL,-2.75,-2.75,-0.015,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.002540903406111191,0.0001927990812086406,1,0,0,3.3306690738754696e-15,1.0658141036401503e-14,0,True,True,0.16943887498928234
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,6819,MYOLEG_V2_P06819,DETERMINISTIC_INTERIOR_FILL,-2.75,-2.25,0.0175,24.0,401,MYOLEG_DYNAMICS_TRUTH_SEMANTICS_V1,TAU_MY0LEG_REQUIRED_DRIVE,0.0026202299726494336,0.00020011899388042433,1,0,0,2.6645352591003757e-15,8.881784197001252e-15,0,True,True,0.16922937502386048
