smoke_rank,selection_role,proposal_index,candidate_id,delta_hip_amp_deg,delta_knee_amp_deg,knee_phase_shift,q_hip_min_deg,q_hip_max_deg,q_knee_min_deg,q_knee_max_deg
0,NEAREST_ADMISSIBLE_CORNER_000,0,MYOLEG_V2_P00000,-5.0,-5.0,-0.03,28.909336160834915,107.02543858098251,18.32089734577741,114.50096514137805
1,NEAREST_ADMISSIBLE_CORNER_100,24,MYOLEG_V2_P00024,-5.0,-5.0,0.03,28.909336160834915,107.02543858098251,18.320897342452927,114.50092818383773
2,HIP_ADMISSIBLE_LOW,512,MYOLEG_V2_P00512,-5.0,0.0,-0.0,28.909336160834915,107.02543858098251,18.320897421647064,119.5
3,NEAREST_ADMISSIBLE_CORNER_010,550,MYOLEG_V2_P00550,-5.0,0.5,-0.03,28.909336160834915,107.02543858098251,18.320897431062722,119.99988553301156
4,NEAREST_ADMISSIBLE_CORNER_110,574,MYOLEG_V2_P00574,-5.0,0.5,0.03,28.909336160834915,107.02543858098251,18.320897427738238,119.99993257281847
5,NEAR_TRUSTED_KNEE_1,1299,MYOLEG_V2_P01299,-4.75,0.5,0.03,28.9093361990765,107.275438580437,18.320897427738238,119.99993257281847
6,NEAR_TRUSTED_KNEE_2,2024,MYOLEG_V2_P02024,-4.5,0.5,0.03,28.909336237318076,107.52543857989149,18.320897427738238,119.99993257281847
7,NEAR_TRUSTED_KNEE_3,2749,MYOLEG_V2_P02749,-4.25,0.5,0.03,28.909336275559653,107.77543857934597,18.320897427738238,119.99993257281847
8,NEAR_TRUSTED_KNEE_4,3474,MYOLEG_V2_P03474,-4.0,0.5,0.03,28.90933631380123,108.02543857880048,18.320897427738238,119.99993257281847
9,DETERMINISTIC_INTERIOR_FILL,6756,MYOLEG_V2_P06756,-2.75,-2.75,-0.015,28.909336505009126,109.27543857607293,18.32089737983558,116.75048593662218
10,DETERMINISTIC_INTERIOR_FILL,6819,MYOLEG_V2_P06819,-2.75,-2.25,0.0175,28.909336505009126,109.27543857607293,18.320897385788047,117.25042086629391
11,DETERMINISTIC_INTERIOR_FILL,8332,MYOLEG_V2_P08332,-2.25,-1.5,-0.0125,28.90933658149228,109.77543857498192,18.32089739908007,118.00026165474067
12,DETERMINISTIC_INTERIOR_FILL,9042,MYOLEG_V2_P09042,-2.0,-1.75,0.0125,28.909336619733857,110.02543857443641,18.320897393818267,117.7503265090926
13,DETERMINISTIC_INTERIOR_FILL,9834,MYOLEG_V2_P09834,-1.75,-1.0,-0.0075,28.909336657975434,110.27543857389091,18.32089740655622,118.50017511309817
14,DETERMINISTIC_INTERIOR_FILL,10366,MYOLEG_V2_P10366,-1.5,-3.0,0.01,28.90933669621701,110.5254385733454,18.32089737457375,116.50055085169195
15,DETERMINISTIC_INTERIOR_FILL,11791,MYOLEG_V2_P11791,-1.0,-3.25,0.01,28.909336772700165,111.02543857225439,18.320897370697143,116.25059610673829
16,DETERMINISTIC_INTERIOR_FILL,13209,MYOLEG_V2_P13209,-0.5,-3.5,-0.0075,28.909336849183326,111.52543857116336,18.32089736779017,116.00062766356149
17,DETERMINISTIC_INTERIOR_FILL,13969,MYOLEG_V2_P13969,-0.25,-3.25,0.0175,28.909336887424903,111.77543857061785,18.320897370281624,116.25060188647925
18,KNEE_ADMISSIBLE_LOW,14512,MYOLEG_V2_P14512,0.0,-5.0,-0.0,28.90933692566648,112.02543857007235,18.320897344114965,114.50093417844752
19,PHASE_ADMISSIBLE_LOW,15000,MYOLEG_V2_P15000,0.0,0.0,-0.03,28.90933692566648,112.02543857007235,18.320897423309514,119.49997604310423
20,REFERENCE,15012,MYOLEG_V2_P15012,0.0,0.0,-0.0,28.90933692566648,112.02543857007235,18.320897421647064,119.5
21,PHASE_ADMISSIBLE_HIGH,15024,MYOLEG_V2_P15024,0.0,0.0,0.03,28.90933692566648,112.02543857007235,18.32089741998503,119.50002308291111
22,KNEE_ADMISSIBLE_HIGH,15062,MYOLEG_V2_P15062,0.0,0.5,-0.0,28.90933692566648,112.02543857007235,18.320897429400276,119.99990948990734
23,DETERMINISTIC_INTERIOR_FILL,15514,MYOLEG_V2_P15514,0.25,-2.25,0.005,28.90933696390806,112.27543856952684,18.320897386480585,117.25041120311366
24,DETERMINISTIC_INTERIOR_FILL,15589,MYOLEG_V2_P15589,0.25,-1.5,0.005,28.90933696390806,112.27543856952684,18.320897398110397,118.00027543797468
25,NEAREST_ADMISSIBLE_CORNER_001,20300,MYOLEG_V2_P20300,2.0,-5.0,-0.03,28.909337231599107,114.02543856570828,18.32089734577741,114.50096514137805
26,NEAREST_ADMISSIBLE_CORNER_101,20324,MYOLEG_V2_P20324,2.0,-5.0,0.03,28.909337231599107,114.02543856570828,18.320897342452927,114.50092818383773
27,HIP_ADMISSIBLE_HIGH,20812,MYOLEG_V2_P20812,2.0,0.0,-0.0,28.909337231599107,114.02543856570828,18.320897421647064,119.5
28,NEAREST_ADMISSIBLE_CORNER_011,20850,MYOLEG_V2_P20850,2.0,0.5,-0.03,28.909337231599107,114.02543856570828,18.320897431062722,119.99988553301156
29,NEAREST_ADMISSIBLE_CORNER_111,20874,MYOLEG_V2_P20874,2.0,0.5,0.03,28.909337231599107,114.02543856570828,18.320897427738238,119.99993257281847
