proposal_index,candidate_id,delta_hip_amp_deg,delta_knee_amp_deg,knee_phase_shift,included,exclusion_reasons,q_hip_min_deg,q_hip_max_deg,q_knee_min_deg,q_knee_max_deg,max_abs_dq_hip_rad_s,max_abs_dq_knee_rad_s,max_abs_ddq_hip_rad_s2,max_abs_ddq_knee_rad_s2,joint_closure_error_rad,velocity_closure_error_rad_s,acceleration_closure_error_rad_s2,phase_warp_monotonic,minimum_abs_jacobian_determinant,maximum_jacobian_condition,workspace_x_pull_min_m,workspace_z_pull_min_m,workspace_z_knee_min_m
0,MYOLEG_V2_P00000,-5.0,-5.0,-0.03,True,,28.909336160834915,107.02543858098251,18.32089734577741,114.50096514137805,0.3630212388325362,0.4738510402915586,0.2503279598491474,0.26836015054502643,0.0,0.0,0.0,True,0.0396066782973122,14.971740660664805,0.1747057129925692,0.2478745793882411,0.20303851299243567
1,MYOLEG_V2_P00001,-5.0,-5.0,-0.0275,True,,28.909336160834915,107.02543858098251,18.32089734563886,114.50096258687248,0.3630212388325362,0.47243515811245146,0.2503279598491474,0.27902331057992696,0.0,0.0,0.0,True,0.03960667829702295,14.97174066078003,0.1747057129913454,0.2497976444797775,0.20303851299243567
2,MYOLEG_V2_P00002,-5.0,-5.0,-0.025,True,,28.909336160834915,107.02543858098251,18.320897345500313,114.50096002766001,0.3630212388325362,0.47054025137970784,0.2503279598491474,0.2665092154622212,0.0,0.0,0.0,True,0.0396066782967337,14.97174066089518,0.17470571299012172,0.2517221903798817,0.20303851299243567
3,MYOLEG_V2_P00003,-5.0,-5.0,-0.0225,True,,28.909336160834915,107.02543858098251,18.32089734536176,114.50095746374883,0.3630212388325362,0.46945853174558816,0.2503279598491474,0.2777954817092827,0.0,0.0,0.0,True,0.03960667829644445,14.971740661010339,0.17470571298889803,0.25364977012571976,0.20303851299243567
4,MYOLEG_V2_P00004,-5.0,-5.0,-0.02,True,,28.909336160834915,107.02543858098251,18.320897345223216,114.50095489514702,0.3630212388325362,0.4686501132801227,0.2503279598491474,0.26696098337729657,0.0,0.0,0.0,True,0.03960667829615522,14.9717406611255,0.17470571298767434,0.2555823193419778,0.20303851299243567
5,MYOLEG_V2_P00005,-5.0,-5.0,-0.0175,True,,28.909336160834915,107.02543858098251,18.320897345084678,114.50095232186277,0.3630212388325362,0.4674302213320277,0.2503279598491474,0.2663430572288064,0.0,0.0,0.0,True,0.039606678295866005,14.971740661240672,0.1747057129864506,0.25752171456035927,0.20303851299243567
6,MYOLEG_V2_P00006,-5.0,-5.0,-0.015,True,,28.909336160834915,107.02543858098251,18.320897344946133,114.50094974390417,0.3630212388325362,0.46627906935585645,0.2503279598491474,0.2684462223401616,0.0,0.0,0.0,True,0.03960667829557677,14.971740661355847,0.1747057129852269,0.2577978951090629,0.20303851299243567
7,MYOLEG_V2_P00007,-5.0,-5.0,-0.0125,True,,28.909336160834915,107.02543858098251,18.320897344807598,114.50094716127937,0.3630212388325362,0.46605719642854243,0.2503279598491474,0.27909210775249976,0.0,0.0,0.0,True,0.03960667829528756,14.971740661470994,0.17470571298400323,0.25779790237476075,0.20303851299243567
8,MYOLEG_V2_P00008,-5.0,-5.0,-0.01,True,,28.909336160834915,107.02543858098251,18.320897344669067,114.50094457399655,0.3630212388325362,0.4654378742524154,0.2503279598491474,0.2794356552905147,0.0,0.0,0.0,True,0.039606678294998365,14.97174066158613,0.17470571298277948,0.2577979096404478,0.20303851299243567
9,MYOLEG_V2_P00009,-5.0,-5.0,-0.0075,True,,28.909336160834915,107.02543858098251,18.32089734453054,114.50094198206382,0.3630212388325362,0.46439099165753617,0.2503279598491474,0.2796743312074223,0.0,0.0,0.0,True,0.039606678294709166,14.971740661701332,0.1747057129815558,0.2577979169061242,0.20303851299243567
10,MYOLEG_V2_P00010,-5.0,-5.0,-0.005,True,,28.909336160834915,107.02543858098251,18.320897344392012,114.5009393854893,0.3630212388325362,0.46473520809844987,0.2503279598491474,0.27980671774692945,0.0,0.0,0.0,True,0.03960667829441999,14.971740661816463,0.1747057129803321,0.2577979241717899,0.20303851299243567
11,MYOLEG_V2_P00011,-5.0,-5.0,-0.0025,True,,28.909336160834915,107.02543858098251,18.32089734425349,114.50093678428114,0.3630212388325362,0.4646938098367196,0.2503279598491474,0.28083801034392497,0.0,0.0,0.0,True,0.039606678294130754,14.971740661931628,0.17470571297910836,0.2577979314374449,0.20303851299243567
12,MYOLEG_V2_P00012,-5.0,-5.0,-0.0,True,,28.909336160834915,107.02543858098251,18.320897344114965,114.50093417844752,0.3630212388325362,0.4642549995918883,0.2503279598491474,0.29621827137355006,0.0,0.0,0.0,True,0.039606678293841596,14.971740662046772,0.17470571297788468,0.25779793870308915,0.20303851299243567
13,MYOLEG_V2_P00013,-5.0,-5.0,0.0025,True,,28.909336160834915,107.02543858098251,18.320897343976444,114.50093156799656,0.3630212388325362,0.4647105321421668,0.2503279598491474,0.29688941771296185,0.0,0.0,0.0,True,0.03960667829355241,14.971740662161944,0.174705712976661,0.2577979459687226,0.20303851299243567
14,MYOLEG_V2_P00014,-5.0,-5.0,0.005,True,,28.909336160834915,107.02543858098251,18.320897343837927,114.5009289529366,0.3630212388325362,0.46590977971909264,0.2503279598491474,0.2974611796274169,0.0,0.0,0.0,True,0.03960667829326323,14.971740662277082,0.17470571297543724,0.25779795323434546,0.20303851299243567
15,MYOLEG_V2_P00015,-5.0,-5.0,0.0075,True,,28.909336160834915,107.02543858098251,18.320897343699418,114.5009263332761,0.3630212388325362,0.4667313959205552,0.2503279598491474,0.29793209537827026,0.0,0.0,0.0,True,0.03960667829297409,14.971740662392213,0.17470571297421356,0.2577979604999574,0.20303851299243567
16,MYOLEG_V2_P00016,-5.0,-5.0,0.01,True,,28.909336160834915,107.02543858098251,18.320897343560908,114.50092370902338,0.3630212388325362,0.4667374148865467,0.2503279598491474,0.2983007032269956,0.0,0.0,0.0,True,0.03960667829268491,14.971740662507369,0.1747057129729898,0.25779796776555886,0.20303851299243567
17,MYOLEG_V2_P00017,-5.0,-5.0,0.0125,True,,28.909336160834915,107.02543858098251,18.320897343422402,114.5009210801869,0.3630212388325362,0.46860250160584405,0.2503279598491474,0.30656733676730463,0.0,0.0,0.0,True,0.03960667829239579,14.971740662622485,0.17470571297176613,0.25779797503114954,0.20303851299243567
18,MYOLEG_V2_P00018,-5.0,-5.0,0.015,True,,28.909336160834915,107.02543858098251,18.320897343283892,114.50091844677497,0.3630212388325362,0.47038238006833777,0.2503279598491474,0.3188774859809378,0.0,0.0,0.0,True,0.03960667829210661,14.971740662737659,0.17470571297054244,0.25779798229672946,0.20303851299243567
19,MYOLEG_V2_P00019,-5.0,-5.0,0.0175,True,,28.909336160834915,107.02543858098251,18.32089734314539,114.50091867180355,0.3630212388325362,0.47132332012354566,0.2503279598491474,0.31981946419331814,0.0,0.0,0.0,True,0.039606678291817465,14.971740662852795,0.1747057129693187,0.2577979895622987,0.20303851299243567
20,MYOLEG_V2_P00020,-5.0,-5.0,0.02,True,,28.909336160834915,107.02543858098251,18.320897343006894,114.50092058628724,0.3630212388325362,0.47202917307217185,0.2503279598491474,0.32066633544318546,0.0,0.0,0.0,True,0.039606678291528336,14.971740662967909,0.174705712968095,0.25779799682785715,0.20303851299243567
21,MYOLEG_V2_P00021,-5.0,-5.0,0.0225,True,,28.909336160834915,107.02543858098251,18.320897342868392,114.5009224947288,0.3630212388325362,0.47480537125897027,0.2503279598491474,0.321416625518229,0.0,0.0,0.0,True,0.03960667829123921,14.971740663083065,0.17470571296687132,0.25779800409340486,0.20303851299243567
22,MYOLEG_V2_P00022,-5.0,-5.0,0.025,True,,28.909336160834915,107.02543858098251,18.320897342729907,114.50092439713191,0.3630212388325362,0.4767548701559521,0.2503279598491474,0.32206886020647296,0.0,0.0,0.0,True,0.03960667829095008,14.9717406631982,0.17470571296564757,0.257798011358942,0.20303851299243567
23,MYOLEG_V2_P00023,-5.0,-5.0,0.0275,True,,28.909336160834915,107.02543858098251,18.320897342591422,114.50092629350031,0.3630212388325362,0.477870949507757,0.2503279598491474,0.3293930458990313,0.0,0.0,0.0,True,0.039606678290660974,14.971740663313279,0.1747057129644239,0.25779801862446833,0.20303851299243567
24,MYOLEG_V2_P00024,-5.0,-5.0,0.03,True,,28.909336160834915,107.02543858098251,18.320897342452927,114.50092818383773,0.3630212388325362,0.4797436678039807,0.2503279598491474,0.34628857218787834,0.0,0.0,0.0,True,0.03960667829037185,14.97174066342842,0.1747057129632002,0.25779802588998396,0.20303851299243567
25,MYOLEG_V2_P00025,-5.0,-4.75,-0.03,True,,28.909336160834915,107.02543858098251,18.320897349654018,114.7509060886731,0.3630212388325362,0.47531407685097093,0.2503279598491474,0.2684113431444678,0.0,0.0,0.0,True,0.039606678305405166,14.97174065744222,0.1745400501598327,0.2472840279415034,0.20303851299243567
26,MYOLEG_V2_P00026,-5.0,-4.75,-0.0275,True,,28.909336160834915,107.02543858098251,18.320897349515466,114.75090353416753,0.3630212388325362,0.4738981946718638,0.2503279598491474,0.2790745031793683,0.0,0.0,0.0,True,0.03960667830511592,14.971740657557428,0.17454005015856644,0.24920557615544298,0.20303851299243567
27,MYOLEG_V2_P00027,-5.0,-4.75,-0.025,True,,28.909336160834915,107.02543858098251,18.320897349376917,114.75090097495507,0.3630212388325362,0.47200328793912016,0.2503279598491474,0.267231194949126,0.0,0.0,0.0,True,0.039606678304826684,14.97174065767262,0.17454005015730012,0.25112863549553593,0.20303851299243567
28,MYOLEG_V2_P00028,-5.0,-4.75,-0.0225,True,,28.909336160834915,107.02543858098251,18.32089734923837,114.75089841104389,0.3630212388325362,0.4709281935772135,0.2503279598491474,0.2783418205419842,0.0,0.0,0.0,True,0.03960667830453746,14.971740657787777,0.17454005015603385,0.25305475767428076,0.20303851299243567
29,MYOLEG_V2_P00029,-5.0,-4.75,-0.02,True,,28.909336160834915,107.02543858098251,18.320897349099823,114.75089584244208,0.3630212388325362,0.470119775111748,0.2503279598491474,0.26750732220999807,0.0,0.0,0.0,True,0.03960667830424819,14.97174065790294,0.17454005015476753,0.2549858768179763,0.20303851299243567
30,MYOLEG_V2_P00030,-5.0,-4.75,-0.0175,True,,28.909336160834915,107.02543858098251,18.32089734896128,114.75089326915783,0.3630212388325362,0.46889988316365305,0.2503279598491474,0.2670650367157112,0.0,0.0,0.0,True,0.03960667830395899,14.971740658018103,0.17454005015350127,0.25692386813171675,0.20303851299243567
31,MYOLEG_V2_P00031,-5.0,-4.75,-0.015,True,,28.909336160834915,107.02543858098251,18.32089734882274,114.75089069119923,0.3630212388325362,0.46775271933259704,0.2503279598491474,0.26918163289961317,0.0,0.0,0.0,True,0.03960667830366974,14.971740658133271,0.174540050152235,0.25779789392422753,0.20303851299243567
32,MYOLEG_V2_P00032,-5.0,-4.75,-0.0125,True,,28.909336160834915,107.02543858098251,18.320897348684205,114.75088810857443,0.3630212388325362,0.46753084640528303,0.2503279598491474,0.27982751831195135,0.0,0.0,0.0,True,0.03960667830338054,14.971740658248422,0.17454005015096868,0.2577979011899254,0.20303851299243567
33,MYOLEG_V2_P00033,-5.0,-4.75,-0.01,True,,28.909336160834915,107.02543858098251,18.320897348545675,114.75088552129162,0.3630212388325362,0.466911524229156,0.2503279598491474,0.28017106584996626,0.0,0.0,0.0,True,0.03960667830309133,14.971740658363602,0.17454005014970242,0.2577979084556124,0.20303851299243567
