record_type,metric,dimension,inward_step_count,subject_id,boundary_candidate_id,inward_candidate_id,inward_delta_from_boundary,slope_toward_boundary_per_unit,improves_toward_boundary,improvement_support_fraction
SUBJECT,J,hip,1,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002901346959769402,-0.0011605387839077608,True,
SUBJECT,J,hip,1,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00027751836018841125,-0.001110073440753645,True,
SUBJECT,J,hip,1,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002701208756914486,-0.0010804835027657944,True,
SUBJECT,J,hip,1,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002877213876328888,-0.0011508855505315552,True,
SUBJECT,J,hip,1,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00026789078861821913,-0.0010715631544728765,True,
SUBJECT,J,hip,1,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00030951524707989453,-0.0012380609883195781,True,
SUBJECT,J,hip,1,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0003058261170785226,-0.0012233044683140903,True,
SUBJECT,J,hip,1,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002732908131708456,-0.0010931632526833823,True,
SUBJECT,J,hip,1,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00029820438492478285,-0.0011928175396991314,True,
SUBJECT,J,hip,1,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00030209611986242724,-0.001208384479449709,True,
SUBJECT,J,hip,1,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00029869079395372644,-0.0011947631758149058,True,
SUBJECT,J,hip,1,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00025849718303894154,-0.0010339887321557661,True,
SUBJECT,J,hip,1,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002945157388455355,-0.001178062955382142,True,
SUBJECT,J,hip,1,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002905115205436015,-0.001162046082174406,True,
SUBJECT,J,hip,1,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00027888625049354854,-0.0011155450019741942,True,
SUBJECT,J,hip,1,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00028156668575729515,-0.0011262667430291806,True,
SUBJECT,J,hip,1,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002729502816626317,-0.0010918011266505268,True,
SUBJECT,J,hip,1,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0003035623088052386,-0.0012142492352209544,True,
SUBJECT,J,hip,1,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002872402980588218,-0.0011489611922352871,True,
SUBJECT,J,hip,1,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.000293504522869803,-0.001174018091479212,True,
SUBJECT,J,hip,1,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002805570910994204,-0.0011222283643976816,True,
SUBJECT,J,hip,1,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00025575540578504086,-0.0010230216231401634,True,
SUBJECT,J,hip,1,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00031330727630518584,-0.0012532291052207434,True,
SUBJECT,J,hip,1,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.00030442069434943875,-0.001217682777397755,True,
SUMMARY,J,hip,1,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P20125,0.0002889280418049145,-0.001155712167219658,,1.0
SUBJECT,J,hip,2,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P19400,0.000586333125399574,-0.001172666250799148,True,
