record_type,subject_id,candidate_id,component,joint,required_drive_formula_sign,component_rms_nm,reference_component_rms_nm,component_rms_ratio_to_subject_reference,component_candidate_change_nm,subject_candidate_interaction_fraction,interaction_to_common_effect_ratio
PAIR,MYOLEG_VP_031,MYOLEG_V2_P00512,mass,hip,1.0,0.11631802761222589,0.11557462792208038,1.0064322049182515,0.000743399690145502,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P09042,mass,hip,1.0,0.11860297820494282,0.11557462792208038,1.0262025527341878,0.003028350282862441,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P10437,mass,hip,1.0,0.11814278832569668,0.11557462792208038,1.0222207975036504,0.002568160403616293,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P11791,mass,hip,1.0,0.11986135717059301,0.11557462792208038,1.037090573645651,0.00428672924851263,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P14287,mass,hip,1.0,0.11701917686134986,0.11557462792208038,1.0124988413568017,0.0014445489392694716,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P14512,mass,hip,1.0,0.12048868737633552,0.11557462792208038,1.0425184968587409,0.004914059454255132,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P14987,mass,hip,1.0,0.11725567910182676,0.11557462792208038,1.0145451576178097,0.0016810511797463734,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15000,mass,hip,1.0,0.12853591218473415,0.11557462792208038,1.1121464502692768,0.012961284262653763,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15011,mass,hip,1.0,0.11818208718976105,0.11557462792208038,1.022560827705529,0.002607459267680662,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15012,mass,hip,1.0,0.11557462792208038,0.11557462792208038,1.0,0.0,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15013,mass,hip,1.0,0.11707723319405207,0.11557462792208038,1.0130011690194212,0.0015026052719716854,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15024,mass,hip,1.0,0.11704938671973052,0.11557462792208038,1.0127602296815907,0.001474758797650133,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15037,mass,hip,1.0,0.11692956108666783,0.11557462792208038,1.011723448207862,0.0013549331645874435,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15062,mass,hip,1.0,0.1167675199821493,0.11557462792208038,1.0103214008257346,0.001192892060068923,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P15737,mass,hip,1.0,0.1171689682240654,0.11557462792208038,1.0137948988515015,0.00159434030198502,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P20125,mass,hip,1.0,0.12859636854594972,0.11557462792208038,1.1126695439819931,0.013021740623869335,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P20812,mass,hip,1.0,0.11780548237924311,0.11557462792208038,1.019302285434713,0.0022308544571627287,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P20825,mass,hip,1.0,0.1288550968317028,0.11557462792208038,1.1149081692789529,0.013280468909622409,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P20850,mass,hip,1.0,0.1286688636443909,0.11557462792208038,1.1132968018823175,0.013094235722310513,,
PAIR,MYOLEG_VP_031,MYOLEG_V2_P20851,mass,hip,1.0,0.12801194599059346,0.11557462792208038,1.1076128756987929,0.012437318068513073,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P00512,mass,hip,1.0,0.12189409679513795,0.12110954045302201,1.0064780721583224,0.0007845563421159385,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P09042,mass,hip,1.0,0.12426470771958535,0.12110954045302201,1.0260521776794886,0.0031551672665633412,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P10437,mass,hip,1.0,0.12378878985300444,0.12110954045302201,1.0221225296534067,0.0026792493999824307,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P11791,mass,hip,1.0,0.12557663050086934,0.12110954045302201,1.0368847081009287,0.00446709004784733,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P14287,mass,hip,1.0,0.12262220673046396,0.12110954045302201,1.012490067023487,0.0015126662774419541,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P14512,mass,hip,1.0,0.12622900909150894,0.12110954045302201,1.0422713901756795,0.005119468638486932,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P14987,mass,hip,1.0,0.12286829694859962,0.12110954045302201,1.0145220309564285,0.001758756495577607,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15000,mass,hip,1.0,0.1348143263859578,0.12110954045302201,1.1131602504779698,0.013704785932935795,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15011,mass,hip,1.0,0.1238503165673585,0.12110954045302201,1.0226305549842263,0.002740776114336485,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15012,mass,hip,1.0,0.12110954045302201,0.12110954045302201,1.0,0.0,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15013,mass,hip,1.0,0.12267732075576765,0.12110954045302201,1.0129451428589458,0.0015677803027456388,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15024,mass,hip,1.0,0.1226177313807078,0.12110954045302201,1.0124531141150752,0.0015081909276857958,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15037,mass,hip,1.0,0.12252927735417303,0.12110954045302201,1.0117227502956443,0.0014197369011510197,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15062,mass,hip,1.0,0.12236082419079958,0.12110954045302201,1.0103318345779946,0.001251283737777567,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P15737,mass,hip,1.0,0.12277841568179716,0.12110954045302201,1.013779882431496,0.0016688752287751518,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P20125,mass,hip,1.0,0.13487890436667432,0.12110954045302201,1.1136934700779697,0.013769363913652313,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P20812,mass,hip,1.0,0.12344268903729501,0.12110954045302201,1.0192647794347631,0.002333148584272998,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P20825,mass,hip,1.0,0.13514807744778162,0.12110954045302201,1.1159160289292414,0.014038536994759612,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P20850,mass,hip,1.0,0.13495455511429946,0.12110954045302201,1.1143181173794305,0.013845014661277452,,
PAIR,MYOLEG_VP_011,MYOLEG_V2_P20851,mass,hip,1.0,0.13425740904828695,0.12110954045302201,1.1085617908059435,0.013147868595264942,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P00512,mass,hip,1.0,0.10776811439609446,0.10709038098933711,1.0063286114074506,0.0006777334067573498,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P09042,mass,hip,1.0,0.10986084474267109,0.10709038098933711,1.0258703324027751,0.0027704637533339793,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P10437,mass,hip,1.0,0.10944741209087885,0.10709038098933711,1.0220097368201204,0.0023570311015417428,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P11791,mass,hip,1.0,0.11101765534768968,0.10709038098933711,1.036672522051664,0.003927274358352564,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P14287,mass,hip,1.0,0.10842686718260403,0.10709038098933711,1.0124799835514637,0.0013364861932669142,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P14512,mass,hip,1.0,0.11159813036606955,0.10709038098933711,1.0420929436900712,0.004507749376732442,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P14987,mass,hip,1.0,0.10864423210984848,0.10709038098933711,1.014509716990045,0.0015538511205113736,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15000,mass,hip,1.0,0.11910739472611492,0.10709038098933711,1.112213754641272,0.012017013736777812,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15011,mass,hip,1.0,0.10950535658475759,0.10709038098933711,1.022550817105235,0.0024149755954204766,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15012,mass,hip,1.0,0.10709038098933711,0.10709038098933711,1.0,0.0,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15013,mass,hip,1.0,0.1084779634423069,0.10709038098933711,1.0129571156638983,0.001387582452969785,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15024,mass,hip,1.0,0.1084198978683637,0.10709038098933711,1.012414904744423,0.0013295168790265904,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15037,mass,hip,1.0,0.10834620669195118,0.10709038098933711,1.0117267834049364,0.0012558257026140662,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15062,mass,hip,1.0,0.10819811957987104,0.10709038098933711,1.0103439597497017,0.0011077385905339243,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P15737,mass,hip,1.0,0.10856625777879299,0.10709038098933711,1.0137815999515665,0.0014758767894558766,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P20125,mass,hip,1.0,0.11917154554734659,0.10709038098933711,1.1128127890329607,0.012081164558009477,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P20812,mass,hip,1.0,0.10915758844671439,0.10709038098933711,1.0193033906339646,0.0020672074573772764,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P20825,mass,hip,1.0,0.11940930424246311,0.10709038098933711,1.115032957575831,0.012318923253126002,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P20850,mass,hip,1.0,0.1192391464992582,0.10709038098933711,1.113444040423488,0.012148765509921083,,
PAIR,MYOLEG_VP_009,MYOLEG_V2_P20851,mass,hip,1.0,0.11862872112432042,0.10709038098933711,1.1077439451460367,0.01153834013498331,,
PAIR,MYOLEG_VP_015,MYOLEG_V2_P00512,mass,hip,1.0,0.11843150153200575,0.11790463668871977,1.0044685676329843,0.0005268648432859846,,
