record_type,dimension,subject_id,transition_count,hip_knee_opposing_count,hip_knee_opposing_fraction,both_improve_fraction,both_worsen_fraction,equivalent_or_mixed_zero_fraction,no_meaningful_tradeoff
SUBJECT,hip,MYOLEG_VP_001,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_002,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_003,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_005,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_006,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_007,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_009,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_010,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_011,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_013,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_014,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_015,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_017,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_018,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_019,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_021,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_022,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_023,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_025,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_026,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_027,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_029,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_030,16100,16100,1.0,0.0,0.0,0.0,False
SUBJECT,hip,MYOLEG_VP_031,16100,16100,1.0,0.0,0.0,0.0,False
POOLED,hip,ALL_DEVELOPMENT,386400,386400,1.0,0.0,0.0,0.0,False
SUBJECT,knee,MYOLEG_VP_001,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_002,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_003,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_005,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_006,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_007,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_009,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_010,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_011,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_013,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_014,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_015,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_017,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_018,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_019,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_021,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_022,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_023,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_025,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_026,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_027,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_029,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_030,15950,0,0.0,1.0,0.0,0.0,True
SUBJECT,knee,MYOLEG_VP_031,15950,0,0.0,1.0,0.0,0.0,True
POOLED,knee,ALL_DEVELOPMENT,382800,0,0.0,1.0,0.0,0.0,True
SUBJECT,phase,MYOLEG_VP_001,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_002,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_003,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_005,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_006,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_007,16008,0,0.0,0.0,1.0,0.0,True
