record_type,metric,subject_id,oracle_candidate_id,oracle_proposal_index,oracle_alpha_hip_deg,oracle_alpha_knee_deg,oracle_alpha_phase,oracle_value,hip_boundary,knee_boundary,phase_boundary,unique_oracle_candidate_count,pairwise_rank_correlation_median
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_001,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9922492566836665,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_002,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9921294810203506,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_003,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9923451968596829,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_005,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9921791150837055,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_006,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9923682057929719,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_007,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9918096800105379,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_009,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9918740649803577,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_010,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9922753586991919,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_011,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9920373828070949,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_013,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9918102601267473,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_014,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.991890069062635,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_015,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9926638378874377,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_017,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9920466509305248,True,True,True,,
SUBJECT,HIP_NORMALIZED_RMS_ONLY,MYOLEG_VP_018,MYOLEG_V2_P20850,20850,2.0,0.5,-0.03,0.9920902982424292,True,True,True,,
