matrix,component,singular_value,variance_explained,cumulative_variance_explained
RAW_J,1,641.1266680820028,0.999999975318079,0.999999975318079
RAW_J,2,0.0761987930117804,1.4125651571612348e-08,0.9999999894437306
RAW_J,3,0.06199564296889681,9.35049585990983e-09,0.9999999987942264
RAW_J,4,0.021659249360993216,1.1412981357622825e-09,0.9999999999355246
RAW_J,5,0.004540219860860115,5.014943835418014e-11,0.999999999985674
RAW_J,6,0.0022905715661848372,1.2764389143688084e-11,0.9999999999984384
RAW_J,7,0.0008001332845232983,1.5575320030708837e-12,0.9999999999999959
RAW_J,8,3.705439535781158e-05,3.340348406824802e-15,0.9999999999999992
RAW_J,9,1.4952068367505991e-05,5.438947334684025e-16,0.9999999999999998
RAW_J,10,6.02580551556021e-06,8.833697564622153e-17,0.9999999999999999
RAW_J,11,2.394154281721793e-06,1.394493749345405e-17,0.9999999999999999
RAW_J,12,1.692773621314598e-06,6.971240581266051e-18,0.9999999999999999
RAW_J,13,6.350753351269021e-07,9.812118790641598e-19,0.9999999999999999
RAW_J,14,4.569391160699247e-07,5.079593744659425e-19,0.9999999999999999
RAW_J,15,3.3364415326969703e-07,2.708191325728428e-19,0.9999999999999999
RAW_J,16,3.1223668996536155e-07,2.371811518705232e-19,0.9999999999999999
RAW_J,17,1.6971759609295774e-07,7.007547474421442e-20,0.9999999999999999
RAW_J,18,7.778023424246083e-08,1.471806778281638e-20,0.9999999999999999
RAW_J,19,6.286377426941478e-08,9.614201260361748e-21,0.9999999999999999
RAW_J,20,2.4094549664322703e-08,1.4123747098364317e-21,0.9999999999999999
RAW_J,21,2.1922833288386747e-08,1.169245394126463e-21,0.9999999999999999
RAW_J,22,1.2156567336775393e-08,3.5952924712768325e-22,0.9999999999999999
RAW_J,23,5.185124437603895e-09,6.540797023822549e-23,0.9999999999999999
RAW_J,24,1.8722936644715326e-09,8.528256239851744e-24,0.9999999999999999
SUBJECT_ROW_CENTERED_J,1,5.555742974956624,0.9997536934254024,0.9997536934254024
