data_scope,sample_count,parameter,outcome,spearman_rho,raw_p_value,undefined_reason,bh_q_value_across_all_tests,exploratory_only,predictive_model_trained
ALL_24_DEVELOPMENT_COMPACT,24,FEMUR_MASS_INERTIA_SCALE,hip_raw_scale,0.45739130434782604,0.024624404496205596,,0.16621473034938777,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FEMUR_MASS_INERTIA_SCALE,knee_raw_scale,0.19304347826086957,0.36611583497113953,,0.7060805388729119,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FEMUR_MASS_INERTIA_SCALE,J_local_gradient_norm,0.005217391304347826,0.9806966832535792,,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FEMUR_MASS_INERTIA_SCALE,J_interaction_rms,0.11043478260869564,0.6074532587517109,,0.8850133497007825,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FEMUR_MASS_INERTIA_SCALE,mass_scale,0.48571428571428577,0.3287230320699709,,0.6574460641399418,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FEMUR_MASS_INERTIA_SCALE,bias_gravity_scale,0.2571428571428572,0.6227871720116618,,0.8850133497007825,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FEMUR_MASS_INERTIA_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FEMUR_MASS_INERTIA_SCALE,zero_control_actuator_scale,0.4285714285714286,0.3965014577259474,,0.7137026239067054,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FEMUR_MASS_INERTIA_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,TIBIA_PATELLA_MASS_INERTIA_SCALE,hip_raw_scale,0.7513043478260868,2.3240608354750938e-05,,0.0006274964255782754,True,False
ALL_24_DEVELOPMENT_COMPACT,24,TIBIA_PATELLA_MASS_INERTIA_SCALE,knee_raw_scale,0.6878260869565217,0.00020366940684417892,,0.0027495369923964154,True,False
ALL_24_DEVELOPMENT_COMPACT,24,TIBIA_PATELLA_MASS_INERTIA_SCALE,J_local_gradient_norm,0.6252173913043478,0.0010876485622887484,,0.009788837060598736,True,False
ALL_24_DEVELOPMENT_COMPACT,24,TIBIA_PATELLA_MASS_INERTIA_SCALE,J_interaction_rms,-0.21739130434782608,0.3075332105489072,,0.6574460641399418,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,TIBIA_PATELLA_MASS_INERTIA_SCALE,mass_scale,0.8285714285714287,0.04156268221574334,,0.22443848396501406,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,TIBIA_PATELLA_MASS_INERTIA_SCALE,bias_gravity_scale,0.7714285714285715,0.07239650145772594,,0.28556465003609927,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,TIBIA_PATELLA_MASS_INERTIA_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,TIBIA_PATELLA_MASS_INERTIA_SCALE,zero_control_actuator_scale,0.3714285714285715,0.46847813411078715,,0.7666005830903789,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,TIBIA_PATELLA_MASS_INERTIA_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FOOT_COMPLEX_MASS_INERTIA_SCALE,hip_raw_scale,0.6539130434782607,0.0005287469295676012,,0.005710466839330094,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FOOT_COMPLEX_MASS_INERTIA_SCALE,knee_raw_scale,0.8104347826086956,1.581277652369622e-06,,8.538899322795958e-05,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FOOT_COMPLEX_MASS_INERTIA_SCALE,J_local_gradient_norm,0.7034782608695651,0.00012558146221205646,,0.0022604663198170162,True,False
ALL_24_DEVELOPMENT_COMPACT,24,FOOT_COMPLEX_MASS_INERTIA_SCALE,J_interaction_rms,-0.3930434782608695,0.057433088555270156,,0.2819442529076899,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FOOT_COMPLEX_MASS_INERTIA_SCALE,mass_scale,0.3142857142857143,0.5440932944606414,,0.8394582257392753,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FOOT_COMPLEX_MASS_INERTIA_SCALE,bias_gravity_scale,0.48571428571428577,0.3287230320699709,,0.6574460641399418,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FOOT_COMPLEX_MASS_INERTIA_SCALE,passive_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FOOT_COMPLEX_MASS_INERTIA_SCALE,zero_control_actuator_scale,0.2571428571428572,0.6227871720116618,,0.8850133497007825,True,False
GEOMETRY_SELECTED_6_DEVELOPMENT_REPLAY,6,FOOT_COMPLEX_MASS_INERTIA_SCALE,constraint_scale,,1.0,CONSTANT_OUTCOME,1.0,True,False
