record_type,joint,subject_id,candidate_id,pointwise_difference_rms_to_reference,rms_summary_difference_to_reference,pointwise_difference_sign_changes,absolute_tau_peak_time_s,time_resolved_interaction_rms,rms_summary_interaction_rms,time_resolved_to_rms_heterogeneity_ratio,time_common_effect_rms,sign_changing_difference_fraction,median_peak_timing_subject_spread_s
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P00512,0.07852754853200432,0.02252805609998454,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P00512,0.07894457080399142,0.02215976908111439,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P00512,0.07942366997364758,0.022652014045278612,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P00512,0.08080815847477912,0.02097373398633917,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P00512,0.07765441848244338,0.022227695429477556,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P00512,0.08085869653754987,0.02200171222878078,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P09042,0.03338973180847835,0.009265156546711006,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P09042,0.0334704133450821,0.00906100963555323,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P09042,0.0337170522734574,0.0092798807079566,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P09042,0.034242316526673665,0.008505375076934607,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P09042,0.03306865922599487,0.00916474352344876,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P09042,0.03427224015379528,0.0089500747442115,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P10437,0.025744170159955237,0.007091881680047374,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P10437,0.025760174176129906,0.006915934841382088,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P10437,0.02598315282225075,0.0071032167371947175,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P10437,0.02637338596803849,0.00648570734028997,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P10437,0.025516630371926537,0.007025383307128985,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P10437,0.02640402088994132,0.0068428200519026205,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P11791,0.01858322463067816,0.00535834102036481,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P11791,0.018513681524500964,0.005199657811074676,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P11791,0.018717284319864042,0.005351172084939959,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P11791,0.018984161905553392,0.004892603014823971,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P11791,0.018461678481126943,0.005324941725017407,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P11791,0.019001024641712664,0.0051516126083444025,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P14287,0.003995738158019768,0.0010097796472174903,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P14287,0.004014057766043131,0.0009882931669797923,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P14287,0.004041411220361181,0.0010129995391223723,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P14287,0.0041034321217303694,0.000918035668117323,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P14287,0.003951723882986748,0.0009970791496869413,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P14287,0.0041108605721126654,0.0009726898095354652,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P14512,0.0038119915611537886,0.001561161898414154,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P14512,0.003591486859909059,0.0014503322473788938,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P14512,0.0037624344767491135,0.001545635055275385,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P14512,0.0037586535531452165,0.0014192914509332244,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P14512,0.0038945954888191087,0.0015938204803664924,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P14512,0.003777848528434167,0.0014960408177284723,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P14987,0.0002764350771997894,7.532901904050426e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P14987,0.0002701819208732956,6.988667351115474e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P14987,0.0002724221288864151,7.40686062661311e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P14987,0.0002770641042589873,6.66849494532773e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P14987,0.00027991897143602004,7.680964966017001e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P14987,0.00027300811064184403,7.06053949286467e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15000,0.002596284540532311,-0.0003305678167038195,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15000,0.002497291864430934,-0.00034033396074162336,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15000,0.002556192368296166,-0.00029808444145806856,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15000,0.002521632907491319,-0.0003158670296576904,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15000,0.0026543645480353955,-0.00031764089277486196,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15000,0.0025312676585421286,-0.00027741523361779485,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15011,0.00032538967281751696,-3.47919347479797e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15011,0.000323139591853944,-3.50139029260399e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15011,0.000322148783171663,-3.2660830815767206e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15011,0.0003220942935180231,-3.414665156686869e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15011,0.0003313374960473034,-3.411431592903469e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15011,0.0003198027173448869,-3.159279136377702e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15012,0.0,0.0,False,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15013,0.00032665573528349205,1.9048423608891696e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15013,0.00032391932047764555,1.913937061326365e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15013,0.00032345851167821867,1.7150037117996675e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15013,0.0003236704926451957,1.791969222919576e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15013,0.0003326232644147793,1.8543463840892116e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15013,0.0003214446815404725,1.593595734128428e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15024,0.002436712867991942,0.00034496799990479943,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15024,0.0023325702998664905,0.0003371316376290512,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15024,0.0024123917843207844,0.00033089820379328394,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15024,0.0023749319220712777,0.0003376068702818369,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15024,0.0025000917177394172,0.00034595768258594006,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15024,0.002400257330357405,0.00032484422720480133,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15037,0.00028825388289603355,-9.200914214035905e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15037,0.0002817020953806538,-8.65920399309994e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15037,0.00028421229192567395,-9.0582529245542e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15037,0.00028920021910573083,-8.375175357433484e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15037,0.0002918945926716391,-9.339944613895312e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15037,0.00028502602412243757,-8.726627059496561e-05,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15062,0.00047816806135396526,-0.00017654493816454675,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15062,0.0004600233027103133,-0.00016570575634233808,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15062,0.0004696344252834102,-0.00017369863059313317,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15062,0.00047245513811705137,-0.00015962345144926449,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15062,0.0004856075011592589,-0.0001793497640129038,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15062,0.0004685887556810852,-0.00016685594857124286,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P15737,0.004012177702965201,-0.0010134185630298331,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P15737,0.004030416426812414,-0.0009916530058924344,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P15737,0.004057852564746369,-0.0010161798143256684,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P15737,0.004119828000848134,-0.000920804430107447,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P15737,0.0039681680976288115,-0.001000903047940871,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P15737,0.004127297600214212,-0.0009753095375015786,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20125,0.028786297811925942,-0.00723679749416839,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20125,0.02888636046073488,-0.00707690749576928,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20125,0.029083471578409528,-0.007215749914110781,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20125,0.029511075077268842,-0.00652857119782535,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20125,0.028490938061123853,-0.007145453903571686,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20125,0.02955408478059058,-0.00688669905482775,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20812,0.032205831649928414,-0.007689021123694628,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20812,0.03234316560467495,-0.007506857252116639,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20812,0.0325746698384043,-0.0077015620402167695,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20812,0.03304520289165961,-0.006907971657323486,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20812,0.031852606732488915,-0.007596711757103747,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20812,0.03312244816255072,-0.007351618534183646,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20825,0.03263435658449999,-0.008070385042927897,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20825,0.03276217244278605,-0.007891609626553775,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20825,0.03298240771953287,-0.008051139192478574,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20825,0.033464814537169166,-0.007267912183155034,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20825,0.03229081129149442,-0.00796719788123157,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20825,0.033520652545367874,-0.007679018866218801,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20850,0.03280892010319983,-0.008146339164951333,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20850,0.03292627596918702,-0.007962617192904586,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20850,0.033153454270166284,-0.008125935019642094,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20850,0.033638074467022244,-0.00733616211256205,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20850,0.032468437765454036,-0.008044520753638262,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20850,0.033692647597495004,-0.007750743316333408,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_031,MYOLEG_V2_P20851,0.03277911327764636,-0.008119402021223965,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_011,MYOLEG_V2_P20851,0.03289689756491752,-0.007934322544354222,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_009,MYOLEG_V2_P20851,0.03312559203850095,-0.00810224660626302,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_015,MYOLEG_V2_P20851,0.03360959917113751,-0.007310840211996572,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_023,MYOLEG_V2_P20851,0.03243771201797228,-0.008019035245751205,True,1.428,,,,,,
PAIR,hip,MYOLEG_VP_001,MYOLEG_V2_P20851,0.03366604742120709,-0.007729302458836185,True,1.428,,,,,,
JOINT_SUMMARY,hip,ALL_REPLAY_DEVELOPMENT,ALL_NONREFERENCE_REPLAY_CANDIDATES,,,,,0.00037775110911339845,0.00020173219266925367,1.8725375663404076,0.026165200915299603,1.0,0.0
PAIR,knee,MYOLEG_VP_031,MYOLEG_V2_P00512,0.015919091585516413,-0.007198736981668286,True,23.323999999999998,,,,,,
PAIR,knee,MYOLEG_VP_011,MYOLEG_V2_P00512,0.01531444930150563,-0.007020280805665746,True,23.323999999999998,,,,,,
