candidate_id,proposal_index,alpha_hip_deg,alpha_knee_deg,alpha_phase,candidate_main_effect_j,absolute_candidate_main_effect_j,subject_interaction_rms_j
MYOLEG_V2_P00000,0,-5.0,-5.0,-0.03,0.01828250639795148,0.01828250639795148,0.00020424421580543103
MYOLEG_V2_P00001,1,-5.0,-5.0,-0.0275,0.018333946297758086,0.018333946297758086,0.00020355943758075504
MYOLEG_V2_P00002,2,-5.0,-5.0,-0.025,0.018383411896709,0.018383411896709,0.00020296537095309744
MYOLEG_V2_P00003,3,-5.0,-5.0,-0.0225,0.01843421574986115,0.01843421574986115,0.00020246888381151462
MYOLEG_V2_P00004,4,-5.0,-5.0,-0.02,0.018483971228512308,0.018483971228512308,0.00020204104309118185
MYOLEG_V2_P00005,5,-5.0,-5.0,-0.0175,0.018536464738782454,0.018536464738782454,0.00020169643436558047
MYOLEG_V2_P00006,6,-5.0,-5.0,-0.015,0.018589574910375273,0.018589574910375273,0.0002014065100585939
MYOLEG_V2_P00007,7,-5.0,-5.0,-0.0125,0.018642975313224674,0.018642975313224674,0.0002011574387326272
MYOLEG_V2_P00008,8,-5.0,-5.0,-0.01,0.018695557518634054,0.018695557518634054,0.00020093382920547247
MYOLEG_V2_P00009,9,-5.0,-5.0,-0.0075,0.018749201804522553,0.018749201804522553,0.00020074057912311988
MYOLEG_V2_P00010,10,-5.0,-5.0,-0.005,0.018803426701464954,0.018803426701464954,0.00020056439475953493
MYOLEG_V2_P00011,11,-5.0,-5.0,-0.0025,0.018858370420701043,0.018858370420701043,0.00020040059874810458
MYOLEG_V2_P00012,12,-5.0,-5.0,-0.0,0.01891308887620724,0.01891308887620724,0.00020024123484163543
MYOLEG_V2_P00013,13,-5.0,-5.0,0.0025,0.018968674525336127,0.018968674525336127,0.00020008492520786887
MYOLEG_V2_P00014,14,-5.0,-5.0,0.005,0.019025146353306432,0.019025146353306432,0.00019992805726266102
MYOLEG_V2_P00015,15,-5.0,-5.0,0.0075,0.01908234516434537,0.01908234516434537,0.00019976785320748806
MYOLEG_V2_P00016,16,-5.0,-5.0,0.01,0.019139337409807666,0.019139337409807666,0.00019960024082686363
MYOLEG_V2_P00017,17,-5.0,-5.0,0.0125,0.019197762427727083,0.019197762427727083,0.00019942977100015076
MYOLEG_V2_P00018,18,-5.0,-5.0,0.015,0.0192567478908503,0.0192567478908503,0.00019925226301543232
MYOLEG_V2_P00019,19,-5.0,-5.0,0.0175,0.019316626938649106,0.019316626938649106,0.0001990713206898213
MYOLEG_V2_P00020,20,-5.0,-5.0,0.02,0.019377595964463534,0.019377595964463534,0.00019889469479029447
MYOLEG_V2_P00021,21,-5.0,-5.0,0.0225,0.019438589235570625,0.019438589235570625,0.00019871602640995293
MYOLEG_V2_P00022,22,-5.0,-5.0,0.025,0.01950177070933945,0.01950177070933945,0.00019855828719830707
MYOLEG_V2_P00023,23,-5.0,-5.0,0.0275,0.019567392560425834,0.019567392560425834,0.00019843222651640395
MYOLEG_V2_P00024,24,-5.0,-5.0,0.03,0.019635390957571053,0.019635390957571053,0.00019834812668269137
MYOLEG_V2_P00025,25,-5.0,-4.75,-0.03,0.01704961287689044,0.01704961287689044,0.0002007455088143952
MYOLEG_V2_P00026,26,-5.0,-4.75,-0.0275,0.017101054220586498,0.017101054220586498,0.0002003092585695589
MYOLEG_V2_P00027,27,-5.0,-4.75,-0.025,0.017150936037682696,0.017150936037682696,0.00019994888060121324
MYOLEG_V2_P00028,28,-5.0,-4.75,-0.0225,0.01720218932361206,0.01720218932361206,0.00019966945742651765
MYOLEG_V2_P00029,29,-5.0,-4.75,-0.02,0.017252480763629396,0.017252480763629396,0.0001994434899572863
MYOLEG_V2_P00030,30,-5.0,-4.75,-0.0175,0.017305228981527865,0.017305228981527865,0.00019928729914660468
MYOLEG_V2_P00031,31,-5.0,-4.75,-0.015,0.017358698497957015,0.017358698497957015,0.00019916646394019455
MYOLEG_V2_P00032,32,-5.0,-4.75,-0.0125,0.017412581866121934,0.017412581866121934,0.0001990689087013193
MYOLEG_V2_P00033,33,-5.0,-4.75,-0.01,0.01746552630624154,0.01746552630624154,0.00019898155884908353
MYOLEG_V2_P00034,34,-5.0,-4.75,-0.0075,0.017519442775417726,0.017519442775417726,0.00019890776175416486
MYOLEG_V2_P00035,35,-5.0,-4.75,-0.005,0.0175739968676647,0.0175739968676647,0.00019883192573982422
MYOLEG_V2_P00036,36,-5.0,-4.75,-0.0025,0.01762909207048713,0.01762909207048713,0.00019875030201750959
MYOLEG_V2_P00037,37,-5.0,-4.75,-0.0,0.01768437899866271,0.01768437899866271,0.0001986577235912242
MYOLEG_V2_P00038,38,-5.0,-4.75,0.0025,0.017740181965228086,0.017740181965228086,0.00019855006824817607
MYOLEG_V2_P00039,39,-5.0,-4.75,0.005,0.017796848099630003,0.017796848099630003,0.00019842232763875794
MYOLEG_V2_P00040,40,-5.0,-4.75,0.0075,0.01785396572557829,0.01785396572557829,0.00019827272921450103
MYOLEG_V2_P00041,41,-5.0,-4.75,0.01,0.017911600705227126,0.017911600705227126,0.0001980988128932138
MYOLEG_V2_P00042,42,-5.0,-4.75,0.0125,0.01797011197225107,0.01797011197225107,0.00019790166861868822
MYOLEG_V2_P00043,43,-5.0,-4.75,0.015,0.018029146586024503,0.018029146586024503,0.00019767660578131848
MYOLEG_V2_P00044,44,-5.0,-4.75,0.0175,0.01808872399570438,0.01808872399570438,0.00019742654860057773
