record_type,metric,dimension,subject_id,minus_delta_from_reference,plus_delta_from_reference,central_derivative_per_unit,central_derivative_sign,preferred_local_direction,sign_agreement_fraction,minus_improvement_fraction,plus_improvement_fraction
SUBJECT,J,hip,MYOLEG_VP_001,0.00033377948759372167,-0.00033555840785182145,-0.0013386757908910862,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_002,0.00031357151871236333,-0.00031662938881704683,-0.0012604018150588203,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_003,0.0003121732961957058,-0.0003143301123809117,-0.001253006817153235,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_005,0.0003254471857769836,-0.00032821935587679096,-0.0013073330833075492,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_006,0.0003093677165388886,-0.0003116643420888465,-0.0012420641172554703,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_007,0.00034738075747731134,-0.0003500309450057415,-0.0013948234049661057,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_009,0.00034542764471734433,-0.00034771522812238054,-0.0013862857456794497,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_010,0.0003105006332051463,-0.00031340264455370637,-0.0012478065555177054,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_011,0.0003369214432245027,-0.0003395412281199661,-0.0013529253426889376,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_013,0.0003381756406174441,-0.00034108248580233536,-0.001358516252839559,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_014,0.00033551306763035527,-0.0003383339908075156,-0.0013476941168757417,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_015,0.0003021005715104774,-0.0003041135068273526,-0.00121242815667566,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_017,0.0003357116805677851,-0.00033792288722978014,-0.0013472691355951305,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_018,0.00033034780945317976,-0.00033277602404113704,-0.0013262476669886336,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_019,0.00031761931586360426,-0.00032027657906041895,-0.0012757917898480464,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_021,0.00031825049917766357,-0.00032124175989511894,-0.001278984518145565,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_022,0.00031348483152959794,-0.00031584381337468326,-0.0012586572898085624,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_023,0.00034083425048980764,-0.0003434869253018391,-0.0013686423515832935,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_025,0.00032992088647032514,-0.00033182397944209185,-0.001323489731824834,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_026,0.0003354825340318168,-0.00033743280540765586,-0.0013458306788789454,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_027,0.0003170016972722234,-0.0003200415413827651,-0.001274086477309977,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_029,0.0002958395691881055,-0.0002984034476645192,-0.0011884860337052494,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_030,0.0003530371647868513,-0.00035524588276092395,-0.0014165660950955505,-1,PLUS,,,
SUBJECT,J,hip,MYOLEG_VP_031,0.0003422603625237164,-0.00034490656698638045,-0.0013743338590201937,-1,PLUS,,,
SUMMARY,J,hip,ALL_DEVELOPMENT,,,,,,1.0,0.0,1.0
SUBJECT,J,knee,MYOLEG_VP_001,0.0011215540821210013,-0.0011097581515228105,-0.004462624467287624,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_002,0.0012660835658415692,-0.0012719336169614293,-0.005076034365605997,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_003,0.0012203120260207978,-0.0012181633371587397,-0.004876950726359075,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_005,0.0012383940660642967,-0.0012397135595717534,-0.0049562152512721,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_006,0.0012324416428863838,-0.0012320190265078246,-0.004928921338788417,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_007,0.0012427749807063515,-0.001244538228022063,-0.004974626417456829,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_009,0.0012130995229312491,-0.0012102489163851038,-0.004846696878632706,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_010,0.0012567288366649443,-0.0012608442295163336,-0.005035146132362556,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_011,0.0012315957192186033,-0.0012319207369054785,-0.004927032912248164,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_013,0.0012573141830117818,-0.0012607966992448372,-0.005036221764513238,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_014,0.0012462210555248543,-0.001247601042228319,-0.004987644195506347,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_015,0.001160357244604171,-0.001152055488943704,-0.00462482546709575,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_017,0.0012055616973847272,-0.0012018198881815767,-0.004814763171132608,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_018,0.0012035674419454967,-0.001199306472885131,-0.0048057478296612555,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_019,0.0012536238451139603,-0.0012560755615139696,-0.00501939881325586,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_021,0.001265411799082461,-0.0012720472140936856,-0.005074918026352293,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_022,0.001233980815526392,-0.001232910651407293,-0.00493378293386737,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_023,0.0012032304159246276,-0.0011992212783427103,-0.004804903388534676,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_025,0.0011664549051243478,-0.0011583498231976241,-0.004649609456643944,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_026,0.0011286938917896006,-0.0011169753612763067,-0.0044913385061318145,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_027,0.001261665291314662,-0.0012673189002411211,-0.005057968383111566,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_029,0.0012297970218984045,-0.0012292828292058688,-0.004918159702208547,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_030,0.001162737683345627,-0.0011540874851841965,-0.004633650337059647,-1,PLUS,,,
SUBJECT,J,knee,MYOLEG_VP_031,0.0012293302845650667,-0.0012283025388818425,-0.004915265646893818,-1,PLUS,,,
SUMMARY,J,knee,ALL_DEVELOPMENT,,,,,,1.0,0.0,1.0
SUBJECT,J,phase,MYOLEG_VP_001,-5.654645335395614e-05,5.062540046485431e-05,0.02143437076376209,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_002,-6.080528506891003e-05,5.40988001209719e-05,0.022980817037976387,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_003,-5.898867952647269e-05,5.2642925401302776e-05,0.022326320985555093,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_005,-6.144863805235268e-05,5.4782756182092385e-05,0.023246278846889012,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_006,-5.982969736051391e-05,5.332521646295163e-05,0.02263098276469311,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_007,-6.050960741299516e-05,5.399503110503634e-05,0.0229009277036063,1,MINUS,,,
SUBJECT,J,phase,MYOLEG_VP_009,-5.7641041962042117e-05,5.1560527560501335e-05,0.02184031390450869,1,MINUS,,,
