matched_rom_group_id,candidate_count,alpha_hip_deg,alpha_knee_deg,phase_min,phase_max,hip_extrema_span_within_group_deg,knee_extrema_span_within_group_deg,independent_alpha_dimensions_varying,path_length_range_deg,qspace_area_range_deg2,flexion_midpoint_lag_range_s,pairwise_subject_kendall_tau_mean,pairwise_rank_inversion_fraction_mean,subject_candidate_interaction_variance_fraction,candidate_main_variance_fraction,common_optimum_candidate_id,common_optimum_phase,subjects_sharing_common_optimum,mean_common_optimum_regret,max_common_optimum_regret
MATCHED_ROM_0000,25,-5.0,-5.0,-0.03,0.03,0.0,4.669460307127338e-05,1,1.4185909652596251,450.689581711496,0.15427553242158432,1.0,0.0,0.000468969693500147,0.6183900463500938,MYOLEG_V2_P00000,-0.03,24,0.0,0.0
MATCHED_ROM_0001,25,-5.0,-4.75,-0.03,0.03,0.0,3.880810194800688e-05,1,1.4346143730970198,450.68958171148813,0.15496581620180194,1.0,0.0,0.00047464637025916383,0.6174792113309867,MYOLEG_V2_P00025,-0.03,24,0.0,0.0
MATCHED_ROM_0002,25,-5.0,-4.5,-0.03,0.03,0.0,3.096293052351484e-05,1,1.4502886269632427,450.68958171149507,0.15565097882726509,1.0,0.0,0.00048063639362884853,0.6167855262020542,MYOLEG_V2_P00050,-0.03,24,0.0,0.0
MATCHED_ROM_0003,25,-5.0,-4.25,-0.03,0.03,0.0,2.759474973856868e-05,1,1.4656167190824192,450.68958171148404,0.15635118905972067,1.0,0.0,0.0004873433444001871,0.6166741510482378,MYOLEG_V2_P00075,-0.03,24,0.0,0.0
MATCHED_ROM_0004,25,-5.0,-4.0,-0.03,0.03,0.0,3.363056799798869e-05,1,1.4806018262951852,450.68958171148347,0.157060983049921,1.0,0.0,0.0004951973808927606,0.6175022976717025,MYOLEG_V2_P00100,-0.03,24,0.0,0.0
MATCHED_ROM_0005,25,-5.0,-3.75,-0.03,0.03,0.0,3.970838194788939e-05,1,1.4952472979525169,450.6895817114764,0.15776452582545897,1.0,0.0,0.0005045676645812899,0.6195207266133731,MYOLEG_V2_P00125,-0.03,24,0.0,0.0
MATCHED_ROM_0006,25,-5.0,-3.5,-0.03,0.03,0.0,4.58284113449281e-05,1,1.509556643916028,450.68958171148313,0.1584618546241119,1.0,0.0,0.0005157081747930795,0.6229828177855299,MYOLEG_V2_P00150,-0.03,24,0.0,0.0
MATCHED_ROM_0007,25,-5.0,-3.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.5235335227036728,450.68958171149586,0.15915433499918485,1.0,0.0,0.0005288482581810811,0.6280544666547107,MYOLEG_V2_P00175,-0.03,24,0.0,0.0
MATCHED_ROM_0008,25,-5.0,-3.0,-0.03,0.03,0.0,4.703980690123899e-05,1,1.5371817298196788,450.6895817114862,0.15984157604981508,1.0,0.0,0.0005442542764844861,0.6349013811658842,MYOLEG_V2_P00200,-0.03,24,0.0,0.0
MATCHED_ROM_0009,25,-5.0,-2.75,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.5505051863030985,450.6895817114878,0.16052343662560187,1.0,0.0,0.0005620463438345928,0.6435899369623077,MYOLEG_V2_P00225,-0.03,24,0.0,0.0
MATCHED_ROM_0010,25,-5.0,-2.5,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.563507927525393,450.68958171148756,0.1611999488044038,1.0,0.0,0.0005824028706843111,0.6540578709285985,MYOLEG_V2_P00250,-0.03,24,0.0,0.0
MATCHED_ROM_0011,25,-5.0,-2.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.5761940922660642,450.6895817114788,0.1618711444514247,1.0,0.0,0.0006053716680162725,0.6661338849181172,MYOLEG_V2_P00275,-0.03,24,0.0,0.0
MATCHED_ROM_0012,25,-5.0,-2.0,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.5885679120913778,450.6895817114913,0.16253705522083362,1.0,0.0,0.0006309348410171854,0.6794358739818306,MYOLEG_V2_P00300,-0.03,24,0.0,0.0
MATCHED_ROM_0013,25,-5.0,-1.75,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6006337010559832,450.68958171147585,0.16319771255736626,1.0,0.0,0.0006587998519698445,0.6933294341416918,MYOLEG_V2_P00325,-0.03,24,0.0,0.0
MATCHED_ROM_0014,25,-5.0,-1.5,-0.03,0.03,0.0,4.703980690123899e-05,1,1.6123958457489493,450.6895817114853,0.16385204647076357,1.0,0.0,0.0006881761257688585,0.7068496547539387,MYOLEG_V2_P00350,-0.03,24,0.0,0.0
MATCHED_ROM_0015,25,-5.0,-1.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6238587956970605,450.68958171148506,0.16449759559676647,1.0,0.0,0.0007176746704926629,0.7186051525827035,MYOLEG_V2_P00375,-0.03,24,0.0,0.0
MATCHED_ROM_0016,25,-5.0,-1.0,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6350270541394707,450.6895817114829,0.16513698629646,1.0,0.0,0.0007453436923425337,0.7267193625002958,MYOLEG_V2_P00400,-0.03,24,0.0,0.0
MATCHED_ROM_0017,25,-5.0,-0.75,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6459051691836066,450.68958171150075,0.16577025738271178,1.0,0.0,0.0007687357041551482,0.7288320967284032,MYOLEG_V2_P00425,-0.03,24,0.0,0.0
MATCHED_ROM_0018,25,-5.0,-0.5,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6564977253489133,450.6895817115004,0.1663974473999401,1.0,0.0,0.0007847474666349667,0.7223903809692155,MYOLEG_V2_P00450,-0.03,24,0.0,0.0
MATCHED_ROM_0019,25,-5.0,-0.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6668093355037286,450.68958171149166,0.1670186000801328,1.0,0.0,0.0007898862965848731,0.7050641767907033,MYOLEG_V2_P00475,-0.03,24,0.0,0.0
MATCHED_ROM_0020,25,-5.0,0.0,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6768446331976747,450.68958171148233,0.1676664424441805,1.0,0.0,0.0007813882014596941,0.6753452006551758,MYOLEG_V2_P00500,-0.03,24,0.0,0.0
MATCHED_ROM_0021,25,-5.0,0.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.6866082653900776,450.6895817114828,0.16830890938983512,1.0,0.0,0.0007579916089703632,0.6331604468877085,MYOLEG_V2_P00525,-0.03,24,0.0,0.0
MATCHED_ROM_0022,25,-5.0,0.5,-0.03,0.03,0.0,4.703980690123899e-05,1,1.6961048855730496,450.689581711483,0.1689460345945628,1.0,0.0,0.000720049651618222,0.5802520141717842,MYOLEG_V2_P00550,-0.03,24,0.0,0.0
MATCHED_ROM_0023,25,-4.75,-5.0,-0.03,0.03,0.0,4.669460307127338e-05,1,1.4035524884141637,452.70432133801,0.15427553242158432,1.0,0.0,0.0004725020203229513,0.6312236747102625,MYOLEG_V2_P00725,-0.03,24,0.0,0.0
MATCHED_ROM_0024,25,-4.75,-4.75,-0.03,0.03,0.0,3.880810194800688e-05,1,1.419586928303545,452.7043213380025,0.15496581620180194,1.0,0.0,0.0004780245245222482,0.6296892801267183,MYOLEG_V2_P00750,-0.03,24,0.0,0.0
MATCHED_ROM_0025,25,-4.75,-4.5,-0.03,0.03,0.0,3.096293052351484e-05,1,1.4352780960400935,452.7043213380082,0.15565097882726509,1.0,0.0,0.00048385438920704873,0.6283617478142179,MYOLEG_V2_P00775,-0.03,24,0.0,0.0
MATCHED_ROM_0026,25,-4.75,-4.25,-0.03,0.03,0.0,2.759474973856868e-05,1,1.450628803956448,452.704321338005,0.15635118905972067,1.0,0.0,0.0004904102183586341,0.6276366419891555,MYOLEG_V2_P00800,-0.03,24,0.0,0.0
MATCHED_ROM_0027,25,-4.75,-4.0,-0.03,0.03,0.0,3.363056799798869e-05,1,1.4656420459902506,452.70432133800864,0.157060983049921,1.0,0.0,0.0004981396223627599,0.6278975979188534,MYOLEG_V2_P00825,-0.03,24,0.0,0.0
MATCHED_ROM_0028,25,-4.75,-3.75,-0.03,0.03,0.0,3.970838194788939e-05,1,1.480320986208426,452.70432133801626,0.15776452582545897,1.0,0.0,0.0005074269833760541,0.6294174278409898,MYOLEG_V2_P00850,-0.03,24,0.0,0.0
MATCHED_ROM_0029,25,-4.75,-3.5,-0.03,0.03,0.0,4.58284113449281e-05,1,1.4946689474151071,452.7043213380217,0.1584618546241119,1.0,0.0,0.000518540893849986,0.632468783274157,MYOLEG_V2_P00875,-0.03,24,0.0,0.0
MATCHED_ROM_0030,25,-4.75,-3.25,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.5086893998814332,452.704321338024,0.15915433499918485,1.0,0.0,0.0005317201205696409,0.6372382062002581,MYOLEG_V2_P00900,-0.03,24,0.0,0.0
MATCHED_ROM_0031,25,-4.75,-3.0,-0.03,0.03,0.0,4.703980690123899e-05,1,1.5223859502322057,452.7043213380175,0.15984157604981508,1.0,0.0,0.0005472587960530403,0.643910959546362,MYOLEG_V2_P00925,-0.03,24,0.0,0.0
MATCHED_ROM_0032,25,-4.75,-2.75,-0.03,0.03,0.0,4.7039806887028135e-05,1,1.535762330524335,452.7043213380248,0.16052343662560187,1.0,0.0,0.0005652977259284635,0.6525759469416798,MYOLEG_V2_P00950,-0.03,24,0.0,0.0
