subject_id,oracle_j,common_candidate_id,common_j,common_regret,relative_personalization_gap,engineering_effect_band
MYOLEG_VP_001,0.9942456043900652,MYOLEG_V3_K0600,0.9942456043900652,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_002,0.994779848434815,MYOLEG_V3_K0600,0.994779848434815,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_003,0.9944821849904519,MYOLEG_V3_K0600,0.9944821849904519,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_005,0.9946843351885692,MYOLEG_V3_K0600,0.9946843351885692,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_006,0.9945534602847065,MYOLEG_V3_K0600,0.9945534602847065,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_007,0.9946964812707473,MYOLEG_V3_K0600,0.9946964812707473,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_009,0.9944805177261201,MYOLEG_V3_K0600,0.9944805177261201,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_010,0.9947352229915446,MYOLEG_V3_K0600,0.9947352229915446,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_011,0.994668422063366,MYOLEG_V3_K0600,0.994668422063366,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_013,0.9946937375220644,MYOLEG_V3_K0600,0.9946937375220644,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_014,0.9946031106732772,MYOLEG_V3_K0600,0.9946031106732772,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_015,0.9943383894430852,MYOLEG_V3_K0600,0.9943383894430852,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_017,0.9944706740648649,MYOLEG_V3_K0600,0.9944706740648649,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_018,0.9944255229229682,MYOLEG_V3_K0600,0.9944255229229682,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_019,0.9946264015903028,MYOLEG_V3_K0600,0.9946264015903028,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_021,0.9948577359760704,MYOLEG_V3_K0600,0.9948577359760704,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_022,0.99445808368311,MYOLEG_V3_K0600,0.99445808368311,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_023,0.9944385056818645,MYOLEG_V3_K0600,0.9944385056818645,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_025,0.9942887693519785,MYOLEG_V3_K0600,0.9942887693519785,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_026,0.9941767361021038,MYOLEG_V3_K0600,0.9941767361021038,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_027,0.9948252229112654,MYOLEG_V3_K0600,0.9948252229112654,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_029,0.9945632533769032,MYOLEG_V3_K0600,0.9945632533769032,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_030,0.9942729852594815,MYOLEG_V3_K0600,0.9942729852594815,0.0,0.0,NEGLIGIBLE
MYOLEG_VP_031,0.9945363266729226,MYOLEG_V3_K0600,0.9945363266729226,0.0,0.0,NEGLIGIBLE
