subject_i,subject_j,spearman_rank_correlation,kendall_tau_b
MYOLEG_VP_001,MYOLEG_VP_002,0.9997061685917917,0.9865333333333335
MYOLEG_VP_001,MYOLEG_VP_003,0.999925387072991,0.9935589743589746
MYOLEG_VP_001,MYOLEG_VP_005,0.999726566724011,0.9870871794871796
MYOLEG_VP_001,MYOLEG_VP_006,0.999873482428115,0.9914153846153847
MYOLEG_VP_001,MYOLEG_VP_007,0.9997653969034163,0.9881333333333334
MYOLEG_VP_001,MYOLEG_VP_009,0.9999554190218728,0.9952820512820514
MYOLEG_VP_001,MYOLEG_VP_010,0.9997484394200051,0.9876102564102566
MYOLEG_VP_001,MYOLEG_VP_011,0.99972917178668,0.9871794871794872
MYOLEG_VP_001,MYOLEG_VP_013,0.9997642664045222,0.9880512820512822
MYOLEG_VP_001,MYOLEG_VP_014,0.9998422216760875,0.9903282051282053
MYOLEG_VP_001,MYOLEG_VP_015,0.9999267141803884,0.993620512820513
MYOLEG_VP_001,MYOLEG_VP_017,0.9999024821823546,0.9925743589743591
MYOLEG_VP_001,MYOLEG_VP_018,0.9998846891128041,0.9918564102564105
MYOLEG_VP_001,MYOLEG_VP_019,0.9998286556893587,0.9899076923076924
MYOLEG_VP_001,MYOLEG_VP_021,0.9996048169083314,0.984297435897436
MYOLEG_VP_001,MYOLEG_VP_022,0.9999342836077663,0.9940410256410257
MYOLEG_VP_001,MYOLEG_VP_023,0.999936642909806,0.9942358974358976
MYOLEG_VP_001,MYOLEG_VP_025,0.9999968051118212,0.9994153846153847
MYOLEG_VP_001,MYOLEG_VP_026,0.9999942983534039,0.9990256410256411
MYOLEG_VP_001,MYOLEG_VP_027,0.9996133202260998,0.9844512820512822
MYOLEG_VP_001,MYOLEG_VP_029,0.9998117473580733,0.989394871794872
MYOLEG_VP_001,MYOLEG_VP_030,0.9999883509461786,0.9982358974358976
MYOLEG_VP_001,MYOLEG_VP_031,0.9998568198574589,0.9908615384615386
MYOLEG_VP_002,MYOLEG_VP_003,0.9999084787417056,0.9929743589743592
MYOLEG_VP_002,MYOLEG_VP_005,0.999996903416073,0.999446153846154
MYOLEG_VP_002,MYOLEG_VP_006,0.9999511427869255,0.9951179487179489
MYOLEG_VP_002,MYOLEG_VP_007,0.9999895305971984,0.9984000000000001
MYOLEG_VP_002,MYOLEG_VP_009,0.999867485868764,0.9912512820512822
MYOLEG_VP_002,MYOLEG_VP_010,0.9999936593757681,0.9989230769230771
MYOLEG_VP_002,MYOLEG_VP_011,0.999996313590563,0.9993538461538463
MYOLEG_VP_002,MYOLEG_VP_013,0.9999900712705826,0.9984820512820514
MYOLEG_VP_002,MYOLEG_VP_014,0.9999659867289261,0.9962051282051283
MYOLEG_VP_002,MYOLEG_VP_015,0.9999068567215533,0.9929128205128206
MYOLEG_VP_002,MYOLEG_VP_017,0.9999306955025805,0.9939589743589744
MYOLEG_VP_002,MYOLEG_VP_018,0.9999440157286803,0.9946769230769232
MYOLEG_VP_002,MYOLEG_VP_019,0.999971196854264,0.9966256410256411
MYOLEG_VP_002,MYOLEG_VP_021,0.9999834848857214,0.9977641025641028
MYOLEG_VP_002,MYOLEG_VP_022,0.9998984517080366,0.9924923076923078
MYOLEG_VP_002,MYOLEG_VP_023,0.9998956500368641,0.992297435897436
MYOLEG_VP_002,MYOLEG_VP_025,0.9997277955271566,0.9871179487179489
MYOLEG_VP_002,MYOLEG_VP_026,0.9996626198083067,0.9855589743589744
MYOLEG_VP_002,MYOLEG_VP_027,0.9999849594494963,0.9979179487179488
MYOLEG_VP_002,MYOLEG_VP_029,0.9999769476529862,0.9971384615384618
MYOLEG_VP_002,MYOLEG_VP_030,0.999773212091423,0.988297435897436
MYOLEG_VP_002,MYOLEG_VP_031,0.9999593020398134,0.995671794871795
MYOLEG_VP_003,MYOLEG_VP_005,0.9999195871221431,0.9935282051282053
MYOLEG_VP_003,MYOLEG_VP_006,0.9999846645367413,0.9978564102564104
MYOLEG_VP_003,MYOLEG_VP_007,0.9999401818628656,0.9945743589743591
MYOLEG_VP_003,MYOLEG_VP_009,0.9999889899238142,0.9982769230769232
MYOLEG_VP_003,MYOLEG_VP_010,0.9999311870238388,0.9940512820512821
MYOLEG_VP_003,MYOLEG_VP_011,0.999921061685918,0.993620512820513
MYOLEG_VP_003,MYOLEG_VP_013,0.9999396903416073,0.9944923076923079
MYOLEG_VP_003,MYOLEG_VP_014,0.9999732612435489,0.9967692307692309
MYOLEG_VP_003,MYOLEG_VP_015,0.999999164413861,0.9998564102564104
MYOLEG_VP_003,MYOLEG_VP_017,0.9999938068321457,0.9990153846153847
MYOLEG_VP_003,MYOLEG_VP_018,0.9999883509461786,0.998297435897436
MYOLEG_VP_003,MYOLEG_VP_019,0.999968051118211,0.996348717948718
MYOLEG_VP_003,MYOLEG_VP_021,0.9998507249938561,0.9907384615384616
MYOLEG_VP_003,MYOLEG_VP_022,0.9999973949373311,0.9995179487179489
MYOLEG_VP_003,MYOLEG_VP_023,0.9999961169820595,0.999323076923077
MYOLEG_VP_003,MYOLEG_VP_025,0.9999360530842961,0.9941435897435899
MYOLEG_VP_003,MYOLEG_VP_026,0.9999040058982552,0.9925846153846155
MYOLEG_VP_003,MYOLEG_VP_027,0.999855640206439,0.9908923076923078
MYOLEG_VP_003,MYOLEG_VP_029,0.9999613172769722,0.9958358974358975
MYOLEG_VP_003,MYOLEG_VP_030,0.9999564020643894,0.9953230769230771
MYOLEG_VP_003,MYOLEG_VP_031,0.9999790611943967,0.9973025641025642
MYOLEG_VP_005,MYOLEG_VP_006,0.9999590071270584,0.995671794871795
MYOLEG_VP_005,MYOLEG_VP_007,0.9999933644630131,0.9989538461538462
MYOLEG_VP_005,MYOLEG_VP_009,0.9998808060948636,0.9918051282051283
MYOLEG_VP_005,MYOLEG_VP_010,0.9999971000245762,0.9994769230769233
MYOLEG_VP_005,MYOLEG_VP_011,0.9999994593266159,0.9998871794871795
MYOLEG_VP_005,MYOLEG_VP_013,0.9999940034406489,0.9990358974358975
MYOLEG_VP_005,MYOLEG_VP_014,0.9999724256574098,0.9967589743589745
MYOLEG_VP_005,MYOLEG_VP_015,0.9999179651019907,0.9934666666666667
MYOLEG_VP_005,MYOLEG_VP_017,0.9999402310149915,0.9945128205128206
MYOLEG_VP_005,MYOLEG_VP_018,0.9999526173507004,0.9952307692307694
MYOLEG_VP_005,MYOLEG_VP_019,0.9999768001966086,0.9971794871794873
MYOLEG_VP_005,MYOLEG_VP_021,0.9999780289997543,0.9972102564102565
MYOLEG_VP_005,MYOLEG_VP_022,0.9999099533054805,0.993046153846154
MYOLEG_VP_005,MYOLEG_VP_023,0.9999074956991891,0.9928512820512821
MYOLEG_VP_005,MYOLEG_VP_025,0.9997474072253627,0.987671794871795
MYOLEG_VP_005,MYOLEG_VP_026,0.9996842467436718,0.9861128205128207
MYOLEG_VP_005,MYOLEG_VP_027,0.9999796510199067,0.9973641025641027
MYOLEG_VP_005,MYOLEG_VP_029,0.9999820594740725,0.9976923076923079
MYOLEG_VP_005,MYOLEG_VP_030,0.9997911526173507,0.9888512820512823
MYOLEG_VP_005,MYOLEG_VP_031,0.999966281641681,0.9962256410256412
MYOLEG_VP_006,MYOLEG_VP_007,0.9999722290489065,0.9967179487179488
MYOLEG_VP_006,MYOLEG_VP_009,0.9999668223150652,0.9961333333333334
