subject_parameter,outcome,spearman_rho,raw_p_value,undefined_reason,exploratory_only,predictive_learner_trained,bh_q_value_across_30_tests
FEMUR_MASS_INERTIA_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
FEMUR_MASS_INERTIA_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
FEMUR_MASS_INERTIA_SCALE,oracle_j,0.20434782608695648,0.33815724851317563,,True,False,1.0
FEMUR_MASS_INERTIA_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
FEMUR_MASS_INERTIA_SCALE,subject_interaction_residual_rms,-0.08347826086956521,0.6981606006787421,,True,False,1.0
TIBIA_PATELLA_MASS_INERTIA_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
TIBIA_PATELLA_MASS_INERTIA_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
TIBIA_PATELLA_MASS_INERTIA_SCALE,oracle_j,0.5652173913043478,0.0040009095002293575,,True,False,0.060013642503440365
TIBIA_PATELLA_MASS_INERTIA_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
TIBIA_PATELLA_MASS_INERTIA_SCALE,subject_interaction_residual_rms,-0.15217391304347824,0.4777969871903097,,True,False,1.0
FOOT_COMPLEX_MASS_INERTIA_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
FOOT_COMPLEX_MASS_INERTIA_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
FOOT_COMPLEX_MASS_INERTIA_SCALE,oracle_j,0.7939130434782607,3.65018668087494e-06,,True,False,0.00010950560042624819
FOOT_COMPLEX_MASS_INERTIA_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
FOOT_COMPLEX_MASS_INERTIA_SCALE,subject_interaction_residual_rms,0.08086956521739129,0.707180750468238,,True,False,1.0
HIP_ONLY_PASSIVE_FP_MAX_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_ONLY_PASSIVE_FP_MAX_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_ONLY_PASSIVE_FP_MAX_SCALE,oracle_j,0.2573913043478261,0.2246604898877397,,True,False,1.0
HIP_ONLY_PASSIVE_FP_MAX_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_ONLY_PASSIVE_FP_MAX_SCALE,subject_interaction_residual_rms,-0.27391304347826084,0.19525188107441607,,True,False,1.0
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,oracle_j,-0.268695652173913,0.2042392593734892,,True,False,1.0
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
KNEE_ONLY_PASSIVE_FP_MAX_SCALE,subject_interaction_residual_rms,0.033913043478260865,0.8749966229566861,,True,False,1.0
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,oracle_beta_flex,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,oracle_beta_extend,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,oracle_j,-0.5069565217391303,0.011461586292892815,,True,False,0.11461586292892816
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,common_regret,,1.0,CONSTANT_OUTCOME,True,False,1.0
HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE,subject_interaction_residual_rms,0.1878260869565217,0.37945849831738243,,True,False,1.0
