candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0000,-0.03,-0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.826181129143148,11.660779610201052,15.562447731862543,6.020117937007036,133.79963387771448,23.90019506253966,True
MYOLEG_V3_K0001,-0.03,-0.0275,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.745057055992522,11.654772025187533,16.045520479803653,6.01056835098948,162.80055942219457,23.9284905376186,True
MYOLEG_V3_K0002,-0.03,-0.025,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.63648689763539,11.649192701418771,16.09718079722128,5.990853815680052,133.02105938186398,23.105118208732577,True
MYOLEG_V3_K0003,-0.03,-0.0225,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.582100930702534,11.64400928922534,16.542566855703566,5.992056509294046,160.99737786428645,23.60909642523437,True
MYOLEG_V3_K0004,-0.03,-0.02,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.53578196455092,11.639200141609663,16.09720206792273,6.001054515938097,145.30335060383544,24.23289518622897,True
MYOLEG_V3_K0005,-0.03,-0.0175,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.465887304463088,11.634805081613619,16.087660631715263,5.988461346706665,154.01699293376635,23.469786708408773,True
MYOLEG_V3_K0006,-0.03,-0.015,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40450123231412,11.63082692816114,16.223553991640394,5.976572490935488,123.24018981046099,22.736687381980026,True
MYOLEG_V3_K0007,-0.03,-0.0125,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.391788849990814,11.627258691521574,16.83351829494726,5.9868892878683235,140.82080421526388,23.360129824124815,True
MYOLEG_V3_K0008,-0.03,-0.01,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.356304303139876,11.624092181393147,16.853202118937624,6.009960354743097,157.96667849559367,24.571317873287892,True
MYOLEG_V3_K0009,-0.03,-0.0075,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.297172258414612,11.621335656999447,16.86687724164785,5.993553428128197,146.64828316784107,23.2073933698788,True
