candidate_index,candidate_id,beta_flex,beta_extend,included,inclusion_reason,finite,duration_s,sample_count,hip_min_deg,hip_max_deg,hip_rom_deg,knee_min_deg,knee_max_deg,knee_rom_deg,hip_min_error_deg,hip_max_error_deg,hip_rom_error_deg,knee_min_error_deg,knee_max_error_deg,knee_rom_error_deg,hip_q_max_abs_error_rad,hip_dq_max_abs_error_rad_s,hip_ddq_max_abs_error_rad_s2,max_knee_displacement_deg,rms_knee_displacement_deg,max_knee_displacement_fraction_of_rom,rms_knee_displacement_fraction_of_rom,joint_space_path_length_deg,signed_qspace_area_deg2,flex_coordination_slope,extension_coordination_slope,flex_knee_midpoint_time_s,extension_knee_midpoint_time_s,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,peak_dq_ratio,rms_dq_ratio,peak_ddq_ratio,rms_ddq_ratio,peak_jerk_ratio,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,kinematic_gate_pass,exclusion_reason
0,MYOLEG_V3_K0000,-0.03,-0.03,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423309514,119.49997604310423,101.17907861979471,0.0,0.0,0.0,1.6624497334305488e-09,2.395689577383564e-05,2.3958558230674498e-05,0.0,0.0,0.0,4.704586410061594,1.3936996946294555,0.04649760958710194,0.01377458051231653,268.21119720579577,951.8365917464691,1.2088076365023832,1.2169413400568079,4.660852328093475,19.268770856157552,28.826181129143148,11.660779610201052,15.562447731862543,6.020117937007036,133.79963387771448,23.90019506253966,1.018242514845305,0.9939165552140213,0.8904165751010031,0.980133032543184,0.8587490055666653,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
1,MYOLEG_V3_K0001,-0.03,-0.0275,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423170962,119.49997807301177,101.17908064984081,0.0,0.0,0.0,1.523897452671008e-09,2.1926988225118293e-05,2.1928512126123678e-05,0.0,0.0,0.0,4.314234173596276,1.3150636156204565,0.04263957737968015,0.012997383670230454,268.0968864102349,938.7194140566326,1.2088076365023832,1.217411322068233,4.660852328093475,19.256576662939548,28.745057055992522,11.654772025187533,16.045520479803653,6.01056835098948,162.80055942219457,23.9284905376186,1.0153769260984182,0.9934044935507884,0.9180559278016515,0.9785782682012129,1.0448819212560798,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
2,MYOLEG_V3_K0002,-0.03,-0.025,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897423032413,119.49998009682022,101.1790826737878,0.0,0.0,0.0,1.3853487246251461e-09,1.9903179776292745e-05,1.990456513567551e-05,0.0,0.0,0.0,3.9223937054616584,1.238851973813113,0.038766836288394266,0.012244148665518633,267.9843592634003,925.5786666142192,1.2088076365023832,1.217878737732475,4.660852328093475,19.244230170288734,28.63648689763539,11.649192701418771,16.09718079722128,5.990853815680052,133.02105938186398,23.105118208732577,1.0115418446983726,0.9929289351022075,0.9210117098030558,0.9753685524647108,0.8537519808761325,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
3,MYOLEG_V3_K0003,-0.03,-0.0225,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742289386,119.49998211453203,101.17908469163817,0.0,0.0,0.0,1.2467964438656054e-09,1.788546796888113e-05,1.7886714772430423e-05,0.0,0.0,0.0,3.529714758737285,1.1655596274309121,0.03488580812429997,0.011519766411530529,267.8736300705626,912.4151569212122,1.2088076365023832,1.2183435693584845,4.660852328093475,19.23169443870321,28.582100930702534,11.64400928922534,16.542566855703566,5.992056509294046,160.99737786428645,23.60909642523437,1.0096207402865913,0.9924871225164483,0.9464947916179798,0.9755643625387722,1.0333087926545101,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
4,MYOLEG_V3_K0004,-0.03,-0.02,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422755316,119.49998412614971,101.1790867033944,0.0,0.0,0.0,1.1082512685334223e-09,1.5873850287562163e-05,1.5874958535277983e-05,0.0,0.0,0.0,3.136880825625255,1.0957908845856983,0.031003248157850178,0.01083020956562764,267.76470860722225,899.2297392330722,1.2088076365023832,1.218805799233494,4.660852328093475,19.21896131637431,28.53578196455092,11.639200141609663,16.09720206792273,6.001054515938097,145.30335060383544,24.23289518622897,1.0079845908303746,0.9920772106930993,0.9210129268214491,0.977029324459977,0.932581833150526,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
5,MYOLEG_V3_K0005,-0.03,-0.0175,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422616778,119.49998613167573,101.17908870905895,0.0,0.0,0.0,9.697131986285967e-10,1.386832427385798e-05,1.3869293994162035e-05,0.0,0.0,0.0,2.7445528219890605,1.030278894992876,0.027125688527071912,0.01018272418649918,267.65760324299015,886.0232721480745,1.2088076365023832,1.2192654079966614,4.660852328093475,19.20628859453298,28.465887304463088,11.634805081613619,16.087660631715263,5.988461346706665,154.01699293376635,23.469786708408773,1.0055156646086443,0.9917025939833035,0.9204670067261158,0.9749790355325364,0.9885074845804146,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
6,MYOLEG_V3_K0006,-0.03,-0.015,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.320897422478232,119.49998813111254,101.1790907086343,0.0,0.0,0.0,8.311680232964136e-10,1.1868887455079857e-05,1.1869718633761295e-05,0.0,0.0,0.0,2.6626661070912547,0.9699018024767364,0.026316364142776324,0.009585989376864121,267.55232811194224,872.7965354171358,1.2088076365023832,1.2197223808925894,4.660852328093475,19.19352214062332,28.40450123231412,11.63082692816114,16.223553991640394,5.976572490935488,123.24018981046099,22.736687381980026,1.0033472917603155,0.9913635126604611,0.9282422424864752,0.9730434156024282,0.7909766819115921,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
7,MYOLEG_V3_K0007,-0.03,-0.0125,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.3208974223397,119.4999901244627,101.179092702123,0.0,0.0,0.0,6.926370588189457e-10,9.875537301695658e-06,9.876229938754477e-06,0.0,0.0,0.0,2.6626661070912547,0.9156896677658068,0.026316364142776324,0.009050185704668591,267.4488983186394,859.5503488135087,1.2088076365023832,1.2201767039844738,4.660852328093475,19.180569673744735,28.391788849990814,11.627258691521574,16.83351829494726,5.9868892878683235,140.82080421526388,23.360129824124815,1.00289824552389,0.9910593709488826,0.9631417862627658,0.9747230892516358,0.9038120813804248,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
8,MYOLEG_V3_K0008,-0.03,-0.01,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742220117,119.49999211172863,101.17909468952746,0.0,0.0,0.0,5.541060943414777e-10,7.888271369438371e-06,7.888825479085426e-06,0.0,0.0,0.0,2.6626661070912547,0.8688090199501717,0.026316364142776324,0.008586842517973188,267.3473228414168,846.2855365964094,1.2088076365023832,1.2206283647556,4.660852328093475,19.16742190058873,28.356304303139876,11.624092181393147,16.853202118937624,6.009960354743097,157.96667849559367,24.571317873287892,1.0016448060182623,0.990789470741169,0.9642680103275384,0.978479280571572,1.0138572441441824,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
9,MYOLEG_V3_K0009,-0.03,-0.0075,True,all_preregistered_kinematic_gates_pass,True,24.0,401,28.90933692566648,112.02543857007235,83.11610164440587,18.32089742206264,119.49999409291286,101.17909667085021,0.0,0.0,0.0,4.155751298640098e-10,5.907087142986711e-06,5.9075027252220025e-06,0.0,0.0,0.0,2.6626661070912547,0.8305116971888328,0.026316364142776324,0.008208332313934943,267.2476097390795,833.0029443228134,1.2088076365023832,1.2210773497890821,4.660852328093475,19.154345201844986,28.297172258414612,11.621335656999447,16.86687724164785,5.993553428128197,146.64828316784107,23.2073933698788,0.9995560533784573,0.9905545160193292,0.9650504422519711,0.9758080753051566,0.9412138410897228,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
