smoke_rank,selection_role,candidate_id,candidate_index,beta_flex,beta_extend,subject_id,split,model_role,purpose,duration_s,sample_count,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,tendon_limit_active_count,source_equality_residual_max,algebraic_residual_max_nm,solver_warning_count,all_finite,smoke_integrity_pass,prescribed_replay_wall_time_s,total_candidate_wall_time_s,mechanical_objective_computed,ranking_computed
0,REFERENCE,MYOLEG_V3_K0312,312,0.0,0.0,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002605930679340417,0.00019833490095158603,1,0,0,2.6645352591003757e-15,7.105427357601002e-15,0,True,True,0.16859679197659716,0.1701553330058232,False,False
1,CORNER_NEG_NEG,MYOLEG_V3_K0000,0,-0.03,-0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.0024516919819504938,0.00018617605214779905,1,0,0,2.220446049250313e-15,8.881784197001252e-15,0,True,True,0.16846520802937448,0.16922508302377537,False,False
2,CORNER_NEG_POS,MYOLEG_V3_K0024,24,-0.03,0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.0024516919819504938,0.00018549130479167844,1,0,0,2.6645352591003757e-15,7.105427357601002e-15,0,True,True,0.21048766700550914,0.21122299996204674,False,False
3,CORNER_POS_NEG,MYOLEG_V3_K0600,600,0.03,-0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002597408265375811,0.00019887439438780747,1,0,0,2.4424906541753444e-15,1.0658141036401503e-14,0,True,True,0.16839887498645112,0.1691630840068683,False,False
4,CORNER_POS_POS,MYOLEG_V3_K0624,624,0.03,0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002597408265375811,0.00019887439438780747,1,0,0,2.6645352591003757e-15,1.0658141036401503e-14,0,True,True,0.16472791699925438,0.16544791602063924,False,False
5,FLEX_NEG_AXIS,MYOLEG_V3_K0012,12,-0.03,0.0,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.0024516919819504938,0.00018549130479167844,1,0,0,2.6645352591003757e-15,8.881784197001252e-15,0,True,True,0.1656013330211863,0.1663220000336878,False,False
6,FLEX_POS_AXIS,MYOLEG_V3_K0612,612,0.03,0.0,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002597408265375811,0.00019887439438780747,1,0,0,2.6645352591003757e-15,1.0658141036401503e-14,0,True,True,0.16548937500920147,0.16618429200025275,False,False
7,EXTEND_NEG_AXIS,MYOLEG_V3_K0300,300,0.0,-0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002606118419564935,0.0001983714403667151,1,0,0,2.220446049250313e-15,8.881784197001252e-15,0,True,True,0.16437154199229553,0.16502524999668822,False,False
8,EXTEND_POS_AXIS,MYOLEG_V3_K0324,324,0.0,0.03,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002606118419564935,0.0001983714403667151,1,0,0,2.6645352591003757e-15,7.105427357601002e-15,0,True,True,0.1657012919895351,0.16634170804172754,False,False
9,INTERIOR_NEG_NEG,MYOLEG_V3_K0156,156,-0.015,-0.015,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.0025506543898847944,0.00019356186446351008,1,0,0,2.4424906541753444e-15,7.105427357601002e-15,0,True,True,0.16677908296696842,0.16745245800120756,False,False
10,INTERIOR_NEG_POS,MYOLEG_V3_K0168,168,-0.015,0.015,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.0025506543898847944,0.00019356186446351008,1,0,0,2.4424906541753444e-15,7.105427357601002e-15,0,True,True,0.18908695899881423,0.18979779200162739,False,False
11,INTERIOR_POS_NEG,MYOLEG_V3_K0456,456,0.015,-0.015,SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UNMODIFIED_NOMINAL_MYOLEG_V2,SIMULATOR_ARTIFACT_INTEGRITY_ONLY_NOT_SAFETY_OR_RANKING,24.0,401,0.002620779103685974,0.00020007410077640202,1,0,0,2.6645352591003757e-15,8.881784197001252e-15,0,True,True,0.16419233300257474,0.16487283300375566,False,False
