smoke_rank,selection_role,candidate_id,candidate_index,beta_flex,beta_extend
0,REFERENCE,MYOLEG_V3_K0312,312,0.0,0.0
1,CORNER_NEG_NEG,MYOLEG_V3_K0000,0,-0.03,-0.03
2,CORNER_NEG_POS,MYOLEG_V3_K0024,24,-0.03,0.03
3,CORNER_POS_NEG,MYOLEG_V3_K0600,600,0.03,-0.03
4,CORNER_POS_POS,MYOLEG_V3_K0624,624,0.03,0.03
5,FLEX_NEG_AXIS,MYOLEG_V3_K0012,12,-0.03,0.0
6,FLEX_POS_AXIS,MYOLEG_V3_K0612,612,0.03,0.0
7,EXTEND_NEG_AXIS,MYOLEG_V3_K0300,300,0.0,-0.03
8,EXTEND_POS_AXIS,MYOLEG_V3_K0324,324,0.0,0.03
9,INTERIOR_NEG_NEG,MYOLEG_V3_K0156,156,-0.015,-0.015
10,INTERIOR_NEG_POS,MYOLEG_V3_K0168,168,-0.015,0.015
11,INTERIOR_POS_NEG,MYOLEG_V3_K0456,456,0.015,-0.015
12,INTERIOR_POS_POS,MYOLEG_V3_K0468,468,0.015,0.015
