category,object_type,object_id,object_name,field,current_value,unit_or_normalization,xml_or_runtime_source,target_leg,structural_group,spans_hip,spans_knee,hip_contractile_action,knee_contractile_action,hip_moment_arm_max_abs_m,knee_moment_arm_max_abs_m,taxonomy_family,taxonomy_class,interpretation,notes
BODY_ANTHROPOMETRY,body,1,root,body_mass,0.0,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,1,root,body_inertia,"[0.0,0.0,0.0]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,1,root,body_ipos,"[0.0,0.0,1.0]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,1,root,body_pos,"[0.0,0.0,1.0]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,2,torso,body_mass,37.4,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,2,torso,body_inertia,"[0.910036,0.839113,0.34246]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,2,torso,body_ipos,"[-0.07,0.0,0.287572]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,2,torso,body_pos,"[0.0,0.0,0.0]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,3,pelvis,body_mass,10.96,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,3,pelvis,body_inertia,"[0.0622075,0.0532711,0.0299242]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,3,pelvis,body_ipos,"[-0.07,-0.03,0.0]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,3,pelvis,body_pos,"[0.0,0.0,0.0]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,4,femur_r,body_mass,8.4,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
