sample_index_zero_based,subject_id,u_1_FEMUR_MASS_INERTIA_SCALE,u_2_TIBIA_PATELLA_MASS_INERTIA_SCALE,u_3_FOOT_COMPLEX_MASS_INERTIA_SCALE,u_4_HIP_ONLY_PASSIVE_FP_MAX_SCALE,u_5_KNEE_ONLY_PASSIVE_FP_MAX_SCALE,u_6_HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE
0,MYOLEG_VP_001,0.828125,0.109375,0.359375,0.578125,0.890625,0.953125
1,MYOLEG_VP_002,0.453125,0.953125,0.671875,0.390625,0.234375,0.484375
2,MYOLEG_VP_003,0.765625,0.515625,0.203125,0.515625,0.078125,0.234375
3,MYOLEG_VP_004,0.515625,0.421875,0.640625,0.296875,0.734375,0.921875
4,MYOLEG_VP_005,0.703125,0.390625,0.890625,0.109375,0.671875,0.015625
5,MYOLEG_VP_006,0.921875,0.703125,0.328125,0.765625,0.328125,0.296875
6,MYOLEG_VP_007,0.578125,0.328125,0.859375,0.921875,0.453125,0.078125
7,MYOLEG_VP_008,0.890625,0.078125,0.234375,0.828125,0.390625,0.765625
8,MYOLEG_VP_009,0.359375,0.015625,0.515625,0.359375,0.046875,0.390625
9,MYOLEG_VP_010,0.734375,0.734375,0.796875,0.265625,0.484375,0.546875
10,MYOLEG_VP_011,0.859375,0.453125,0.921875,0.859375,0.953125,0.046875
11,MYOLEG_VP_012,0.203125,0.140625,0.546875,0.484375,0.015625,0.796875
12,MYOLEG_VP_013,0.140625,0.609375,0.609375,0.453125,0.109375,0.140625
13,MYOLEG_VP_014,0.390625,0.796875,0.703125,0.890625,0.828125,0.859375
14,MYOLEG_VP_015,0.984375,0.671875,0.140625,0.234375,0.921875,0.171875
15,MYOLEG_VP_016,0.171875,0.359375,0.984375,0.546875,0.296875,0.359375
16,MYOLEG_VP_017,0.671875,0.484375,0.390625,0.953125,0.578125,0.203125
17,MYOLEG_VP_018,0.421875,0.765625,0.296875,0.609375,0.859375,0.265625
18,MYOLEG_VP_019,0.609375,0.984375,0.421875,0.984375,0.421875,0.609375
19,MYOLEG_VP_020,0.234375,0.546875,0.453125,0.015625,0.640625,0.578125
20,MYOLEG_VP_021,0.640625,0.859375,0.765625,0.671875,0.140625,0.109375
21,MYOLEG_VP_022,0.484375,0.890625,0.078125,0.734375,0.203125,0.640625
22,MYOLEG_VP_023,0.265625,0.296875,0.734375,0.046875,0.984375,0.890625
23,MYOLEG_VP_024,0.078125,0.171875,0.015625,0.640625,0.515625,0.828125
24,MYOLEG_VP_025,0.546875,0.203125,0.171875,0.421875,0.265625,0.734375
25,MYOLEG_VP_026,0.296875,0.265625,0.109375,0.171875,0.609375,0.984375
26,MYOLEG_VP_027,0.796875,0.921875,0.953125,0.703125,0.703125,0.421875
27,MYOLEG_VP_028,0.109375,0.578125,0.046875,0.203125,0.171875,0.515625
28,MYOLEG_VP_029,0.953125,0.828125,0.484375,0.078125,0.796875,0.328125
29,MYOLEG_VP_030,0.046875,0.234375,0.265625,0.328125,0.546875,0.671875
30,MYOLEG_VP_031,0.328125,0.640625,0.578125,0.796875,0.765625,0.453125
31,MYOLEG_VP_032,0.015625,0.046875,0.828125,0.140625,0.359375,0.703125
