subject_id,split,subject_integrity,full_24s_401_samples,all_finite,no_solver_warning,equality_residual_pass,algebraic_residual_pass,tracking_pass,native_knee_rom_pass,no_force_explosion,no_new_contact_or_limit_mode,structure_pass,normalization_pass,warning_count,source_equality_residual_max,algebraic_residual_max_nm,tracking_q_max_abs_deg,peak_force_ratio_vs_nominal,replacement_sample
MYOLEG_VP_001,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005872021298259453,1.0658141036401503e-14,0.6005951304787029,1.0078125,False
MYOLEG_VP_002,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.000553176897664669,8.881784197001252e-15,0.6634619405423163,0.9890624999999998,False
MYOLEG_VP_003,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005443737699289998,7.105427357601002e-15,0.6163279634859725,1.0015625,False
MYOLEG_VP_004,HELD_OUT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005793198195162656,1.0658141036401503e-14,0.6245012274952753,0.9796875,False
MYOLEG_VP_005,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005761378009906792,7.105427357601002e-15,0.6434611268645121,0.9609375,False
MYOLEG_VP_006,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.000557815284944899,7.105427357601002e-15,0.646322035122849,1.0265625,False
MYOLEG_VP_007,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005645258989709634,1.0658141036401503e-14,0.6372655863353395,1.0421874999999998,False
MYOLEG_VP_008,HELD_OUT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.00056073338161991,1.0658141036401503e-14,0.5952731578171633,1.0328125,False
MYOLEG_VP_009,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005426170446530612,7.105427357601002e-15,0.5807521517691916,0.9859375,False
MYOLEG_VP_010,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005663774627861409,7.993605777301127e-15,0.6666102432026834,0.9765624999999999,False
MYOLEG_VP_011,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005910077442023709,7.105427357601002e-15,0.6625514819845816,1.0359375,False
MYOLEG_VP_012,HELD_OUT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.0005410455931753565,9.769962616701378e-15,0.5861616555626709,0.9984375,False
MYOLEG_VP_013,DEVELOPMENT,PASS,True,True,True,True,True,True,True,True,True,True,True,0,0.000546309181983411,1.0658141036401503e-14,0.620057001201864,0.9953124999999998,False
