sample_index_zero_based,subject_id,split,FEMUR_MASS_INERTIA_SCALE,TIBIA_PATELLA_MASS_INERTIA_SCALE,FOOT_COMPLEX_MASS_INERTIA_SCALE,HIP_ONLY_PASSIVE_FP_MAX_SCALE,KNEE_ONLY_PASSIVE_FP_MAX_SCALE,HIP_KNEE_BIARTICULAR_PASSIVE_FP_MAX_SCALE
0,MYOLEG_VP_001,DEVELOPMENT,1.0787500000000001,0.8984375,0.94937499999999997,1.0078125,1.0390625,1.0453125000000001
1,MYOLEG_VP_002,DEVELOPMENT,0.98875000000000002,1.1178124999999999,1.0618749999999999,0.98906249999999996,0.97343749999999996,0.99843749999999998
2,MYOLEG_VP_003,DEVELOPMENT,1.0637500000000002,1.0040624999999999,0.89312499999999995,1.0015624999999999,0.95781249999999996,0.97343749999999996
3,MYOLEG_VP_004,HELD_OUT,1.0037500000000001,0.97968749999999993,1.0506249999999999,0.97968749999999993,1.0234375,1.0421875
4,MYOLEG_VP_005,DEVELOPMENT,1.0487500000000001,0.9715625,1.140625,0.9609375,1.0171874999999999,0.95156249999999998
5,MYOLEG_VP_006,DEVELOPMENT,1.1012500000000001,1.0528124999999999,0.93812499999999999,1.0265625,0.98281249999999998,0.97968749999999993
6,MYOLEG_VP_007,DEVELOPMENT,1.01875,0.95531250000000001,1.129375,1.0421875,0.99531250000000004,0.95781249999999996
7,MYOLEG_VP_008,HELD_OUT,1.09375,0.89031249999999995,0.90437499999999993,1.0328124999999999,0.98906249999999996,1.0265625
8,MYOLEG_VP_009,DEVELOPMENT,0.96625000000000005,0.87406249999999996,1.005625,0.98593750000000002,0.95468749999999991,0.98906249999999996
9,MYOLEG_VP_010,DEVELOPMENT,1.0562500000000001,1.0609374999999999,1.1068750000000001,0.9765625,0.99843749999999998,1.0046875
10,MYOLEG_VP_011,DEVELOPMENT,1.0862500000000002,0.98781249999999998,1.151875,1.0359375,1.0453125000000001,0.95468749999999991
11,MYOLEG_VP_012,HELD_OUT,0.92875000000000008,0.90656249999999994,1.016875,0.99843749999999998,0.95156249999999998,1.0296875000000001
12,MYOLEG_VP_013,DEVELOPMENT,0.91375000000000006,1.0284374999999999,1.0393749999999999,0.99531250000000004,0.9609375,0.96406249999999993
13,MYOLEG_VP_014,DEVELOPMENT,0.97375,1.0771875,1.0731249999999999,1.0390625,1.0328124999999999,1.0359375
14,MYOLEG_VP_015,DEVELOPMENT,1.1162500000000002,1.0446875,0.87062499999999998,0.97343749999999996,1.0421875,0.96718749999999998
15,MYOLEG_VP_016,HELD_OUT,0.92125000000000001,0.96343749999999995,1.1743749999999999,1.0046875,0.97968749999999993,0.98593750000000002
16,MYOLEG_VP_017,DEVELOPMENT,1.04125,0.99593749999999992,0.96062499999999995,1.0453125000000001,1.0078125,0.97031250000000002
17,MYOLEG_VP_018,DEVELOPMENT,0.98125000000000007,1.0690624999999998,0.92687499999999989,1.0109375,1.0359375,0.9765625
18,MYOLEG_VP_019,DEVELOPMENT,1.0262500000000001,1.1259374999999998,0.97187499999999993,1.0484375000000001,0.9921875,1.0109375
19,MYOLEG_VP_020,HELD_OUT,0.93625000000000003,1.0121875,0.98312499999999992,0.95156249999999998,1.0140625000000001,1.0078125
20,MYOLEG_VP_021,DEVELOPMENT,1.0337499999999999,1.0934374999999998,1.0956250000000001,1.0171874999999999,0.96406249999999993,0.9609375
21,MYOLEG_VP_022,DEVELOPMENT,0.99625000000000008,1.1015625,0.84812499999999991,1.0234375,0.97031250000000002,1.0140625000000001
22,MYOLEG_VP_023,DEVELOPMENT,0.94375000000000009,0.94718749999999996,1.0843749999999999,0.95468749999999991,1.0484375000000001,1.0390625
23,MYOLEG_VP_024,HELD_OUT,0.89875000000000005,0.91468749999999999,0.82562499999999994,1.0140625000000001,1.0015624999999999,1.0328124999999999
24,MYOLEG_VP_025,DEVELOPMENT,1.01125,0.92281249999999992,0.88187499999999996,0.9921875,0.9765625,1.0234375
25,MYOLEG_VP_026,DEVELOPMENT,0.95125000000000004,0.93906249999999991,0.859375,0.96718749999999998,1.0109375,1.0484375000000001
26,MYOLEG_VP_027,DEVELOPMENT,1.07125,1.1096874999999999,1.163125,1.0203125,1.0203125,0.9921875
27,MYOLEG_VP_028,HELD_OUT,0.90625,1.0203125,0.83687499999999992,0.97031250000000002,0.96718749999999998,1.0015624999999999
28,MYOLEG_VP_029,DEVELOPMENT,1.1087500000000001,1.0853124999999999,0.99437500000000001,0.95781249999999996,1.0296875000000001,0.98281249999999998
29,MYOLEG_VP_030,DEVELOPMENT,0.89124999999999999,0.93093749999999997,0.91562499999999991,0.98281249999999998,1.0046875,1.0171874999999999
30,MYOLEG_VP_031,DEVELOPMENT,0.95874999999999999,1.0365625000000001,1.028125,1.0296875000000001,1.0265625,0.99531250000000004
31,MYOLEG_VP_032,HELD_OUT,0.88375000000000004,0.88218750000000001,1.118125,0.96406249999999993,0.98593750000000002,1.0203125
