subject_id,split,subject_reference_tau_hip_rms_nm,subject_reference_tau_knee_rms_nm,hip_reference_ratio,knee_reference_ratio,j_truth_reference,subject_specific_reference_normalization,nominal_denominator_used,objective_formula
MYOLEG_VP_001,DEVELOPMENT,35.014797547421495,10.222359698797423,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_002,DEVELOPMENT,37.70943345870379,12.13350307179609,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_003,DEVELOPMENT,35.668807467203116,10.528724480402136,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_004,HELD_OUT,35.998054222569614,11.241253361640053,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_005,DEVELOPMENT,36.70935738059085,11.64919305250103,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_006,DEVELOPMENT,37.09121586402316,11.043750922842388,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_007,DEVELOPMENT,36.89040352216734,11.513219298567773,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_008,HELD_OUT,34.87818166489607,9.948253724170671,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_009,DEVELOPMENT,34.12053523756781,10.405134831603377,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_010,DEVELOPMENT,37.75270436673844,12.029059855109079,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_011,DEVELOPMENT,37.8916773030651,11.785131854548197,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_012,HELD_OUT,34.45944496604681,10.67817559353589,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_013,DEVELOPMENT,35.941471770130825,11.474031230765103,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_014,DEVELOPMENT,37.63182979154063,11.921872381985041,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_015,DEVELOPMENT,36.14206520187333,10.584323815253665,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_016,HELD_OUT,36.33562997372496,11.840393356152541,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_017,DEVELOPMENT,36.28485396471866,10.815781666129,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_018,DEVELOPMENT,36.19696447970777,11.036924047268874,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_019,DEVELOPMENT,37.89186431548028,11.666085437753384,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_020,HELD_OUT,35.132723343589596,11.047618547232336,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_021,DEVELOPMENT,38.21151828705559,12.169674648661305,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_022,DEVELOPMENT,36.222897472148134,10.857623775411543,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_023,DEVELOPMENT,35.21745209420148,11.220071334067333,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_024,HELD_OUT,33.006220123900164,9.663573704815942,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_025,DEVELOPMENT,34.161127851170896,10.015957413498562,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_026,DEVELOPMENT,33.55623310024567,9.983943911455157,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_027,DEVELOPMENT,39.2425112858636,12.6052792874792,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_028,HELD_OUT,34.045463650291126,10.322847877690794,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_029,DEVELOPMENT,37.40696152794813,11.50870099422878,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_030,DEVELOPMENT,33.56947818274504,10.226229440688524,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_031,DEVELOPMENT,36.583411552198214,11.42055530057063,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
MYOLEG_VP_032,HELD_OUT,34.32547516453764,11.064121594759133,1.0,1.0,1.0,PASS,False,sqrt(((hip_rms/subject_hip_reference_rms)^2 + (knee_rms/subject_knee_reference_rms)^2)/2)
