[07:09:48][RunControl][INFO] 等待反馈稳定 2s...
[07:09:52][RunControl][INFO] 已将当前末端姿态锁定为夹爪向下姿态: rx=-177.40, ry=0.14, rz=-149.99
[07:09:52][ComfortNet][INFO] 舒适度模型已加载: models/comfort_net.pth  [mode=pinn_force, dim=12]
[07:09:52][MPC][INFO] MPC初始化: horizon=20, dt=0.02s, dim=3
[07:09:52][RunControl][INFO] === 控制循环启动 ===
[07:09:52][RunControl][INFO] [Step    0] pos=(77.2,-666.6,265.5)mm  |u|=166.7mm/s²  F=0.6N  comfort=1.000  pinn_ready=False pinn_busy=False
[07:09:52][RunControl][WARNING] 控制循环超时: 128.6ms > 20ms
[07:09:52][RunControl][WARNING] 控制循环超时: 99.5ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 99.4ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 91.2ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 61.8ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 43.3ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 55.5ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 37.2ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 33.1ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 31.3ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 37.6ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 32.4ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 37.7ms > 20ms
[07:09:53][RunControl][WARNING] 控制循环超时: 32.0ms > 20ms
[07:09:54][RunControl][INFO] [Step   50] pos=(77.2,-666.6,265.5)mm  |u|=707.1mm/s²  F=0.6N  comfort=1.000  pinn_ready=False pinn_busy=False
[07:09:54][RunControl][WARNING] 控制循环超时: 37.3ms > 20ms
[07:09:54][RunControl][WARNING] 控制循环超时: 57.2ms > 20ms
[07:09:54][RunControl][WARNING] 控制循环超时: 55.6ms > 20ms
[07:09:54][RunControl][WARNING] 控制循环超时: 55.3ms > 20ms
[07:09:54][RunControl][WARNING] 控制循环超时: 44.8ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 82.4ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 85.7ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 30.9ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 37.9ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 43.5ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 61.7ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 57.4ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 43.4ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 37.6ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 43.5ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 32.0ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 43.8ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 43.1ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 60.8ms > 20ms
[07:09:55][RunControl][INFO] [Step 100] PINN后台更新已启动 (101帧, epochs=300)
[07:09:55][RunControl][INFO] [Step  100] pos=(77.2,-666.8,265.4)mm  |u|=707.1mm/s²  F=0.6N  comfort=1.000  pinn_ready=False pinn_busy=True
[07:09:55][RunControl][WARNING] 控制循环超时: 32.6ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 31.4ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 37.4ms > 20ms
[07:09:55][RunControl][WARNING] 控制循环超时: 36.4ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 55.6ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 31.4ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 31.0ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 37.5ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 49.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 37.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 44.4ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 31.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 30.6ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 31.0ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 55.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 39.3ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 31.8ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 32.1ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 33.1ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 44.1ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 38.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 37.4ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 30.9ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 44.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 36.9ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 43.1ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 36.6ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 43.2ms > 20ms
[07:09:56][RunControl][WARNING] 控制循环超时: 43.8ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 42.8ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 43.2ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 43.3ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 43.7ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 42.7ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 43.5ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 50.8ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 43.3ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 50.6ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.0ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 50.6ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.4ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 50.7ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.5ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.0ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.6ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 48.9ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.1ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.4ms > 20ms
[07:09:57][RunControl][WARNING] 控制循环超时: 49.8ms > 20ms
[07:09:58][RunControl][INFO] [Step  150] pos=(76.4,-666.8,266.1)mm  |u|=172.3mm/s²  F=0.4N  comfort=1.000  pinn_ready=False pinn_busy=True
