[09:48:57][SafetyGuard][INFO] 安全守卫已启动，力阈值=30.0N
[09:48:57][ComfortNet][INFO] 舒适度模型已加载: models/comfort_net.pth  [mode=pinn_force, dim=12]
[09:49:03][PINN][INFO] PINN辨识完成 | M=(0.000882,0.000943,0.001038) | B=(0.000428,0.000425,0.000593) | K=(0.009299,0.008503,0.011500)
[09:49:08][PINN][INFO] PINN辨识完成 | M=(0.001166,0.001182,0.001173) | B=(0.000588,0.000553,0.000583) | K=(0.008506,0.008655,0.008547)
[09:49:28][PINN][INFO] PINN辨识完成 | M=(0.001148,0.001150,0.001161) | B=(0.000456,0.000425,0.000452) | K=(0.008730,0.008522,0.008569)
[09:49:33][PINN][INFO] PINN辨识完成 | M=(0.001176,0.001173,0.001174) | B=(0.000567,0.000585,0.000610) | K=(0.008567,0.008525,0.008517)
[09:49:39][PINN][INFO] PINN辨识完成 | M=(0.001195,0.001190,0.000853) | B=(0.000491,0.000427,0.000420) | K=(0.008483,0.008563,0.011920)
[09:49:41][PINN][INFO] PINN辨识完成 | M=(0.001094,0.001126,0.000938) | B=(0.000577,0.000585,0.000437) | K=(0.008726,0.008714,0.011795)
[09:49:45][PINN][INFO] PINN辨识完成 | M=(0.001154,0.001177,0.000855) | B=(0.000432,0.000423,0.000570) | K=(0.008571,0.008502,0.011854)
[09:49:47][PINN][INFO] PINN辨识完成 | M=(0.001156,0.001165,0.001124) | B=(0.000568,0.000570,0.000586) | K=(0.008546,0.008537,0.008535)
[09:49:51][PINN][INFO] PINN辨识完成 | M=(0.001127,0.001178,0.000983) | B=(0.000582,0.000565,0.000431) | K=(0.008655,0.008526,0.011781)
[09:49:53][PINN][INFO] PINN辨识完成 | M=(0.001111,0.001165,0.001145) | B=(0.000444,0.000443,0.000422) | K=(0.008544,0.008570,0.008448)
[09:49:56][PINN][INFO] PINN辨识完成 | M=(0.001143,0.001173,0.000828) | B=(0.000442,0.000427,0.000489) | K=(0.008543,0.008535,0.011688)
[09:50:00][PINN][INFO] PINN辨识完成 | M=(0.001158,0.001161,0.001151) | B=(0.000505,0.000550,0.000499) | K=(0.008515,0.008552,0.008816)
[09:50:03][PINN][INFO] PINN辨识完成 | M=(0.000988,0.001187,0.001198) | B=(0.000586,0.000591,0.000550) | K=(0.008617,0.008505,0.008684)
[09:50:06][PINN][INFO] PINN辨识完成 | M=(0.001125,0.001158,0.001056) | B=(0.000499,0.000441,0.000412) | K=(0.008981,0.008506,0.009001)
[09:50:09][PINN][INFO] PINN辨识完成 | M=(0.001131,0.001161,0.001166) | B=(0.000547,0.000599,0.000578) | K=(0.008714,0.008589,0.008567)
[09:50:12][PINN][INFO] PINN辨识完成 | M=(0.001110,0.001156,0.001155) | B=(0.000556,0.000586,0.000582) | K=(0.008546,0.008518,0.008629)
[09:50:15][PINN][INFO] PINN辨识完成 | M=(0.000951,0.001157,0.001191) | B=(0.000543,0.000490,0.000527) | K=(0.011514,0.008959,0.008512)
[09:50:18][PINN][INFO] PINN辨识完成 | M=(0.001038,0.000937,0.000881) | B=(0.000530,0.000551,0.000555) | K=(0.008701,0.008980,0.010772)
[09:50:22][SafetyGuard][INFO] 安全守卫已停止
