best_proportional_scale_b_from_a,leg_a,leg_b,proportional_scaling_nrmse_by_leg_b_range,proportional_scaling_rmse_nm,spearman_rank_correlation
3.0584093252441162,LEG_0_NOMINAL,LEG_1_HEAVY_HIP_STIFF,0.9543452102273129,0.034169061810509785,0.9994026542147949
5.457337419520929,LEG_0_NOMINAL,LEG_2_KNEE_DOMINANT,0.19301750372716964,0.7349354932829506,0.9926468419759156
9.92419436503457,LEG_0_NOMINAL,LEG_3_NONLINEAR_COUPLED,0.18360053091945674,0.8575387754471673,0.9938123371835832
5.0931011669605555,LEG_0_NOMINAL,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.12257250508360652,0.09427464598879805,0.9951078397640699
1.7843683836233948,LEG_1_HEAVY_HIP_STIFF,LEG_2_KNEE_DOMINANT,0.20893034738014976,0.7955254054609061,0.991982157778324
3.2448841673029203,LEG_1_HEAVY_HIP_STIFF,LEG_3_NONLINEAR_COUPLED,0.2072077273278623,0.967800364552733,0.9932606537232735
1.6652772765409636,LEG_1_HEAVY_HIP_STIFF,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.1959930296159076,0.1507448466579715,0.9939794544114033
1.8184934232567889,LEG_2_KNEE_DOMINANT,LEG_3_NONLINEAR_COUPLED,0.10256632398349937,0.47905416956289765,0.9998579503563529
0.9332434462833993,LEG_2_KNEE_DOMINANT,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.7693152299006741,0.5917062795053942,0.9994477267141805
0.5131975628421495,LEG_3_NONLINEAR_COUPLED,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.44982128864914256,0.3459727180797788,0.9995957729171788
