differs_from_primary_oracle,leg_id,mechanical_meaning,metric,oracle_beta,oracle_candidate_index,oracle_value,reference_value,relative_range_by_reference,spearman_vs_primary
False,LEG_0_NOMINAL,unchanged primary vector RMS,full_rms_nm,"[-0.03,0.03]",24,32.18108482537364,32.213792487735084,0.001988317707023171,1.0
True,LEG_0_NOMINAL,maximum instantaneous joint-torque-vector norm,full_peak_nm,"[0.03,-0.03]",600,36.87154313084295,36.87201288128553,1.2740027079313003e-05,-0.7733242071942836
True,LEG_0_NOMINAL,branch-only vector RMS during flexion,flexion_rms_nm,"[-0.03,-0.03]",0,31.778180380460434,31.81102590933878,0.0019811083716977074,0.7752449287490111
False,LEG_0_NOMINAL,branch-only vector RMS during extension,extension_rms_nm,"[-0.03,0.03]",24,32.72374469734632,32.756424834308426,0.0020043889541682524,0.6167080718387093
True,LEG_0_NOMINAL,full-cycle hip required-torque RMS,hip_rms_nm,"[0.03,-0.03]",600,30.06789115838307,30.08518646988952,0.0010541052563738521,-0.8545801916932909
False,LEG_0_NOMINAL,full-cycle knee required-torque RMS,knee_rms_nm,"[-0.03,0.03]",24,11.385782927144344,11.515640734011903,0.02275119882501765,0.9813546325878595
False,LEG_0_NOMINAL,time integral of squared joint-torque-vector norm,integrated_squared_load_nm2_s,"[-0.03,0.03]",24,24854.933292909445,24905.48223462858,0.003976551220111213,1.0
False,LEG_1_HEAVY_HIP_STIFF,unchanged primary vector RMS,full_rms_nm,"[-0.03,0.03]",24,98.50488900531508,98.52206905582267,0.00036340762248128125,1.0
True,LEG_1_HEAVY_HIP_STIFF,maximum instantaneous joint-torque-vector norm,full_peak_nm,"[0.03,-0.03]",600,147.14385897914423,147.1438589791556,1.543315908148756e-13,-0.7807569805016269
True,LEG_1_HEAVY_HIP_STIFF,branch-only vector RMS during flexion,flexion_rms_nm,"[-0.03,-0.03]",0,102.39654810432152,102.41342495055777,0.0003287081174814055,0.7807569805016269
False,LEG_1_HEAVY_HIP_STIFF,branch-only vector RMS during extension,extension_rms_nm,"[-0.03,0.03]",24,92.82041282292927,92.8382295211754,0.00042349037711123953,0.609490584037801
True,LEG_1_HEAVY_HIP_STIFF,full-cycle hip required-torque RMS,hip_rms_nm,"[0.03,-0.03]",600,96.97278009437092,96.99051658595238,0.0003605244800843755,-0.9662998279675596
False,LEG_1_HEAVY_HIP_STIFF,full-cycle knee required-torque RMS,knee_rms_nm,"[-0.03,0.03]",24,17.108771821416457,17.304270670282154,0.023100734437750743,0.9918626198083067
False,LEG_1_HEAVY_HIP_STIFF,time integral of squared joint-torque-vector norm,integrated_squared_load_nm2_s,"[-0.03,0.03]",24,232877.11579078663,232958.35418496697,0.0007268205697014596,1.0
False,LEG_2_KNEE_DOMINANT,unchanged primary vector RMS,full_rms_nm,"[-0.03,0.03]",24,173.91565431425246,175.78628336733587,0.02166045340745775,1.0
True,LEG_2_KNEE_DOMINANT,maximum instantaneous joint-torque-vector norm,full_peak_nm,"[-0.03,0.0]",12,275.53376655225316,275.53410575327854,3.75816739856308e-05,-0.36227161831567634
True,LEG_2_KNEE_DOMINANT,branch-only vector RMS during flexion,flexion_rms_nm,"[-0.03,-0.03]",0,175.38842660027188,177.07919828636452,0.01879206473883025,0.6981894670659372
False,LEG_2_KNEE_DOMINANT,branch-only vector RMS during extension,extension_rms_nm,"[-0.03,0.03]",24,171.31160655329492,173.44057555245425,0.025856787456846143,0.7013155218239501
True,LEG_2_KNEE_DOMINANT,full-cycle hip required-torque RMS,hip_rms_nm,"[0.03,-0.03]",600,28.149166179745432,28.301657011062137,0.010859611857593517,-0.9632307200786435
False,LEG_2_KNEE_DOMINANT,full-cycle knee required-torque RMS,knee_rms_nm,"[-0.03,0.03]",24,171.5717977595929,173.49303625946922,0.022525792516188973,0.9999843696239863
False,LEG_2_KNEE_DOMINANT,time integral of squared joint-torque-vector norm,integrated_squared_load_nm2_s,"[-0.03,0.03]",24,725919.7155733095,741619.6180824314,0.04332908279477855,1.0
False,LEG_3_NONLINEAR_COUPLED,unchanged primary vector RMS,full_rms_nm,"[-0.03,0.03]",24,317.3969848166098,319.6692313462276,0.014610968256553883,1.0
True,LEG_3_NONLINEAR_COUPLED,maximum instantaneous joint-torque-vector norm,full_peak_nm,"[-0.03,-0.03]",0,523.6067322553112,523.607980925324,4.363804620933227e-06,-0.6941526117151221
True,LEG_3_NONLINEAR_COUPLED,branch-only vector RMS during flexion,flexion_rms_nm,"[-0.03,-0.03]",0,322.15795071875436,324.2213071445334,0.01263961214061169,0.7053181646602615
False,LEG_3_NONLINEAR_COUPLED,branch-only vector RMS during extension,extension_rms_nm,"[-0.03,0.03]",24,309.64203549175085,312.22216265359845,0.01760801299758877,0.6941668279864257
True,LEG_3_NONLINEAR_COUPLED,full-cycle hip required-torque RMS,hip_rms_nm,"[0.03,-0.03]",600,181.58181135071305,181.68668546207294,0.0011845610984358127,-0.9963350208896536
False,LEG_3_NONLINEAR_COUPLED,full-cycle knee required-torque RMS,knee_rms_nm,"[-0.03,0.03]",24,260.17433719280876,263.01780509177274,0.022146626565722537,0.9999927254853773
