absolute_regret,endpoint_id,relative_regret,source_leg,source_oracle_beta,source_oracle_candidate_index,target_leg,target_oracle_candidate_index,target_oracle_value,transferred_value
0.0,E2,0.0,LEG_0_NOMINAL,"[0.0,0.0]",312,LEG_0_NOMINAL,312,1.0,1.0
0.0,E2,0.0,LEG_0_NOMINAL,"[0.0,0.0]",312,LEG_1_HEAVY_HIP_STIFF,312,1.0,1.0
0.0,E2,0.0,LEG_0_NOMINAL,"[0.0,0.0]",312,LEG_2_KNEE_DOMINANT,312,1.0,1.0
0.0,E2,0.0,LEG_0_NOMINAL,"[0.0,0.0]",312,LEG_3_NONLINEAR_COUPLED,312,1.0,1.0
0.000706341099768748,E2,0.0007068403701731008,LEG_0_NOMINAL,"[0.0,0.0]",312,LEG_4_STRONG_STRUCTURAL_MISMATCH,21,0.9992936589002313,1.0
0.0,E2,0.0,LEG_1_HEAVY_HIP_STIFF,"[0.0,0.0]",312,LEG_0_NOMINAL,312,1.0,1.0
0.0,E2,0.0,LEG_1_HEAVY_HIP_STIFF,"[0.0,0.0]",312,LEG_1_HEAVY_HIP_STIFF,312,1.0,1.0
0.0,E2,0.0,LEG_1_HEAVY_HIP_STIFF,"[0.0,0.0]",312,LEG_2_KNEE_DOMINANT,312,1.0,1.0
0.0,E2,0.0,LEG_1_HEAVY_HIP_STIFF,"[0.0,0.0]",312,LEG_3_NONLINEAR_COUPLED,312,1.0,1.0
0.000706341099768748,E2,0.0007068403701731008,LEG_1_HEAVY_HIP_STIFF,"[0.0,0.0]",312,LEG_4_STRONG_STRUCTURAL_MISMATCH,21,0.9992936589002313,1.0
0.0,E2,0.0,LEG_2_KNEE_DOMINANT,"[0.0,0.0]",312,LEG_0_NOMINAL,312,1.0,1.0
0.0,E2,0.0,LEG_2_KNEE_DOMINANT,"[0.0,0.0]",312,LEG_1_HEAVY_HIP_STIFF,312,1.0,1.0
0.0,E2,0.0,LEG_2_KNEE_DOMINANT,"[0.0,0.0]",312,LEG_2_KNEE_DOMINANT,312,1.0,1.0
0.0,E2,0.0,LEG_2_KNEE_DOMINANT,"[0.0,0.0]",312,LEG_3_NONLINEAR_COUPLED,312,1.0,1.0
0.000706341099768748,E2,0.0007068403701731008,LEG_2_KNEE_DOMINANT,"[0.0,0.0]",312,LEG_4_STRONG_STRUCTURAL_MISMATCH,21,0.9992936589002313,1.0
0.0,E2,0.0,LEG_3_NONLINEAR_COUPLED,"[0.0,0.0]",312,LEG_0_NOMINAL,312,1.0,1.0
0.0,E2,0.0,LEG_3_NONLINEAR_COUPLED,"[0.0,0.0]",312,LEG_1_HEAVY_HIP_STIFF,312,1.0,1.0
0.0,E2,0.0,LEG_3_NONLINEAR_COUPLED,"[0.0,0.0]",312,LEG_2_KNEE_DOMINANT,312,1.0,1.0
0.0,E2,0.0,LEG_3_NONLINEAR_COUPLED,"[0.0,0.0]",312,LEG_3_NONLINEAR_COUPLED,312,1.0,1.0
0.000706341099768748,E2,0.0007068403701731008,LEG_3_NONLINEAR_COUPLED,"[0.0,0.0]",312,LEG_4_STRONG_STRUCTURAL_MISMATCH,21,0.9992936589002313,1.0
0.0005768252197093648,E2,0.0005768252197093648,LEG_4_STRONG_STRUCTURAL_MISMATCH,"[-0.03,0.0225]",21,LEG_0_NOMINAL,312,1.0,1.0005768252197094
0.00019287846849724843,E2,0.00019287846849724843,LEG_4_STRONG_STRUCTURAL_MISMATCH,"[-0.03,0.0225]",21,LEG_1_HEAVY_HIP_STIFF,312,1.0,1.0001928784684972
0.00528568713334554,E2,0.00528568713334554,LEG_4_STRONG_STRUCTURAL_MISMATCH,"[-0.03,0.0225]",21,LEG_2_KNEE_DOMINANT,312,1.0,1.0052856871333455
0.0005458511084150963,E2,0.0005458511084150963,LEG_4_STRONG_STRUCTURAL_MISMATCH,"[-0.03,0.0225]",21,LEG_3_NONLINEAR_COUPLED,312,1.0,1.000545851108415
0.0,E2,0.0,LEG_4_STRONG_STRUCTURAL_MISMATCH,"[-0.03,0.0225]",21,LEG_4_STRONG_STRUCTURAL_MISMATCH,21,0.9992936589002313,0.9992936589002313
