beta_extend,beta_flex,candidate_id,candidate_index,canonical_beta_id,endpoint_E0,endpoint_E1,endpoint_E2,endpoint_E3,endpoint_E4,extension_hip_peak_nm,extension_hip_rms_nm,extension_knee_peak_nm,extension_knee_rms_nm,feature_vector,feature_vector_id,flexion_hip_peak_nm,flexion_hip_rms_nm,flexion_knee_peak_nm,flexion_knee_rms_nm,hip_peak_nm,hip_rms_nm,knee_peak_nm,knee_rms_nm,leg_id,relative_extension_vector_rms,relative_flexion_vector_rms,relative_full_hip_peak,relative_full_hip_rms,relative_full_knee_peak,relative_full_knee_rms,relative_hip_extension_peak,relative_hip_extension_rms,relative_hip_flexion_peak,relative_hip_flexion_rms,relative_knee_extension_peak,relative_knee_extension_rms,relative_knee_flexion_peak,relative_knee_flexion_rms
-0.03,-0.03,SUBJECT_V3_2b023179d7127656ae81fdb7,0,MYOLEG_V3_K0000,32.2098871239909,1.0009379823951625,1.0159773057335362,1.000038318863986,1.000038318863986,36.44711406967018,30.81650234561538,16.720582995276544,11.20214361977037,"[1.0002590920928682,0.9990775988961,0.9909159242029051,1.0159773057335362,1.000024744320548,0.9999993422915733,1.0,1.000038318863986]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.07686750141238,16.720582995276544,11.526442202289422,LEG_0_NOMINAL,1.0010067178979583,0.9989674797357383,1.000024744320548,0.9997234862251737,1.000038318863986,1.0009379823951625,0.9999993422915733,0.9990775988961,1.000024744320548,1.0002590920928682,1.000038318863986,1.0159773057335362,1.0,0.9909159242029051
-0.0275,-0.03,SUBJECT_V3_c3a6ab3b7fcc6243cd116284,1,MYOLEG_V3_K0001,32.20869214307491,1.000386068215868,1.0146011551181837,1.0000388266603466,1.0000388266603466,36.44711486176923,30.81911743513781,16.720591485602398,11.186970213092273,"[1.0002590920928682,0.9991623806578868,0.9909159242029051,1.0146011551181837,1.000024744320548,0.9999993640243923,1.0,1.0000388266603466]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.078022795543937,16.720591485602398,11.52008655688466,LEG_0_NOMINAL,1.000923601830597,0.9989674797357383,1.000024744320548,0.9997618869887094,1.0000388266603466,1.000386068215868,0.9999993640243923,0.9991623806578868,1.000024744320548,1.0002590920928682,1.0000388266603466,1.0146011551181837,1.0,0.9909159242029051
-0.025,-0.03,SUBJECT_V3_645e1edebf34834b73af8c1d,2,MYOLEG_V3_K0002,32.207483227682985,0.9998378367969544,1.0132330897182888,1.0000393381288017,1.0000393381288017,36.447115653867755,30.821658856299,16.720600037325458,11.171885953823512,"[1.0002590920928682,0.9992447740756416,0.9909159242029051,1.0132330897182888,1.000024744320548,0.9999993857571967,1.0,1.0000393381288017]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.07914559587973,16.720600037325458,11.513773320825353,LEG_0_NOMINAL,1.0008395126749434,0.9989674797357383,1.000024744320548,0.9997992076926019,1.0000393381288017,0.9998378367969544,0.9999993857571967,0.9992447740756416,1.000024744320548,1.0002590920928682,1.0000393381288017,1.0132330897182888,1.0,0.9909159242029051
-0.0225,-0.03,SUBJECT_V3_9f6bf4ff5fb659d2f3cd3425,3,MYOLEG_V3_K0003,32.206279368411,0.9998361201810634,1.011873213547599,1.0000398532766235,1.0000398532766235,36.44711644596574,30.82417236648246,16.720608650567318,11.156891988817401,"[1.0002590920928682,0.9993262626135273,0.9909159242029051,1.011873213547599,1.000024744320548,0.9999994074899864,1.0,1.0000398532766235]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.080256114978162,16.720608650567318,11.507502892176703,LEG_0_NOMINAL,1.0007557713259374,0.9989674797357383,1.000024744320548,0.9998361201810634,1.0000398532766235,0.9992933227057731,0.9999994074899864,0.9993262626135273,1.000024744320548,1.0002590920928682,1.0000398532766235,1.011873213547599,1.0,0.9909159242029051
-0.02,-0.03,SUBJECT_V3_28218e444a1d5c0f2a4726f4,4,MYOLEG_V3_K0004,32.205059925123145,0.9998718679760178,1.010521935741288,1.0000403721110882,1.0000403721110882,36.44711723806315,30.826606461398185,16.720617325449634,11.141992829189446,"[1.0002590920928682,0.9994051764914429,0.9909159242029051,1.010521935741288,1.000024744320548,0.9999994292227603,1.0,1.0000403721110882]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.081331594055253,16.720617325449634,11.501277072971748,LEG_0_NOMINAL,1.0006709419881954,0.9989674797357383,1.000024744320548,0.9998718679760178,1.0000403721110882,0.9987526824280188,0.9999994292227603,0.9994051764914429,1.000024744320548,1.0002590920928682,1.0000403721110882,1.010521935741288,1.0,0.9909159242029051
-0.0175,-0.03,SUBJECT_V3_e2572ac03470a6b0eef6938f,5,MYOLEG_V3_K0005,32.20385855433492,0.9999077779488396,1.0091770823832436,1.0000408946394648,1.0000408946394648,36.44711803016003,30.82905149324611,16.72062606209394,11.127164505387993,"[1.0002590920928682,0.9994844449470401,0.9909159242029051,1.0091770823832436,1.000024744320548,0.9999994509555196,1.0,1.0000408946394648]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.082411952283724,16.72062606209394,11.495085772655544,LEG_0_NOMINAL,1.0005873659542315,0.9989674797357383,1.000024744320548,0.9999077779488396,1.0000408946394648,0.9982150397158841,0.9999994509555196,0.9994844449470401,1.000024744320548,1.0002590920928682,1.0000408946394648,1.0091770823832436,1.0,0.9909159242029051
-0.015,-0.03,SUBJECT_V3_14ddfd588eae11e553fe6943,6,MYOLEG_V3_K0006,32.202654669160246,0.9999429880842584,1.0078408966976482,1.000041420869023,1.000041420869023,36.44711882225638,30.83144877167233,16.720634860621796,11.112431751153968,"[1.0002590920928682,0.9995621652264897,0.9909159242029051,1.0078408966976482,1.000024744320548,0.9999994726882644,1.0,1.000041420869023]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.08347125577343,16.720634860621796,11.488939243648318,LEG_0_NOMINAL,1.0005036111259533,0.9989674797357383,1.000024744320548,0.9999429880842584,1.000041420869023,0.9976812848733009,0.9999994726882644,0.9995621652264897,1.000024744320548,1.0002590920928682,1.000041420869023,1.0078408966976482,1.0,0.9909159242029051
-0.0125,-0.03,SUBJECT_V3_95d784febf9da9dee736faeb,7,MYOLEG_V3_K0007,32.20145283392593,0.9999776921701938,1.0065128759880575,1.0000419508070362,1.0000419508070362,36.44711961435217,30.833811495980413,16.7206437211548,11.097789023767332,"[1.0002590920928682,0.9996387652540365,0.9909159242029051,1.0065128759880575,1.000024744320548,0.9999994944209938,1.0,1.0000419508070362]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.084515334670066,16.7206437211548,11.482835089539424,LEG_0_NOMINAL,1.000419995042398,0.9989674797357383,1.000024744320548,0.9999776921701938,1.0000419508070362,0.9971512097997651,0.9999994944209938,0.9996387652540365,1.000024744320548,1.0002590920928682,1.0000419508070362,1.0065128759880575,1.0,0.9909159242029051
-0.01,-0.03,SUBJECT_V3_3f93f2a28c556bfe0eb55eb8,8,MYOLEG_V3_K0008,32.20024767259064,1.000011677694666,1.005193418552114,1.000042484460781,1.000042484460781,36.44712040644739,30.836125203180377,16.720652643814624,11.083240714849211,"[1.0002590920928682,0.9997137761364514,0.9909159242029051,1.005193418552114,1.000024744320548,0.9999995161537076,1.0,1.000042484460781]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.085537795511083,16.720652643814624,11.476775057961758,LEG_0_NOMINAL,1.0003361436655172,0.9989674797357383,1.000024744320548,1.000011677694666,1.000042484460781,0.9966249662569487,0.9999995161537076,0.9997137761364514,1.000024744320548,1.0002590920928682,1.000042484460781,1.005193418552114,1.0,0.9909159242029051
-0.0075,-0.03,SUBJECT_V3_f707e88fb70ff61f56e4a1d9,9,MYOLEG_V3_K0009,32.199046428713984,1.0000452480803592,1.0038817726982328,1.0000430218375227,1.0000430218375227,36.44712119854208,30.838410554832922,16.720661628722745,11.068778536264576,"[1.0002590920928682,0.9997878677259529,0.9909159242029051,1.0038817726982328,1.000024744320548,0.9999995378864068,1.0,1.0000430218375227]",MECHANICAL_ENDPOINT_FEATURE_VECTOR_V1,36.71833338220439,29.528548589855493,16.631617823559303,11.743830996298593,36.71833338220439,30.08654776682453,16.720661628722745,11.4707556156107,LEG_0_NOMINAL,1.0002525609815411,0.9989674797357383,1.000024744320548,1.0000452480803592,1.0000430218375227,0.9961022474182759,0.9999995378864068,0.9997878677259529,1.000024744320548,1.0002590920928682,1.0000430218375227,1.0038817726982328,1.0,0.9909159242029051
