endpoint_id,leg_id,pair_count_endpoint_within_0_1_percent_but_feature_linf_at_least_0_5_percent,spearman_pairwise_endpoint_difference_vs_feature_distance,total_pair_count
E0,LEG_0_NOMINAL,150820,0.5054056041155975,195000
E1,LEG_0_NOMINAL,59124,0.4494347738421281,195000
E2,LEG_0_NOMINAL,21537,0.6033274418102172,195000
E3,LEG_0_NOMINAL,169736,0.5277751248747569,195000
E4,LEG_0_NOMINAL,169736,0.5277751248747569,195000
E0,LEG_1_HEAVY_HIP_STIFF,168618,0.553529422052587,195000
E1,LEG_1_HEAVY_HIP_STIFF,57096,0.4437960675469102,195000
E2,LEG_1_HEAVY_HIP_STIFF,21687,0.5657953686199153,195000
E3,LEG_1_HEAVY_HIP_STIFF,168618,0.4201766585109508,195000
E4,LEG_1_HEAVY_HIP_STIFF,168618,0.4201766585109508,195000
E0,LEG_2_KNEE_DOMINANT,12507,0.577100330154408,195000
E1,LEG_2_KNEE_DOMINANT,36867,0.3121622596296215,195000
E2,LEG_2_KNEE_DOMINANT,21916,0.37329353920075076,195000
E3,LEG_2_KNEE_DOMINANT,166305,0.44335160270668167,195000
E4,LEG_2_KNEE_DOMINANT,166305,0.44335160270668167,195000
E0,LEG_3_NONLINEAR_COUPLED,18763,0.5869130457758278,195000
E1,LEG_3_NONLINEAR_COUPLED,57625,0.4226529163762917,195000
E2,LEG_3_NONLINEAR_COUPLED,21866,0.5490896550445519,195000
E3,LEG_3_NONLINEAR_COUPLED,165667,0.39560225387648656,195000
E4,LEG_3_NONLINEAR_COUPLED,165667,0.39559705004853113,195000
E0,LEG_4_STRONG_STRUCTURAL_MISMATCH,55835,0.5646626844542558,195000
E1,LEG_4_STRONG_STRUCTURAL_MISMATCH,47356,0.4545875540472554,195000
E2,LEG_4_STRONG_STRUCTURAL_MISMATCH,17901,0.5880362457431384,195000
E3,LEG_4_STRONG_STRUCTURAL_MISMATCH,147639,0.6810204101721989,195000
E4,LEG_4_STRONG_STRUCTURAL_MISMATCH,147639,0.6756274397883408,195000
