baseline_oracle_index,baseline_relative_regret_of_perturbed_oracle,endpoint_id,exact_oracle_stable,leg_id,maximum_absolute_relative_endpoint_change,median_absolute_relative_endpoint_change,p95_absolute_relative_endpoint_change,perturbed_oracle_index,ranking_spearman_vs_baseline,scenario
24,0.0,E0,True,LEG_0_NOMINAL,8.687560411879901e-06,7.427295590564414e-06,8.335112127578356e-06,24,0.9999986237404769,DETERMINISTIC_TORQUE_WAVE_A
28,0.0,E1,True,LEG_0_NOMINAL,8.427528810457199e-06,3.526525129492976e-07,5.98072613516002e-06,28,0.9999986728926026,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E2,True,LEG_0_NOMINAL,1.1058906352811792e-05,1.3179258002894426e-07,1.0173958468271629e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E3,True,LEG_0_NOMINAL,0.0001714945456403496,4.1502815447485615e-08,0.00017149248247703893,312,0.9999999999999999,DETERMINISTIC_TORQUE_WAVE_A
312,0.0,E4,True,LEG_0_NOMINAL,0.0001714945456403496,4.1502815447485615e-08,0.00017149248247703893,312,0.9999999999999999,DETERMINISTIC_TORQUE_WAVE_A
24,0.0,E0,True,LEG_0_NOMINAL,1.5929029943100994e-05,1.4345258270055935e-05,1.5794630226191693e-05,24,0.9999947407225364,DETERMINISTIC_TORQUE_WAVE_B
28,0.0,E1,True,LEG_0_NOMINAL,1.1670461744308257e-05,2.2673316825124365e-07,1.028604089599799e-05,28,0.999988498402556,DETERMINISTIC_TORQUE_WAVE_B
312,0.0,E2,True,LEG_0_NOMINAL,2.6620505467400445e-05,1.347853485603725e-06,2.442628861465099e-05,312,1.0,DETERMINISTIC_TORQUE_WAVE_B
312,0.00045173557304822864,E3,False,LEG_0_NOMINAL,0.00045800769133139173,1.822098425358838e-05,0.0004578539672465817,24,-0.7712619968344848,DETERMINISTIC_TORQUE_WAVE_B
312,0.00045453382816051935,E4,False,LEG_0_NOMINAL,0.00045800769133139173,1.822098425358838e-05,0.0004578539672465817,23,-0.7711501382773036,DETERMINISTIC_TORQUE_WAVE_B
