branch,joint,leg_id,maximum_fraction_samples_at_or_above_99_percent_peak,median_fraction_samples_at_or_above_99_percent_peak
extension,hip,LEG_0_NOMINAL,0.27,0.27
extension,knee,LEG_0_NOMINAL,0.24,0.235
flexion,hip,LEG_0_NOMINAL,0.23383084577114427,0.23383084577114427
flexion,knee,LEG_0_NOMINAL,0.14925373134328357,0.14925373134328357
extension,hip,LEG_1_HEAVY_HIP_STIFF,0.155,0.155
extension,knee,LEG_1_HEAVY_HIP_STIFF,0.225,0.225
flexion,hip,LEG_1_HEAVY_HIP_STIFF,0.16417910447761194,0.16417910447761194
flexion,knee,LEG_1_HEAVY_HIP_STIFF,0.11442786069651742,0.11442786069651742
extension,hip,LEG_2_KNEE_DOMINANT,0.16,0.16
extension,knee,LEG_2_KNEE_DOMINANT,0.23,0.225
flexion,hip,LEG_2_KNEE_DOMINANT,0.11940298507462686,0.11940298507462686
flexion,knee,LEG_2_KNEE_DOMINANT,0.11940298507462686,0.11940298507462686
extension,hip,LEG_3_NONLINEAR_COUPLED,0.145,0.145
extension,knee,LEG_3_NONLINEAR_COUPLED,0.195,0.19
flexion,hip,LEG_3_NONLINEAR_COUPLED,0.15422885572139303,0.15422885572139303
flexion,knee,LEG_3_NONLINEAR_COUPLED,0.10945273631840796,0.10945273631840796
extension,hip,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.145,0.145
extension,knee,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.215,0.215
flexion,hip,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.14925373134328357,0.14925373134328357
flexion,knee,LEG_4_STRONG_STRUCTURAL_MISMATCH,0.13930348258706468,0.13930348258706468
