hip_delta,knee_delta,phase_delta,trajectory_id,trajectory_sha256,trajectory_admissible,trajectory_feasible,domain_coverage,max_joint_deviation_deg,hip_max_deviation_deg,knee_max_deviation_deg,max_pull_deviation_mm,invalid_reason,alpha_bounds_valid,global_rom_valid,workspace_valid,jacobian_valid,force_mapping_valid,domain_valid,velocity_valid,acceleration_valid,closure_valid,continuity_valid,asymmetry_valid,finite_valid,pointwise_clipping_applied,parent_reference_sha256
-5,-5,-0.029999999999999999,asym_h-5.000_k-5.000_p-0.03000,cbe961ce37a19535ccbb15f2d8b55c2f23d92cd99409995bbf4ecbef8c388003,True,True,100,5.0864093355856177,5.0000000000000329,5.0864093355856177,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.0275,asym_h-5.000_k-5.000_p-0.02750,559f61f13878320f65e901476c59694f345bf7a863179ee117de2fd875e696bf,True,True,100,5.0654378269132518,5.0000000000000329,5.0654378269132518,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.025000000000000001,asym_h-5.000_k-5.000_p-0.02500,6632ed899290f1a802ab9b9e98ae1a59a050ece5f853296ef685bdd92d588534,True,True,100,5.0462688767752066,5.0000000000000329,5.0462688767752066,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.022499999999999999,asym_h-5.000_k-5.000_p-0.02250,abdebb38019ba4f4bfbd338b17581bd8b4446c99853622ce5e8b881b7b518649,True,True,100,5.0300289683785238,5.0000000000000329,5.0300289683785238,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.02,asym_h-5.000_k-5.000_p-0.02000,e22df90616bd2093dbc575e10d496822aab56f0f68f0c2f62ae0605393d7fc06,True,True,100,5.0167042394611006,5.0000000000000329,5.0167042394611006,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.017500000000000002,asym_h-5.000_k-5.000_p-0.01750,7f25f09f40570aadee965a9e735c7f6497041cf4d5902d91ccaf6082e2035818,True,True,100,5.0045004253031378,5.0000000000000329,5.0045004253031378,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.014999999999999999,asym_h-5.000_k-5.000_p-0.01500,a04cc31eed1bef8ba4482f649dbe5f8425559e31ea99d74d01f9ba3af57a9750,True,True,100,5.0015179718444749,5.0000000000000329,5.0015179718444749,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.012500000000000001,asym_h-5.000_k-5.000_p-0.01250,c8c5fb02a2d3e35ee037df9c471a61e5a71928b59104bf38a612113beec27345,True,True,100,5.0000000000000329,5.0000000000000329,5.0000000000000195,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.01,asym_h-5.000_k-5.000_p-0.01000,aa0cb32cec0a11030d90edb0328faa26d4dfd7e18ec03821660b02db7386f96c,True,True,100,5.0000000000000329,5.0000000000000329,5.0000000000000195,36.640285386882404,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,-0.0074999999999999997,asym_h-5.000_k-5.000_p-0.00750,d48f051fa74c9bdcd9e201ab37a3841f5c74f334bc5466651aaa70a8ba513a52,True,True,100,5.0000000000000453,5.0000000000000329,5.0000000000000453,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
