case_id,subject_id,scenario_name,scope,point_count,agreement_count,agreement_rate,false_improvement_count,false_improvement_rate,pred_improve__truth_improve_count,pred_improve__truth_neutral_count,pred_improve__truth_worse_count,pred_neutral__truth_improve_count,pred_neutral__truth_neutral_count,pred_neutral__truth_worse_count,pred_worse__truth_improve_count,pred_worse__truth_neutral_count,pred_worse__truth_worse_count
baseline__matched_linear,baseline,matched_linear,OVERALL,21025,21025,1,0,0,10920,0,0,0,4875,0,0,0,5230
baseline__matched_linear,baseline,matched_linear,SUPPORTED,7650,7650,1,0,0,5546,0,0,0,2052,0,0,0,52
baseline__matched_linear,baseline,matched_linear,UNSUPPORTED,13375,13375,1,0,0,5374,0,0,0,2823,0,0,0,5178
hip_stiff__matched_linear,hip_stiff,matched_linear,OVERALL,21025,21025,1,0,0,12129,0,0,0,4865,0,0,0,4031
hip_stiff__matched_linear,hip_stiff,matched_linear,SUPPORTED,7650,7650,1,0,0,7019,0,0,0,631,0,0,0,0
hip_stiff__matched_linear,hip_stiff,matched_linear,UNSUPPORTED,13375,13375,1,0,0,5110,0,0,0,4234,0,0,0,4031
knee_stiff__matched_linear,knee_stiff,matched_linear,OVERALL,21025,21025,1,0,0,10116,0,0,0,6477,0,0,0,4432
knee_stiff__matched_linear,knee_stiff,matched_linear,SUPPORTED,7650,7650,1,0,0,5053,0,0,0,2597,0,0,0,0
knee_stiff__matched_linear,knee_stiff,matched_linear,UNSUPPORTED,13375,13375,1,0,0,5063,0,0,0,3880,0,0,0,4432
heavy_leg__matched_linear,heavy_leg,matched_linear,OVERALL,21025,21025,1,0,0,10918,0,0,0,4310,0,0,0,5797
heavy_leg__matched_linear,heavy_leg,matched_linear,SUPPORTED,7650,7650,1,0,0,5392,0,0,0,2002,0,0,0,256
heavy_leg__matched_linear,heavy_leg,matched_linear,UNSUPPORTED,13375,13375,1,0,0,5526,0,0,0,2308,0,0,0,5541
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,OVERALL,21025,19357,0.92066587396,0,0,11017,0,0,1075,3793,375,0,218,4547
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SUPPORTED,13750,12480,0.907636363636,0,0,9162,0,0,1052,2965,0,0,218,353
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,UNSUPPORTED,7275,6877,0.94529209622,0,0,1855,0,0,23,828,375,0,0,4194
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,OVERALL,21025,20738,0.986349583829,79,0.00375743162901,10937,79,0,46,4603,156,0,6,5198
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SUPPORTED,13750,13519,0.9832,79,0.00574545454545,9021,79,0,22,3586,130,0,0,912
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,UNSUPPORTED,7275,7219,0.992302405498,0,0,1916,0,0,24,1017,26,0,6,4286
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,OVERALL,21025,21024,0.999952437574,0,0,10920,0,0,0,4875,0,0,1,5229
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SUPPORTED,13750,13750,1,0,0,8996,0,0,0,3791,0,0,0,963
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,UNSUPPORTED,7275,7274,0.999862542955,0,0,1924,0,0,0,1084,0,0,1,4266
baseline__structured_residual,baseline,structured_residual,OVERALL,21025,20929,0.995434007134,53,0.00252080856124,10876,53,0,5,4851,27,0,11,5202
baseline__structured_residual,baseline,structured_residual,SUPPORTED,13750,13670,0.994181818182,53,0.00385454545455,8956,53,0,1,3769,26,0,0,945
baseline__structured_residual,baseline,structured_residual,UNSUPPORTED,7275,7259,0.997800687285,0,0,1920,0,0,4,1082,1,0,11,4257
baseline__combined_mild,baseline,combined_mild,OVERALL,21025,19984,0.950487514863,0,0,10992,0,0,700,4134,265,0,76,4858
baseline__combined_mild,baseline,combined_mild,SUPPORTED,13750,12988,0.944581818182,0,0,9119,0,0,673,3242,13,0,76,627
baseline__combined_mild,baseline,combined_mild,UNSUPPORTED,7275,6996,0.961649484536,0,0,1873,0,0,27,892,252,0,0,4231
