case_id,subject_id,scenario_name,trajectory_id,hip_delta,knee_delta,phase_delta,J_pred,J_truth,delta_J_pred,delta_J_truth,domain_coverage,model_supported,prediction_label,distance_to_supported_region,distance_to_supported_region_definition,predicted_direction,truth_direction,decision_equivalence_band
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.01750,-5,-2.5,-0.0175,0.994992695727,0.995520764867,-0.00500730427278,-0.00447923513281,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.01500,-5,-2.5,-0.015,0.994965943177,0.995492451421,-0.00503405682278,-0.00450754857937,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.01250,-5,-2.5,-0.0125,0.994940201238,0.995465313927,-0.00505979876219,-0.00453468607267,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.01000,-5,-2.5,-0.01,0.994915330179,0.995439214826,-0.00508466982086,-0.00456078517396,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.00750,-5,-2.5,-0.0075,0.994891301281,0.995414120914,-0.00510869871883,-0.00458587908599,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.00500,-5,-2.5,-0.005,0.994868214174,0.995390132731,-0.00513178582553,-0.00460986726898,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p-0.00250,-5,-2.5,-0.0025,0.994846030125,0.995367210343,-0.00515396987501,-0.00463278965686,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p+0.00000,-5,-2.5,0,0.994824757026,0.995345360818,-0.00517524297361,-0.0046546391815,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p+0.00250,-5,-2.5,0.0025,0.994804476138,0.995324664503,-0.0051955238616,-0.00467533549672,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,asym_h-5.000_k-2.500_p+0.00500,-5,-2.5,0.005,0.994785119816,0.995305052916,-0.00521488018444,-0.00469494708439,99.5012468828,True,SUPPORTED_PREDICTION,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,IMPROVE,NEUTRAL,0.005
