case_id,subject_id,scenario_name,scope,point_count,spearman_rank_correlation,spearman_pvalue,metric_used_as_pass_fail_threshold
baseline__matched_linear,baseline,matched_linear,ALL_GEOMETRICALLY_ADMISSIBLE,21025,1,0,False
baseline__matched_linear,baseline,matched_linear,SUPPORTED_ONLY,7650,1,0,False
baseline__matched_linear,baseline,matched_linear,UNSUPPORTED_ONLY,13375,1,0,False
hip_stiff__matched_linear,hip_stiff,matched_linear,ALL_GEOMETRICALLY_ADMISSIBLE,21025,1,0,False
hip_stiff__matched_linear,hip_stiff,matched_linear,SUPPORTED_ONLY,7650,1,0,False
hip_stiff__matched_linear,hip_stiff,matched_linear,UNSUPPORTED_ONLY,13375,1,0,False
knee_stiff__matched_linear,knee_stiff,matched_linear,ALL_GEOMETRICALLY_ADMISSIBLE,21025,1,0,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SUPPORTED_ONLY,7650,1,0,False
knee_stiff__matched_linear,knee_stiff,matched_linear,UNSUPPORTED_ONLY,13375,1,0,False
heavy_leg__matched_linear,heavy_leg,matched_linear,ALL_GEOMETRICALLY_ADMISSIBLE,21025,1,0,False
heavy_leg__matched_linear,heavy_leg,matched_linear,SUPPORTED_ONLY,7650,1,0,False
heavy_leg__matched_linear,heavy_leg,matched_linear,UNSUPPORTED_ONLY,13375,1,0,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,ALL_GEOMETRICALLY_ADMISSIBLE,21025,0.995006772624,0,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SUPPORTED_ONLY,13750,0.993748320606,0,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,UNSUPPORTED_ONLY,7275,0.986757023434,0,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,ALL_GEOMETRICALLY_ADMISSIBLE,21025,0.999809286884,0,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SUPPORTED_ONLY,13750,0.999763451281,0,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,UNSUPPORTED_ONLY,7275,0.999799523966,0,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,ALL_GEOMETRICALLY_ADMISSIBLE,21025,0.999999989318,0,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SUPPORTED_ONLY,13750,0.999999983784,0,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,UNSUPPORTED_ONLY,7275,0.999999978028,0,False
baseline__structured_residual,baseline,structured_residual,ALL_GEOMETRICALLY_ADMISSIBLE,21025,0.999979610507,0,False
baseline__structured_residual,baseline,structured_residual,SUPPORTED_ONLY,13750,0.999972841461,0,False
baseline__structured_residual,baseline,structured_residual,UNSUPPORTED_ONLY,7275,0.999978077744,0,False
baseline__combined_mild,baseline,combined_mild,ALL_GEOMETRICALLY_ADMISSIBLE,21025,0.998665571334,0,False
baseline__combined_mild,baseline,combined_mild,SUPPORTED_ONLY,13750,0.998361526348,0,False
baseline__combined_mild,baseline,combined_mild,UNSUPPORTED_ONLY,7275,0.997312542379,0,False
