case_id,subject_id,scenario_name,radius_grid_steps,radius_definition,hip_step_deg,knee_step_deg,phase_step,point_count,spearman_rank_correlation,spearman_pvalue,metric_used_as_pass_fail_threshold
baseline__matched_linear,baseline,matched_linear,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__matched_linear,baseline,matched_linear,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,1,0,False
baseline__matched_linear,baseline,matched_linear,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,1,0,False
hip_stiff__matched_linear,hip_stiff,matched_linear,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
hip_stiff__matched_linear,hip_stiff,matched_linear,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,1,0,False
hip_stiff__matched_linear,hip_stiff,matched_linear,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,1,0,False
knee_stiff__matched_linear,knee_stiff,matched_linear,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
knee_stiff__matched_linear,knee_stiff,matched_linear,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,1,0,False
knee_stiff__matched_linear,knee_stiff,matched_linear,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,1,0,False
heavy_leg__matched_linear,heavy_leg,matched_linear,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
heavy_leg__matched_linear,heavy_leg,matched_linear,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,1,0,False
heavy_leg__matched_linear,heavy_leg,matched_linear,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,1,0,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,0.997149001536,6.52954739249e-140,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,0.992263525449,4.71870750724e-311,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,0.997517665131,1.32206614864e-143,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,0.998950865536,0,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,0.999993855607,7.25819742319e-304,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,0.999998513131,0,False
baseline__structured_residual,baseline,structured_residual,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__structured_residual,baseline,structured_residual,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,0.999784946237,6.58131600002e-209,False
baseline__structured_residual,baseline,structured_residual,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,0.999840310315,0,False
baseline__combined_mild,baseline,combined_mild,1,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,27,1,3.38166892476e-197,False
baseline__combined_mild,baseline,combined_mild,2,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,125,0.996927803379,6.42419858234e-138,False
baseline__combined_mild,baseline,combined_mild,3,chebyshev_radius_in_formal_grid_steps_from_reference_alpha_0_0_0,0.25,0.25,0.0025,343,0.998164014688,0,False
