case_id,subject_id,scenario_name,scope,point_count,alpha_predicted_best_trajectory_id,alpha_predicted_best_hip_delta,alpha_predicted_best_knee_delta,alpha_predicted_best_phase_delta,J_pred_at_predicted_best,J_truth_at_predicted_best,alpha_truth_best_trajectory_id,alpha_truth_best_hip_delta,alpha_truth_best_knee_delta,alpha_truth_best_phase_delta,J_truth_at_truth_best,diagnostic_regret,truth_used_for_predicted_best_selection,truth_used_for_post_selection_evaluation
baseline__matched_linear,baseline,matched_linear,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967633075336,0.967633075336,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967633075336,0,False,True
baseline__matched_linear,baseline,matched_linear,SUPPORTED_ONLY,7650,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.972959853968,0.972959853969,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.972959853969,0,False,True
hip_stiff__matched_linear,hip_stiff,matched_linear,GLOBAL,21025,asym_h+1.250_k-5.000_p+0.03000,1.25,-5,0.03,0.970905205669,0.970905205669,asym_h+1.250_k-5.000_p+0.03000,1.25,-5,0.03,0.970905205669,0,False,True
hip_stiff__matched_linear,hip_stiff,matched_linear,SUPPORTED_ONLY,7650,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.971025115267,0.971025115267,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.971025115267,0,False,True
knee_stiff__matched_linear,knee_stiff,matched_linear,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.974773873094,0.974773873094,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.974773873094,0,False,True
knee_stiff__matched_linear,knee_stiff,matched_linear,SUPPORTED_ONLY,7650,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.97924745354,0.97924745354,asym_h-1.000_k-5.000_p+0.03000,-1,-5,0.03,0.97924745354,0,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.00250,2,-5,0.0025,0.963203117167,0.963203117167,asym_h+2.000_k-5.000_p+0.00250,2,-5,0.0025,0.963203117167,0,False,True
heavy_leg__matched_linear,heavy_leg,matched_linear,SUPPORTED_ONLY,7650,asym_h-1.000_k-5.000_p+0.00500,-1,-5,0.005,0.970183211066,0.970183211066,asym_h-1.000_k-5.000_p+0.00500,-1,-5,0.005,0.970183211066,0,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.970346966744,0.963719374456,asym_h+2.000_k-5.000_p+0.00750,2,-5,0.0075,0.963677775631,4.15988250106e-05,False,True
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SUPPORTED_ONLY,13750,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.971648569819,0.964639678172,asym_h+1.000_k-5.000_p+0.00750,1,-5,0.0075,0.964599822995,3.98551768647e-05,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967486576954,0.966418561408,asym_h+2.000_k-5.000_p+0.02750,2,-5,0.0275,0.966417558296,1.00311262075e-06,False,True
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SUPPORTED_ONLY,13750,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.969130694798,0.968240712058,asym_h+1.000_k-5.000_p+0.02750,1,-5,0.0275,0.968240118443,5.93615965938e-07,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967633970283,0.967637357491,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967637357491,0,False,True
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SUPPORTED_ONLY,13750,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.969358422,0.969362067681,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.969362067681,0,False,True
baseline__structured_residual,baseline,structured_residual,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967686712508,0.967882188675,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.967882188675,0,False,True
baseline__structured_residual,baseline,structured_residual,SUPPORTED_ONLY,13750,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.969393574812,0.96960604543,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.96960604543,0,False,True
baseline__combined_mild,baseline,combined_mild,GLOBAL,21025,asym_h+2.000_k-5.000_p+0.03000,2,-5,0.03,0.969391556447,0.964135005728,asym_h+2.000_k-5.000_p+0.01250,2,-5,0.0125,0.96410723577,2.77699584688e-05,False,True
baseline__combined_mild,baseline,combined_mild,SUPPORTED_ONLY,13750,asym_h+1.000_k-5.000_p+0.03000,1,-5,0.03,0.970825706982,0.965492695909,asym_h+1.000_k-5.000_p+0.01250,1,-5,0.0125,0.965467095881,2.56000279732e-05,False,True
