case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__combined_mild,baseline,combined_mild,77.057357,False,6,0.0026073848299,0.00260663720567,1,0,0.0259690844233,1,False
baseline__combined_mild,baseline,combined_mild,77.306733,False,24,0.00258845868718,0.00264541452503,1,0,0.0281311930242,1,False
baseline__combined_mild,baseline,combined_mild,77.55611,False,110,0.00242477547417,0.00242569691735,1,0,0.00779072532699,1,False
baseline__combined_mild,baseline,combined_mild,77.805486,False,393,0.00246939942962,0.00248993039822,1,0,0.00769894073758,0.999967972619,False
baseline__combined_mild,baseline,combined_mild,78.054863,False,361,0.00241312813955,0.00254276775909,0.93351800554,0,0.0142081218441,0.999133520046,False
baseline__combined_mild,baseline,combined_mild,78.304239,False,376,0.00213627935619,0.00214982119236,0.997340425532,0,0.0056856073064,0.99993588803,False
baseline__combined_mild,baseline,combined_mild,78.553616,False,304,0.00214541049213,0.00223270653485,0.921052631579,0,0.0162816822079,0.99987271376,False
baseline__combined_mild,baseline,combined_mild,78.802993,False,44,0.00160841717002,0.00192638360716,0.977272727273,0,0.0247238136418,1,False
baseline__combined_mild,baseline,combined_mild,79.052369,False,406,0.00175906567433,0.00179229273876,0.948275862069,0,0.00520457114741,0.999773530808,False
baseline__combined_mild,baseline,combined_mild,79.301746,False,319,0.00185765858814,0.00189542381903,0.996865203762,0,0.0126299859475,0.999572292542,False
baseline__combined_mild,baseline,combined_mild,79.551122,False,57,0.00102366940658,0.00105280095186,1,0,0.0264071593967,1,False
baseline__combined_mild,baseline,combined_mild,79.800499,False,349,0.00146234079029,0.00147083161365,1,0,0.00454963902299,0.999710079467,False
baseline__combined_mild,baseline,combined_mild,80.049875,False,339,0.00149627384969,0.00156509026294,0.979351032448,0,0.0122152655744,0.999706760224,False
baseline__combined_mild,baseline,combined_mild,80.299252,False,42,0.000885260854828,0.000492001860873,0.857142857143,0,0.022815242625,1,False
baseline__combined_mild,baseline,combined_mild,80.548628,False,45,0.000987199238903,0.000787853422254,0.844444444444,0,0.0234525036332,1,False
