case_id,subject_id,scenario_name,distance_to_supported_region,distance_definition,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation
baseline__combined_mild,baseline,combined_mild,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,13750,0.00282170525,0.00284908501819,0.944581818182,0,0.0119289365474,0.998361526348
baseline__combined_mild,baseline,combined_mild,1,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.00155381151664,0.000626227862766,0.953191489362,0,0.0146061982948,0.999970189243
baseline__combined_mild,baseline,combined_mild,1.414214,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000694182903223,0.000681360504475,1,0,0.022263020214,1
baseline__combined_mild,baseline,combined_mild,2,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.00171562890613,0.000930504230848,0.943829787234,0,0.0142958484074,0.999969701027
baseline__combined_mild,baseline,combined_mild,2.236068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000857503666215,0.000881124832493,1,0,0.0230696789536,1
baseline__combined_mild,baseline,combined_mild,2.828427,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00102057146241,0.00100773560266,1,0,0.0238915576694,1
baseline__combined_mild,baseline,combined_mild,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.00187890422881,0.00123975140207,0.943829787234,0,0.0137392668303,0.999971084305
baseline__combined_mild,baseline,combined_mild,3.162278,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.00102254652358,0.00104708935965,0.76,0,0.0239229488704,1
baseline__combined_mild,baseline,combined_mild,3.605551,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.00118536079364,0.00120900817992,1,0,0.0247571938169,1
baseline__combined_mild,baseline,combined_mild,4,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.00204364250485,0.00155258895604,1,0,0.0132883750348,0.999971454166
baseline__combined_mild,baseline,combined_mild,4.123106,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.00118931650759,0.00121478328438,0.84,0,0.0249950059453,1
baseline__combined_mild,baseline,combined_mild,4.242641,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.0013498960246,0.00133704683622,1,0,0.0256399524376,1
baseline__combined_mild,baseline,combined_mild,4.472136,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.00135187670526,0.00137644814644,0.56,0,0.0258340071344,1
baseline__combined_mild,baseline,combined_mild,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,675,0.00182575612255,0.00183811365236,0.962962962963,0,0.00743580393711,0.999905965348
baseline__combined_mild,baseline,combined_mild,5.09902,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00196421418211,0.0019513118261,1,0,0.0224589774078,1
baseline__combined_mild,baseline,combined_mild,5.385165,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00197685398397,0.00196395825571,1,0,0.02407039239,1
baseline__combined_mild,baseline,combined_mild,5.656854,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.0016821632881,0.0016693009031,0,0,0.0278183115339,1
baseline__combined_mild,baseline,combined_mild,5.830952,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00198992799807,0.00197703896335,1,0,0.0258244946492,1
baseline__combined_mild,baseline,combined_mild,6,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.00217911521445,0.00217470512531,1,0,0.00646301070155,0.999891963627
baseline__combined_mild,baseline,combined_mild,6.082763,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.0022893055072,0.00227638357516,1,0,0.0224932223543,1
baseline__combined_mild,baseline,combined_mild,6.324555,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00230168396426,0.00228876860988,1,0,0.0241198573127,1
baseline__combined_mild,baseline,combined_mild,6.403124,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00200343654005,0.00199055426472,1,0,0.0279267538644,1
baseline__combined_mild,baseline,combined_mild,6.708204,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00231449757552,0.00230158886473,1,0,0.025879667063,1
baseline__combined_mild,baseline,combined_mild,7,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.00251078403746,0.00250599220975,1,0,0.00720901783591,0.999899778815
baseline__combined_mild,baseline,combined_mild,7.071068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00261744961568,0.00260450827304,1,0,0.0227862068966,1
baseline__combined_mild,baseline,combined_mild,7.211103,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00232774666595,0.00231484466473,1,0,0.0280066587396,1
baseline__combined_mild,baseline,combined_mild,7.28011,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00262956467713,0.00261662986174,1,0,0.0241997621879,1
baseline__combined_mild,baseline,combined_mild,7.615773,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00264211581959,0.00262918759752,1,0,0.0259595719382,1
baseline__combined_mild,baseline,combined_mild,8.062258,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00265510337739,0.00264218181476,1,0,0.028101783591,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,0,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,13750,0.000333230921693,0.000294179414731,0.9832,0.00574545454545,0.00459896486866,0.999763451281
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.000522997059559,0.00053304979297,0.986382978723,0,0.00490305866876,0.999998468777
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1.414214,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000153901911529,0.000154992168759,1,0,0.00818263971463,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.000562585038556,0.00057921096184,0.993191489362,0,0.0048111721102,0.999998106314
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2.236068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000158079334204,0.000155412615982,1,0,0.00854887039239,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2.828427,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.00016238785527,0.00016342644453,1,0,0.00891319857313,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.000603684279096,0.000625495929879,0.983829787234,0,0.00481109115288,0.99999822467
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3.162278,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000162158396522,0.000159703126881,1,0,0.00909678953627,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3.605551,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000166597706876,0.000163887770832,1,0,0.00946397146254,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,1175,0.000646308611773,0.00067173996595,0.994042553191,0,0.00488540997293,0.999998269053
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4.123106,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000166139832214,0.000163895577535,0.96,0,0.00943162901308,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4.242641,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000170938046365,0.00017192498063,1,0,0.0100071343639,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,4.472136,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,50,0.000170709616846,0.000168210579041,0.96,0,0.00980927467301,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,675,0.000590596201259,0.000574965995988,1,0,0.00285233628397,0.999990752609
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5.09902,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.64785751201e-06,3.28835816843e-06,1,0,0.00807039239001,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5.385165,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.34789117687e-05,4.4957904124e-05,1,0,0.00886563614744,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5.656854,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000179552108348,0.00018054368339,1,0,0.0105988109394,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5.830952,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,9.16668806676e-05,9.32079880376e-05,1,0,0.00997288941736,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.000665947580047,0.000664040660939,1,0,0.00246053745541,0.999989481445
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.082763,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,4.49365313157e-05,4.35055590171e-05,1,0,0.00805517241379,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.324555,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,5.08543657712e-06,5.55914784339e-06,1,0,0.00890178359096,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.403124,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,0.000139916862322,0.000141221465086,0.92,0,0.0105816884661,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,6.708204,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,5.16422281471e-05,5.30784264985e-05,1,0,0.00994625445898,1
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,625,0.000708328181959,0.000706446956421,1,0,0.00265078715815,0.999985598427
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,7.071068,euclidean_distance_to_nearest_supported_alpha_after_scaling_hip_by_0.25_deg_knee_by_0.25_deg_and_phase_by_0.0025,25,8.5484391623e-05,8.37011267902e-05,1,0,0.00823781212842,1
