case_id,subject_id,scenario_name,scope,point_count,e_J_abs_mean,e_J_abs_median,e_J_abs_p90,e_J_abs_p95,e_J_abs_p99,e_J_abs_max,e_J_relative_mean_percent,e_J_relative_median_percent,e_J_relative_p90_percent,e_J_relative_p95_percent,e_J_relative_p99_percent,e_J_relative_max_percent,decision_sign_agreement_rate,false_improvement_count,false_improvement_rate,spearman_rank_correlation,predicted_best_regret,local_decision_regret,diagnostic_local_utility_label,formal_reliability_status,evidence_role,diagnostic_model_trial_id,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_e_J,validation_relative_e_J_percent,existing_model_adequacy_trend_diagnosis,precise_dynamics_status,validation_split_only,heldout_final_test_read
baseline__matched_linear,baseline,matched_linear,OVERALL,21025,2.15654398817e-13,1.89515070304e-13,4.34319247233e-13,5.00932628711e-13,6.1939786633e-13,7.65831842386e-13,2.1644138729e-11,1.90828739155e-11,4.3589847294e-11,4.99833801443e-11,6.07365472393e-11,7.48536075849e-11,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,3.08801065196e-09,7.5099543988e-09,8.63931148842e-12,8.63931148842e-10,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
baseline__matched_linear,baseline,matched_linear,SUPPORTED,7650,1.48788519631e-13,1.28452803949e-13,3.06876746237e-13,3.60300678182e-13,4.39430714039e-13,5.32685007215e-13,1.49966960004e-11,1.30116357698e-11,3.07923072655e-11,3.60237429635e-11,4.3858817077e-11,5.29434686341e-11,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,3.08801065196e-09,7.5099543988e-09,8.63931148842e-12,8.63931148842e-10,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
baseline__matched_linear,baseline,matched_linear,UNSUPPORTED,13375,2.53899182053e-13,2.39919195621e-13,4.77617945194e-13,5.39568389968e-13,6.4354299667e-13,7.65831842386e-13,2.54462274673e-11,2.41400324276e-11,4.78462659035e-11,5.34382976733e-11,6.32333082211e-11,7.48536075849e-11,1,0,0,1,,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,3.08801065196e-09,7.5099543988e-09,8.63931148842e-12,8.63931148842e-10,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,OVERALL,21025,1.07975459727e-16,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,5.55111512313e-16,1.08922793909e-14,1.12230399184e-14,2.26247063855e-14,2.28317865972e-14,4.37772992535e-14,5.71638245794e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.12326539124e-12,2.14920182769e-12,9.43689570931e-15,9.43689570931e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,SUPPORTED,7650,8.94564016182e-17,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,3.33066907388e-16,5.55111512313e-16,9.10274452013e-15,1.1211379694e-14,2.25963082245e-14,2.27943122279e-14,3.40988892456e-14,5.71638245794e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.12326539124e-12,2.14920182769e-12,9.43689570931e-15,9.43689570931e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
hip_stiff__matched_linear,hip_stiff,matched_linear,UNSUPPORTED,13375,1.18567668664e-16,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,5.55111512313e-16,1.19158264385e-14,1.12400305934e-14,2.26389277219e-14,2.28638053254e-14,4.3895597568e-14,5.70124532489e-14,1,0,0,1,,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.12326539124e-12,2.14920182769e-12,9.43689570931e-15,9.43689570931e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,OVERALL,21025,4.30623960324e-17,0,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,4.32604235431e-15,0,1.13332449812e-14,2.20745160726e-14,2.23927233286e-14,4.42656549146e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.2004314091e-14,2.12499817737e-14,0,0,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,SUPPORTED,7650,4.25658056369e-17,0,1.11022302463e-16,1.11022302463e-16,2.22044604925e-16,3.33066907388e-16,4.29268077358e-15,0,1.12662626382e-14,1.13118221194e-14,2.24584094251e-14,3.37421789282e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.2004314091e-14,2.12499817737e-14,0,0,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
knee_stiff__matched_linear,knee_stiff,matched_linear,UNSUPPORTED,13375,4.33464271745e-17,0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,4.34512393133e-15,0,2.19353925655e-14,2.20870519549e-14,2.22372848132e-14,4.42656549146e-14,1,0,0,1,,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,1.2004314091e-14,2.12499817737e-14,0,0,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,OVERALL,21025,8.0986875285e-17,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,8.14623305379e-15,1.11126437238e-14,2.2123728614e-14,2.24967574924e-14,2.29371811473e-14,4.58960048454e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,2.06579115885e-12,3.92278565166e-12,6.88338275268e-15,6.88338275268e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
