case_id,bo_variant,budget,posterior_recommended_trajectory_id,posterior_recommended_J_mean,posterior_recommended_std,fitted_kernel,recommendation_is_primary_physical_decision,unqueried_truth_used
baseline__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.03000,0.967633075336,9.77631429596e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.967635628879,2.1127684593e-05,"0.0001**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02750,0.967635628879,2.13079628756e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02250,0.967643864922,1.48127131345e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.02750,0.972963196674,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.02750,0.972963196674,1.9026074524e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.02500,0.972967708384,1.62594894594e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
baseline__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02250,0.972973099394,1.33366798395e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h+1.250_k-5.000_p+0.03000,0.970905205669,9.27465001505e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+1.500_k-5.000_p+0.03000,0.970906152637,2.67814404058e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
